county_state,hyp_total_2009,cig_total_2012,cig_daily_2012,obs_total_2006,dbt_total_2012,alc_any_2008,alc_heavy_2008,alc_binge_2008,hd_deaths_per100k_over65
"Hanover, VA",34.94,19.62,13.87,79.22,9.08,58.9,6.6,15.5,942.2
"Henrico, VA",35.46,18.74,12.38,76.18,9.89,61.2,7.1,16.8,951.6
"Henry, VA",42.39,27.24,20.01,66.45,12.17,35.7,4.2,10.9,976.7
"Highland, VA",36.93,22.87,17.2,74.2,10.0,54.5,11.7,19.8,938.3
"Isle of Wight, VA",40.34,20.41,14.94,72.58,10.63,53.4,6.8,15.2,1011.2
"James City, VA",34.61,16.5,11.48,79.72,9.28,66.1,7.5,16.8,737.9
"King and Queen, VA",42.26,24.88,18.33,68.67,11.94,41.8,4.8,11.9,1151.4
"King George, VA",37.61,18.33,13.02,76.58,9.84,52.3,5.5,13.1,1075.5
"King William, VA",39.41,23.92,17.43,76.36,10.52,51.7,6.2,14.5,1122.2
"Lancaster, VA",37.56,21.86,15.19,69.46,10.55,53.2,6.9,14.5,1148.7
"Lee, VA",41.65,27.88,21.3,63.28,13.16,23.8,3.5,8.6,1155.1
"Loudoun, VA",31.33,11.74,7.36,83.43,8.7,64.4,6.2,15.2,717.6
"Louisa, VA",40.69,24.17,17.72,74.17,10.62,49.2,5.5,13.1,1127.6
"Lunenburg, VA",44.13,28.4,20.18,66.58,13.19,43.4,5.7,13.7,1192.7
"Madison, VA",37.64,24.05,18.07,74.13,9.99,52.2,6.7,13.8,905.7
"Mathews, VA",38.44,21.21,15.54,75.28,9.39,55.5,8.8,16.9,954.8
"Mecklenburg, VA",43.63,28.09,19.78,67.9,11.72,44.8,5.5,12.7,1058.4
"Middlesex, VA",38.36,20.54,14.37,72.93,10.44,56.4,8.4,16.5,896.7
"Montgomery, VA",38.03,17.48,12.53,76.53,10.77,51.1,5.8,13.9,917.7
"Nelson, VA",39.24,22.69,16.56,71.23,10.01,46.3,6.4,13.5,993.4
"New Kent, VA",38.88,23.09,16.49,76.69,9.82,53.0,6.3,14.5,1104.1
"Northampton, VA",43.12,23.53,15.74,66.72,12.44,50.0,7.7,16.2,955.8
"Northumberland, VA",39.24,23.01,16.19,69.62,9.79,52.6,6.3,13.7,892.4
"Nottoway, VA",42.9,28.75,21.09,67.86,12.87,43.7,6.1,13.8,1383.9
"Orange, VA",37.61,22.82,16.94,75.17,9.72,54.3,6.5,14.4,956.2
"Page, VA",39.48,27.75,22.2,67.99,10.3,47.0,6.1,14.1,1126.2
"Patrick, VA",40.15,27.83,21.33,68.84,11.09,36.6,4.8,11.3,1258.4
"Pittsylvania, VA",42.65,25.76,19.09,69.92,12.64,38.3,4.5,11.7,975.7
"Powhatan, VA",38.49,21.76,15.65,72.63,9.22,51.9,6.4,14.8,945.1
"Prince Edward, VA",44.08,23.53,16.41,70.51,12.15,45.6,5.8,13.6,1128.8
"Prince George, VA",41.46,23.25,16.7,72.71,11.56,46.3,5.2,12.6,839.5
"Pulaski, VA",39.0,26.42,20.65,71.33,10.91,41.1,5.0,12.3,1175.1
"Rappahannock, VA",36.2,20.11,14.6,73.97,9.09,53.4,6.2,13.6,810.0
"Rockbridge, VA",38.83,23.51,17.63,72.68,10.01,47.9,6.0,13.6,850.2
"Rockingham, VA",37.07,21.72,16.69,74.04,10.72,48.6,5.9,13.4,958.2
"Russell, VA",41.75,28.04,21.46,66.04,12.4,26.5,3.4,9.2,1210.6
"Scott, VA",40.82,28.0,21.4,65.38,12.15,30.4,4.1,10.5,1117.6
"Shenandoah, VA",36.32,24.46,19.1,72.73,9.59,51.9,7.4,15.5,980.4
"Smyth, VA",40.24,26.43,20.74,68.17,11.15,33.9,4.5,11.3,1247.5
"Spotsylvania, VA",36.55,18.74,13.61,77.32,10.29,56.3,5.9,13.9,951.9
"Stafford, VA",36.66,16.92,12.13,77.25,9.82,59.3,5.9,14.3,1032.4
"Surry, VA",44.64,23.12,16.28,69.57,13.27,41.1,4.9,12.1,955.9
"Sussex, VA",49.52,27.38,19.39,59.53,15.15,40.7,5.6,12.6,1213.3
"Tazewell, VA",40.23,26.42,20.78,66.84,12.11,32.4,4.5,10.8,1243.8
"Warren, VA",37.72,24.33,18.87,71.97,9.92,52.5,6.1,14.4,1084.0
"Washington, VA",39.36,23.22,17.5,70.25,10.32,36.9,4.5,11.4,997.8
"Westmoreland, VA",42.27,25.32,18.68,68.42,12.23,50.2,6.4,14.4,1115.7
"Wise, VA",41.78,29.46,22.81,62.02,13.64,28.7,4.0,10.4,1296.5
"Wythe, VA",39.33,26.03,20.42,70.25,10.6,38.3,5.1,11.9,1267.6
"York, VA",34.53,16.27,11.26,80.47,11.87,64.9,8.2,17.3,811.4
"Adams, WA",35.08,16.67,11.39,69.14,11.89,40.1,5.0,13.4,975.4
"Asotin, WA",36.57,25.17,19.14,76.7,9.26,54.7,8.2,17.0,1051.3
"Benton, WA",35.26,17.86,12.91,78.93,9.2,54.5,7.1,15.7,880.5
"Chelan, WA",33.31,18.97,13.24,78.03,8.58,54.7,6.8,15.3,841.8
"Clallam, WA",34.24,23.97,16.67,82.92,8.37,58.7,8.5,16.2,837.7
"Clark, WA",33.79,18.86,13.28,81.12,9.37,59.0,7.6,16.2,966.8
"Columbia, WA",36.9,21.38,15.76,79.09,9.06,54.1,8.0,16.0,893.7
"Cowlitz, WA",36.99,24.55,17.5,77.8,9.68,54.7,7.0,16.1,1080.4
"Douglas, WA",35.67,19.53,13.95,76.65,9.39,57.5,7.7,16.3,867.8
"Ferry, WA",37.61,25.04,17.46,78.73,10.06,53.4,9.8,16.9,836.6
"Franklin, WA",35.4,19.28,13.52,73.28,11.6,44.0,5.5,13.7,893.1
"Garfield, WA",36.12,17.19,11.96,77.64,8.44,57.5,10.2,18.3,1025.9
"Grant, WA",35.92,19.34,13.68,73.2,10.57,47.7,6.5,14.8,1005.6
"Grays Harbor, WA",36.72,26.54,19.64,75.73,10.99,55.5,8.7,17.5,978.0
"Island, WA",31.5,18.26,12.88,86.4,8.26,64.4,10.1,17.3,846.2
