county_state,hyp_total_2009
"Avoyelles, LA",55.39
"Beauregard, LA",51.74
"Bienville, LA",53.68
"Bossier, LA",52.87
"Caddo, LA",50.01
"Calcasieu, LA",51.23
"Caldwell, LA",54.59
"Cameron, LA",54.35
"Catahoula, LA",54.18
"Claiborne, LA",51.79
"Concordia, LA",54.28
"De Soto, LA",53.2
"East Baton Rouge, LA",49.0
"East Carroll, LA",57.98
"East Feliciana, LA",53.48
"Evangeline, LA",54.79
"Franklin, LA",54.6
"Grant, LA",53.51
"Iberia, LA",52.07
"Iberville, LA",53.58
"Jackson, LA",53.41
"Jefferson, LA",48.9
"Jefferson Davis, LA",54.56
"Lafayette, LA",48.66
"Lafourche, LA",51.01
"La Salle, LA",54.12
"Lincoln, LA",51.27
"Livingston, LA",51.28
"Madison, LA",55.86
"Morehouse, LA",51.86
"Natchitoches, LA",54.39
"Orleans, LA",52.32
"Ouachita, LA",49.31
"Plaquemines, LA",53.94
"Pointe Coupee, LA",51.96
"Rapides, LA",51.39
"Red River, LA",54.3
"Richland, LA",53.1
"Sabine, LA",50.98
"St. Bernard, LA",51.54
"St. Charles, LA",51.79
"St. Helena, LA",53.57
"St. James, LA",53.72
"St. John the Baptist, LA",51.95
"St. Landry, LA",55.0
"St. Martin, LA",54.26
"St. Mary, LA",51.97
"St. Tammany, LA",47.5
"Tangipahoa, LA",52.11
"Tensas, LA",54.33
"Terrebonne, LA",53.83
"Union, LA",52.13
"Vermilion, LA",52.71
"Vernon, LA",52.88
"Washington, LA",54.53
"Webster, LA",53.15
"West Baton Rouge, LA",51.77
"West Carroll, LA",54.49
"West Feliciana, LA",54.88
"Winn, LA",53.37
"Androscoggin, ME",49.3
"Aroostook, ME",49.97
"Cumberland, ME",44.74
"Franklin, ME",48.85
"Hancock, ME",47.44
"Kennebec, ME",49.04
"Knox, ME",46.77
"Lincoln, ME",47.71
"Oxford, ME",49.21
"Penobscot, ME",48.99
"Piscataquis, ME",48.92
"Sagadahoc, ME",47.06
"Somerset, ME",51.31
"Waldo, ME",47.45
"Washington, ME",51.76
"York, ME",49.45
"Allegany, MD",53.73
"Anne Arundel, MD",48.99
"Baltimore, MD",47.56
"Calvert, MD",49.19
"Caroline, MD",51.21
"Carroll, MD",49.74
"Cecil, MD",51.11
"Charles, MD",50.64
"Dorchester, MD",52.81
"Frederick, MD",48.28
"Garrett, MD",52.82
"Harford, MD",47.5
"Howard, MD",45.13
"Kent, MD",50.19
"Montgomery, MD",43.61
"Prince George's, MD",47.36
"Queen Anne's, MD",49.45
"St. Mary's, MD",49.55
"Somerset, MD",55.69
"Talbot, MD",47.7
"Washington, MD",54.46
"Wicomico, MD",48.44
"Worcester, MD",50.36
"Baltimore, MD",52.87
"Barnstable, MA",47.4
"Berkshire, MA",49.28
"Bristol, MA",52.33
"Dukes, MA",46.26
"Essex, MA",50.04
"Franklin, MA",46.06
"Hampden, MA",49.32
"Hampshire, MA",46.51
"Middlesex, MA",46.1
"Nantucket, MA",44.29
"Norfolk, MA",44.23
"Plymouth, MA",48.04
"Suffolk, MA",49.33
"Worcester, MA",48.79
"Alcona, MI",51.94
"Alger, MI",51.15
"Allegan, MI",50.94
"Alpena, MI",52.22
"Antrim, MI",50.17
"Arenac, MI",54.14
"Baraga, MI",50.51
"Barry, MI",50.95
"Bay, MI",51.49
"Benzie, MI",49.82
"Berrien, MI",52.25
"Branch, MI",53.08
"Calhoun, MI",52.03
"Cass, MI",52.93
"Charlevoix, MI",49.52
"Cheboygan, MI",51.39
"Chippewa, MI",51.06
"Clare, MI",54.45
"Clinton, MI",49.09
"Crawford, MI",52.43
"Delta, MI",49.54
"Dickinson, MI",48.72
"Eaton, MI",50.47
"Emmet, MI",49.49
"Genesee, MI",51.79
"Gladwin, MI",52.84
"Gogebic, MI",50.92
"Grand Traverse, MI",48.08
"Gratiot, MI",50.81
"Hillsdale, MI",52.56
"Houghton, MI",50.0
"Huron, MI",51.21
"Ingham, MI",47.59
"Ionia, MI",52.49
"Iosco, MI",52.52
"Iron, MI",51.45
"Isabella, MI",51.91
"Jackson, MI",50.31
"Kalamazoo, MI",50.12
"Kalkaska, MI",52.79
"Kent, MI",47.78
"Keweenaw, MI",50.0
"Lake, MI",54.59
"Lapeer, MI",52.02
"Leelanau, MI",46.67
"Lenawee, MI",50.0
"Livingston, MI",48.27
"Luce, MI",52.51
"Mackinac, MI",50.49
"Macomb, MI",50.54
"Manistee, MI",50.75
"Marquette, MI",48.1
"Mason, MI",51.8
"Mecosta, MI",51.55
"Menominee, MI",52.04
"Midland, MI",46.82
"Missaukee, MI",52.66
"Monroe, MI",49.99
"Montcalm, MI",52.37
"Montmorency, MI",54.33
"Muskegon, MI",54.58
"Newaygo, MI",52.34
"Oakland, MI",45.46
"Oceana, MI",51.8
"Ogemaw, MI",53.53
"Ontonagon, MI",50.01
"Osceola, MI",52.05
"Oscoda, MI",53.6
"Otsego, MI",50.12
"Ottawa, MI",47.79
"Presque Isle, MI",51.48
"Roscommon, MI",54.21
"Saginaw, MI",51.63
"St. Clair, MI",51.52
"St. Joseph, MI",51.66
"Sanilac, MI",52.42
"Schoolcraft, MI",51.15
"Shiawassee, MI",51.39
"Tuscola, MI",51.25
"Van Buren, MI",49.63
"Washtenaw, MI",45.85
"Wayne, MI",52.79
"Wexford, MI",50.91
"Aitkin, MN",50.59
"Anoka, MN",48.3
"Becker, MN",49.45
"Beltrami, MN",48.8
"Benton, MN",50.12
"Big Stone, MN",49.2
"Blue Earth, MN",48.21
"Brown, MN",49.36
"Carlton, MN",49.69
"Carver, MN",43.14
"Cass, MN",48.22
"Chippewa, MN",50.29
"Chisago, MN",50.17
"Clay, MN",49.09
"Clearwater, MN",50.11
"Cook, MN",45.31
"Cottonwood, MN",48.53
"Crow Wing, MN",49.37
"Dakota, MN",44.59
"Dodge, MN",48.61
"Douglas, MN",48.65
"Faribault, MN",50.05
"Fillmore, MN",49.61
"Freeborn, MN",50.42
"Goodhue, MN",48.74
"Grant, MN",49.54
"Hennepin, MN",43.86
"Houston, MN",47.52
"Hubbard, MN",48.28
"Isanti, MN",49.11
"Itasca, MN",49.56
"Jackson, MN",49.3
"Kanabec, MN",49.92
"Kandiyohi, MN",48.38
"Kittson, MN",50.05
"Koochiching, MN",50.25
"Lac qui Parle, MN",49.88
"Lake, MN",48.5
"Lake of the Woods, MN",49.85
"Le Sueur, MN",48.94
"Lincoln, MN",48.39
"Lyon, MN",48.23
"McLeod, MN",47.93
"Mahnomen, MN",51.12
"Marshall, MN",50.56
"Martin, MN",48.85
"Meeker, MN",48.41
"Mille Lacs, MN",50.47
"Morrison, MN",50.28
"Mower, MN",49.04
"Murray, MN",50.29
"Nicollet, MN",46.21
"Nobles, MN",48.72
"Norman, MN",50.85
"Olmsted, MN",46.0
"Otter Tail, MN",49.93
"Pennington, MN",51.07
"Pine, MN",51.24
"Pipestone, MN",49.98
"Polk, MN",48.9
"Pope, MN",49.36
"Ramsey, MN",46.47
"Red Lake, MN",51.7
"Redwood, MN",49.86
"Renville, MN",49.31
"Rice, MN",48.23
"Rock, MN",48.3
"Roseau, MN",48.66
"St. Louis, MN",48.4
"Scott, MN",45.11
"Sherburne, MN",48.26
"Sibley, MN",49.98
"Stearns, MN",48.37
"Steele, MN",47.33
"Stevens, MN",49.1
"Swift, MN",49.44
"Todd, MN",50.65
"Traverse, MN",51.86
"Wabasha, MN",47.68
"Wadena, MN",50.82
"Waseca, MN",48.15
"Washington, MN",44.66
"Watonwan, MN",48.68
"Wilkin, MN",48.63
"Winona, MN",49.27
"Wright, MN",49.76
"Yellow Medicine, MN",49.13
"Adams, MS",52.5
"Alcorn, MS",52.78
"Amite, MS",54.45
"Attala, MS",54.26
"Benton, MS",54.24
"Bolivar, MS",53.62
"Calhoun, MS",53.62
"Carroll, MS",53.44
"Chickasaw, MS",55.33
"Choctaw, MS",54.51
"Claiborne, MS",55.76
"Clarke, MS",53.72
"Clay, MS",52.58
"Coahoma, MS",56.28
"Copiah, MS",54.3
"Covington, MS",56.61
"DeSoto, MS",51.57
"Forrest, MS",50.18
"Franklin, MS",54.03
"George, MS",54.31
"Greene, MS",54.22
"Grenada, MS",54.88
"Hancock, MS",52.44
"Harrison, MS",51.87
"Hinds, MS",51.46
"Holmes, MS",58.14
"Humphreys, MS",57.68
"Issaquena, MS",59.04
"Itawamba, MS",54.21
"Jackson, MS",51.66
"Jasper, MS",54.11
"Jefferson, MS",55.68
"Jefferson Davis, MS",54.64
"Jones, MS",54.1
"Kemper, MS",55.74
"Lafayette, MS",51.04
"Lamar, MS",50.95
"Lauderdale, MS",53.95
"Lawrence, MS",53.43
"Leake, MS",54.49
"Lee, MS",52.25
"Leflore, MS",56.4
"Lincoln, MS",55.35
"Lowndes, MS",51.91
"Madison, MS",45.66
"Marion, MS",53.98
"Marshall, MS",54.98
"Monroe, MS",54.45
"Montgomery, MS",54.07
"Neshoba, MS",53.46
"Newton, MS",54.34
"Noxubee, MS",56.2
"Oktibbeha, MS",51.55
"Panola, MS",54.99
"Pearl River, MS",53.95
"Perry, MS",55.92
"Pike, MS",53.83
"Pontotoc, MS",52.44
"Prentiss, MS",57.12
"Quitman, MS",57.48
"Rankin, MS",49.65
"Scott, MS",55.43
"Sharkey, MS",55.56
"Simpson, MS",54.83
"Smith, MS",55.36
"Stone, MS",54.19
"Sunflower, MS",55.41
"Tallahatchie, MS",56.63
"Tate, MS",52.82
"Tippah, MS",53.82
"Tishomingo, MS",53.68
"Tunica, MS",56.21
"Union, MS",53.01
"Walthall, MS",54.16
"Warren, MS",52.22
"Washington, MS",53.92
"Wayne, MS",55.71
"Webster, MS",53.53
"Wilkinson, MS",55.7
"Winston, MS",52.75
"Yalobusha, MS",54.41
"Yazoo, MS",54.7
"Adair, MO",49.77
"Andrew, MO",48.46
"Atchison, MO",50.12
"Audrain, MO",52.0
"Barry, MO",50.91
"Barton, MO",52.89
"Bates, MO",51.24
"Benton, MO",52.85
"Bollinger, MO",52.51
"Boone, MO",47.68
"Buchanan, MO",51.04
"Butler, MO",53.93
"Caldwell, MO",51.27
"Callaway, MO",51.95
"Camden, MO",50.64
"Cape Girardeau, MO",48.46
"Carroll, MO",50.33
"Carter, MO",53.97
"Cass, MO",49.9
"Cedar, MO",52.57
"Chariton, MO",52.53
"Christian, MO",48.7
"Clark, MO",51.12
"Clay, MO",47.58
"Clinton, MO",49.79
"Cole, MO",48.38
"Cooper, MO",51.51
"Crawford, MO",54.02
"Dade, MO",52.8
"Dallas, MO",52.84
"Daviess, MO",51.83
"DeKalb, MO",52.26
"Dent, MO",53.06
"Douglas, MO",52.92
"Dunklin, MO",54.57
"Franklin, MO",52.9
"Gasconade, MO",52.2
"Gentry, MO",51.94
"Greene, MO",49.53
"Grundy, MO",51.87
"Harrison, MO",52.59
"Henry, MO",51.49
"Hickory, MO",53.9
"Holt, MO",51.29
"Howard, MO",49.71
"Howell, MO",51.55
"Iron, MO",54.06
"Jackson, MO",49.64
"Jasper, MO",51.95
"Jefferson, MO",53.25
"Johnson, MO",48.73
"Knox, MO",52.25
"Laclede, MO",52.58
"Lafayette, MO",50.55
"Lawrence, MO",50.99
"Lewis, MO",52.34
"Lincoln, MO",52.13
"Linn, MO",51.29
"Livingston, MO",51.65
"McDonald, MO",52.91
"Macon, MO",51.06
"Madison, MO",54.52
"Maries, MO",52.33
"Marion, MO",51.06
"Mercer, MO",51.29
"Miller, MO",51.83
"Mississippi, MO",53.72
"Moniteau, MO",51.33
"Monroe, MO",52.3
"Montgomery, MO",52.99
"Morgan, MO",52.13
"New Madrid, MO",54.12
"Newton, MO",51.19
"Nodaway, MO",50.87
"Oregon, MO",53.9
"Osage, MO",52.11
"Ozark, MO",53.25
"Pemiscot, MO",54.88
"Perry, MO",51.19
"Pettis, MO",52.1
"Phelps, MO",51.22
"Pike, MO",52.49
"Platte, MO",46.6
"Polk, MO",52.2
"Pulaski, MO",49.64
"Putnam, MO",52.84
"Ralls, MO",50.77
"Randolph, MO",53.19
"Ray, MO",51.39
"Reynolds, MO",53.89
"Ripley, MO",55.19
"St. Charles, MO",47.87
"St. Clair, MO",52.66
"Ste. Genevieve, MO",54.21
"St. Francois, MO",54.28
"St. Louis, MO",46.55
"Saline, MO",50.26
"Schuyler, MO",51.85
"Scotland, MO",52.35
"Scott, MO",53.08
"Shannon, MO",54.97
"Shelby, MO",50.85
"Stoddard, MO",53.73
"Stone, MO",51.1
"Sullivan, MO",52.57
"Taney, MO",50.64
"Texas, MO",53.35
"Vernon, MO",52.35
"Warren, MO",52.05
"Washington, MO",55.05
"Wayne, MO",54.91
"Webster, MO",52.07
"Worth, MO",49.49
"Wright, MO",53.36
"St. Louis, MO",54.05
"Beaverhead, MT",47.21
"Big Horn, MT",47.84
"Blaine, MT",48.47
"Broadwater, MT",47.91
"Carbon, MT",45.91
"Carter, MT",52.12
"Cascade, MT",48.56
"Chouteau, MT",48.24
"Custer, MT",51.69
"Daniels, MT",51.12
"Dawson, MT",50.1
"Deer Lodge, MT",49.31
"Fallon, MT",47.32
"Fergus, MT",47.32
"Flathead, MT",48.02
"Gallatin, MT",43.18
"Garfield, MT",48.9
"Glacier, MT",48.39
"Golden Valley, MT",50.87
"Granite, MT",47.28
"Hill, MT",50.03
"Jefferson, MT",45.97
"Judith Basin, MT",48.37
"Lake, MT",44.79
"Lewis and Clark, MT",45.37
"Liberty, MT",51.42
"Lincoln, MT",48.86
"McCone, MT",51.71
"Madison, MT",44.71
"Meagher, MT",46.84
"Mineral, MT",49.26
"Missoula, MT",44.18
"Musselshell, MT",50.61
"Park, MT",46.57
"Petroleum, MT",49.61
"Phillips, MT",48.72
"Pondera, MT",47.38
"Powder River, MT",51.41
"Powell, MT",49.19
"Prairie, MT",48.87
"Ravalli, MT",49.92
"Richland, MT",50.22
"Roosevelt, MT",48.29
"Rosebud, MT",47.06
"Sanders, MT",48.11
"Sheridan, MT",48.84
"Silver Bow, MT",48.05
"Stillwater, MT",48.89
"Sweet Grass, MT",45.77
"Teton, MT",47.08
"Toole, MT",47.44
"Treasure, MT",49.13
"Valley, MT",51.02
"Wheatland, MT",51.85
"Wibaux, MT",50.79
"Yellowstone, MT",46.79
"Adams, NE",49.11
"Antelope, NE",50.14
"Arthur, NE",51.42
"Banner, NE",49.92
"Blaine, NE",52.83
"Boone, NE",48.92
"Box Butte, NE",49.45
"Boyd, NE",48.0
"Brown, NE",49.28
"Buffalo, NE",46.71
"Burt, NE",49.4
"Butler, NE",48.13
"Cass, NE",51.05
"Cedar, NE",50.88
"Chase, NE",48.39
"Cherry, NE",49.08
"Cheyenne, NE",48.54
"Clay, NE",49.54
"Colfax, NE",47.0
"Cuming, NE",49.76
"Custer, NE",49.03
"Dakota, NE",50.68
"Dawes, NE",48.28
"Dawson, NE",48.52
"Deuel, NE",49.54
"Dixon, NE",52.31
"Dodge, NE",50.28
"Douglas, NE",45.85
"Dundy, NE",49.08
"Fillmore, NE",47.7
"Franklin, NE",49.29
"Frontier, NE",51.06
"Furnas, NE",49.38
"Gage, NE",49.34
"Garden, NE",51.24
"Garfield, NE",50.68
"Gosper, NE",49.76
"Grant, NE",47.56
"Greeley, NE",51.23
"Hall, NE",48.87
"Hamilton, NE",49.22
"Harlan, NE",49.75
"Hayes, NE",52.25
"Hitchcock, NE",51.93
"Holt, NE",49.6
"Hooker, NE",44.47
"Howard, NE",50.86
"Jefferson, NE",49.06
"Johnson, NE",49.11
"Kearney, NE",48.06
"Keith, NE",48.66
"Keya Paha, NE",52.08
"Kimball, NE",50.73
"Knox, NE",51.49
"Lancaster, NE",47.4
"Lincoln, NE",49.57
"Logan, NE",52.85
"Loup, NE",52.36
"McPherson, NE",47.55
"Madison, NE",48.42
"Merrick, NE",49.87
"Morrill, NE",51.18
"Nance, NE",50.83
"Nemaha, NE",48.73
"Nuckolls, NE",50.14
"Otoe, NE",49.78
"Pawnee, NE",49.37
"Perkins, NE",48.76
"Phelps, NE",44.57
"Pierce, NE",49.69
"Platte, NE",48.61
"Polk, NE",48.86
"Red Willow, NE",49.31
"Richardson, NE",49.51
"Rock, NE",52.92
"Saline, NE",49.04
"Sarpy, NE",46.98
"Saunders, NE",50.08
"Scotts Bluff, NE",48.52
"Seward, NE",48.24
"Sheridan, NE",48.35
"Sherman, NE",51.26
"Sioux, NE",49.05
"Stanton, NE",49.85
"Thayer, NE",48.5
"Thomas, NE",50.44
"Thurston, NE",49.55
"Valley, NE",50.46
"Washington, NE",48.33
"Wayne, NE",47.77
"Webster, NE",48.98
"Wheeler, NE",52.61
"York, NE",47.79
"Churchill, NV",48.22
"Clark, NV",47.5
"Douglas, NV",48.73
"Elko, NV",50.46
"Esmeralda, NV",50.64
"Eureka, NV",51.14
"Humboldt, NV",49.24
"Lander, NV",50.93
"Lincoln, NV",50.27
"Lyon, NV",49.46
"Mineral, NV",51.12
"Nye, NV",51.32
"Pershing, NV",50.02
"Storey, NV",49.03
"Washoe, NV",47.76
"White Pine, NV",52.54
"Carson, NV",48.76
"Belknap, NH",49.68
"Carroll, NH",49.39
"Cheshire, NH",46.36
"Coos, NH",51.09
"Grafton, NH",45.68
"Hillsborough, NH",48.49
"Merrimack, NH",50.37
"Rockingham, NH",47.84
"Strafford, NH",50.51
"Sullivan, NH",50.04
"Atlantic, NJ",50.27
"Bergen, NJ",42.69
"Burlington, NJ",47.48
"Camden, NJ",47.71
"Cape May, NJ",48.94
"Cumberland, NJ",54.07
"Essex, NJ",49.33
"Gloucester, NJ",48.77
"Hudson, NJ",43.82
"Hunterdon, NJ",46.39
"Mercer, NJ",48.72
"Middlesex, NJ",46.66
"Monmouth, NJ",47.32
"Morris, NJ",45.38
"Ocean, NJ",51.82
"Passaic, NJ",48.56
"Salem, NJ",52.11
"Somerset, NJ",44.81
"Sussex, NJ",49.32
"Union, NJ",46.44
"Warren, NJ",49.13
"Bernalillo, NM",45.07
"Catron, NM",50.22
"Chaves, NM",49.22
"Cibola, NM",45.96
"Colfax, NM",46.32
"Curry, NM",51.22
"De Baca, NM",49.32
"Dona Ana, NM",46.65
"Eddy, NM",49.24
"Grant, NM",47.01
"Guadalupe, NM",47.78
"Harding, NM",48.51
"Hidalgo, NM",49.18
"Lea, NM",49.15
"Lincoln, NM",47.31
"Los Alamos, NM",44.63
"Luna, NM",51.12
"McKinley, NM",47.88
"Mora, NM",46.37
"Otero, NM",51.52
"Quay, NM",47.94
"Rio Arriba, NM",45.76
"Roosevelt, NM",48.6
"Sandoval, NM",45.79
"San Juan, NM",47.5
"San Miguel, NM",44.51
"Santa Fe, NM",43.02
"Sierra, NM",50.87
"Socorro, NM",47.99
"Taos, NM",44.03
"Torrance, NM",48.39
"Union, NM",46.99
"Valencia, NM",48.08
"Albany, NY",49.37
"Allegany, NY",51.86
"Bronx, NY",48.83
"Broome, NY",50.23
"Cattaraugus, NY",52.4
"Cayuga, NY",51.39
"Chautauqua, NY",51.66
"Chemung, NY",50.22
"Chenango, NY",52.05
"Clinton, NY",51.88
"Columbia, NY",49.32
"Cortland, NY",51.62
"Delaware, NY",51.46
"Dutchess, NY",48.53
"Erie, NY",49.83
"Essex, NY",50.06
"Franklin, NY",52.53
"Fulton, NY",53.09
"Genesee, NY",50.7
"Greene, NY",51.8
"Hamilton, NY",50.23
"Herkimer, NY",50.22
"Jefferson, NY",52.29
"Kings, NY",48.52
"Lewis, NY",51.92
"Livingston, NY",50.34
"Madison, NY",50.34
"Monroe, NY",48.51
"Montgomery, NY",50.51
"Nassau, NY",47.03
"New York, NY",45.19
"Niagara, NY",50.95
"Oneida, NY",50.51
"Onondaga, NY",48.06
"Ontario, NY",48.42
"Orange, NY",50.11
"Orleans, NY",51.6
"Oswego, NY",51.59
"Otsego, NY",51.52
"Putnam, NY",47.57
"Queens, NY",45.56
"Rensselaer, NY",49.47
"Richmond, NY",45.46
"Rockland, NY",48.03
"St. Lawrence, NY",52.28
"Saratoga, NY",47.51
"Schenectady, NY",49.12
"Schoharie, NY",51.65
"Schuyler, NY",50.22
"Seneca, NY",49.93
"Steuben, NY",51.19
"Suffolk, NY",49.03
"Sullivan, NY",51.22
"Tioga, NY",50.12
"Tompkins, NY",47.49
"Ulster, NY",49.41
"Warren, NY",50.02
"Washington, NY",51.31
"Wayne, NY",51.02
"Westchester, NY",46.03
"Wyoming, NY",51.44
"Yates, NY",50.84
"Alamance, NC",49.62
"Alexander, NC",53.94
"Alleghany, NC",52.85
"Anson, NC",54.46
"Ashe, NC",52.85
"Avery, NC",52.4
"Beaufort, NC",51.06
"Bertie, NC",54.45
"Bladen, NC",55.17
"Brunswick, NC",51.78
"Buncombe, NC",48.62
"Burke, NC",52.18
"Cabarrus, NC",50.76
"Caldwell, NC",53.52
"Camden, NC",51.44
"Carteret, NC",52.25
"Caswell, NC",54.23
"Catawba, NC",49.59
"Chatham, NC",48.25
"Cherokee, NC",53.24
"Chowan, NC",52.27
"Clay, NC",51.85
"Cleveland, NC",51.32
"Columbus, NC",55.66
"Craven, NC",51.5
"Cumberland, NC",50.63
"Currituck, NC",52.79
"Dare, NC",48.78
"Davidson, NC",51.42
"Davie, NC",49.21
"Duplin, NC",53.13
"Durham, NC",45.34
"Edgecombe, NC",55.41
"Forsyth, NC",46.82
"Franklin, NC",52.13
"Gaston, NC",53.04
"Gates, NC",53.08
"Graham, NC",52.65
"Granville, NC",52.11
"Greene, NC",54.54
"Guilford, NC",46.99
"Halifax, NC",54.21
"Harnett, NC",52.97
"Haywood, NC",51.56
"Henderson, NC",47.27
"Hertford, NC",54.41
"Hoke, NC",53.34
"Hyde, NC",55.23
"Iredell, NC",51.75
"Jackson, NC",50.67
"Johnston, NC",50.69
"Jones, NC",52.42
"Lee, NC",50.07
"Lenoir, NC",53.4
"Lincoln, NC",52.69
"McDowell, NC",52.49
"Macon, NC",51.51
"Madison, NC",55.02
"Martin, NC",53.29
"Mecklenburg, NC",45.39
"Mitchell, NC",52.84
"Montgomery, NC",53.3
"Moore, NC",48.66
"Nash, NC",50.61
"New Hanover, NC",48.7
"Northampton, NC",53.17
"Onslow, NC",51.73
"Orange, NC",45.63
"Pamlico, NC",52.32
"Pasquotank, NC",51.14
"Pender, NC",52.16
"Perquimans, NC",54.42
"Person, NC",52.14
"Pitt, NC",50.26
"Polk, NC",48.68
"Randolph, NC",53.88
"Richmond, NC",53.35
"Robeson, NC",50.94
"Rockingham, NC",51.73
"Rowan, NC",52.06
"Rutherford, NC",52.83
"Sampson, NC",51.54
"Scotland, NC",52.11
"Stanly, NC",53.16
"Stokes, NC",51.98
"Surry, NC",50.73
"Swain, NC",50.98
"Transylvania, NC",52.08
"Tyrrell, NC",53.19
"Union, NC",51.3
"Vance, NC",54.54
"Wake, NC",44.0
"Warren, NC",54.44
"Washington, NC",52.46
"Watauga, NC",50.4
"Wayne, NC",52.48
"Wilkes, NC",53.21
"Wilson, NC",51.72
"Yadkin, NC",52.73
"Yancey, NC",51.28
"Adams, ND",43.17
"Barnes, ND",47.96
"Benson, ND",51.96
"Billings, ND",50.08
"Bottineau, ND",51.85
"Bowman, ND",48.53
"Burke, ND",52.82
"Burleigh, ND",46.34
"Cass, ND",45.45
"Cavalier, ND",50.63
"Dickey, ND",49.74
"Divide, ND",49.81
"Dunn, ND",48.97
"Eddy, ND",50.26
"Emmons, ND",52.24
"Foster, ND",45.79
"Golden Valley, ND",47.73
"Grand Forks, ND",47.34
"Grant, ND",50.11
"Griggs, ND",47.77
"Hettinger, ND",51.94
"Kidder, ND",51.91
"LaMoure, ND",50.74
"Logan, ND",52.72
"McHenry, ND",51.55
"McIntosh, ND",51.9
"McKenzie, ND",48.88
"McLean, ND",50.1
"Mercer, ND",49.75
"Morton, ND",49.0
"Mountrail, ND",48.68
"Nelson, ND",47.94
"Oliver, ND",51.11
"Pembina, ND",49.02
"Pierce, ND",48.96
"Ramsey, ND",49.67
"Ransom, ND",47.79
"Renville, ND",49.9
"Richland, ND",50.56
"Rolette, ND",49.21
"Sargent, ND",50.3
"Sheridan, ND",53.04
"Sioux, ND",50.48
"Slope, ND",49.95
"Stark, ND",47.12
"Steele, ND",48.35
"Stutsman, ND",48.71
"Towner, ND",49.19
"Traill, ND",49.39
"Walsh, ND",49.46
"Ward, ND",47.53
"Wells, ND",51.39
"Williams, ND",49.05
"Adams, OH",55.09
"Allen, OH",52.2
"Ashland, OH",50.78
"Ashtabula, OH",51.46
"Athens, OH",54.5
"Auglaize, OH",51.11
"Belmont, OH",53.35
"Brown, OH",53.43
"Butler, OH",49.39
"Carroll, OH",51.44
"Champaign, OH",51.89
"Clark, OH",51.74
"Clermont, OH",49.73
"Clinton, OH",50.7
"Columbiana, OH",52.17
"Coshocton, OH",51.69
"Crawford, OH",51.58
"Cuyahoga, OH",50.86
"Darke, OH",52.03
"Defiance, OH",50.02
"Delaware, OH",44.74
"Erie, OH",50.78
"Fairfield, OH",49.42
"Fayette, OH",52.49
"Franklin, OH",48.27
"Fulton, OH",48.95
"Gallia, OH",53.91
"Geauga, OH",47.39
"Greene, OH",47.88
"Guernsey, OH",53.11
"Hamilton, OH",48.89
"Hancock, OH",49.05
"Hardin, OH",51.65
"Harrison, OH",53.38
"Henry, OH",50.53
"Highland, OH",52.48
"Hocking, OH",52.51
"Holmes, OH",52.98
"Huron, OH",51.7
"Jackson, OH",53.69
"Jefferson, OH",51.26
"Knox, OH",50.52
"Lake, OH",49.06
"Lawrence, OH",54.6
"Licking, OH",49.92
"Logan, OH",52.31
"Lorain, OH",50.36
"Lucas, OH",49.84
"Madison, OH",51.48
"Mahoning, OH",50.51
"Marion, OH",53.22
"Medina, OH",48.47
"Meigs, OH",54.14
"Mercer, OH",50.69
"Miami, OH",51.37
"Monroe, OH",52.74
"Montgomery, OH",49.52
"Morgan, OH",53.19
"Morrow, OH",52.44
"Muskingum, OH",52.31
"Noble, OH",53.78
"Ottawa, OH",51.09
"Paulding, OH",53.51
"Perry, OH",54.03
"Pickaway, OH",53.03
"Pike, OH",53.61
"Portage, OH",50.59
"Preble, OH",51.0
"Putnam, OH",49.28
"Richland, OH",52.05
"Ross, OH",53.39
"Sandusky, OH",51.41
"Scioto, OH",54.43
"Seneca, OH",50.47
"Shelby, OH",54.25
"Stark, OH",50.85
"Summit, OH",47.98
"Trumbull, OH",51.19
"Tuscarawas, OH",51.43
"Union, OH",49.95
"Van Wert, OH",49.54
"Vinton, OH",53.68
"Warren, OH",46.98
"Washington, OH",51.5
"Wayne, OH",51.15
"Williams, OH",51.23
"Wood, OH",49.61
"Wyandot, OH",51.22
"Adair, OK",52.82
"Alfalfa, OK",50.96
"Atoka, OK",53.44
"Beaver, OK",49.22
"Beckham, OK",51.45
"Blaine, OK",51.9
"Bryan, OK",50.64
"Caddo, OK",52.93
"Canadian, OK",50.33
"Carter, OK",50.98
"Cherokee, OK",51.38
"Choctaw, OK",54.13
"Cimarron, OK",49.34
"Cleveland, OK",50.63
"Coal, OK",52.34
"Comanche, OK",50.4
"Cotton, OK",51.25
"Craig, OK",52.02
"Creek, OK",52.89
"Custer, OK",50.01
"Delaware, OK",51.47
"Dewey, OK",49.29
"Ellis, OK",47.21
"Garfield, OK",51.08
"Garvin, OK",53.48
"Grady, OK",52.15
"Grant, OK",51.38
"Greer, OK",52.14
"Harmon, OK",51.36
"Harper, OK",47.73
"Haskell, OK",54.04
"Hughes, OK",53.79
"Jackson, OK",50.45
"Jefferson, OK",53.96
"Johnston, OK",53.6
"Kay, OK",51.21
"Kingfisher, OK",50.0
"Kiowa, OK",52.33
"Latimer, OK",51.63
"Le Flore, OK",53.22
"Lincoln, OK",53.13
"Logan, OK",51.49
"Love, OK",51.3
"McClain, OK",51.6
"McCurtain, OK",53.09
"McIntosh, OK",52.19
"Major, OK",50.2
