county_state,hyp_total_2009
"Tehama, CA",38.15
"Trinity, CA",37.04
"Tulare, CA",35.74
"Tuolumne, CA",36.81
"Ventura, CA",33.7
"Yolo, CA",34.14
"Yuba, CA",38.79
"Adams, CO",32.99
"Alamosa, CO",33.39
"Arapahoe, CO",32.82
"Archuleta, CO",33.02
"Baca, CO",36.09
"Bent, CO",39.04
"Boulder, CO",32.99
"Broomfield, CO",32.99
"Chaffee, CO",33.59
"Cheyenne, CO",37.16
"Clear Creek, CO",32.94
"Conejos, CO",34.37
"Costilla, CO",35.88
"Crowley, CO",43.95
"Custer, CO",35.69
"Delta, CO",33.31
"Denver, CO",34.99
"Dolores, CO",35.55
"Douglas, CO",27.85
"Eagle, CO",26.53
"Elbert, CO",32.66
"El Paso, CO",34.52
"Fremont, CO",37.88
"Garfield, CO",32.3
"Gilpin, CO",32.97
"Grand, CO",31.34
"Gunnison, CO",29.41
"Hinsdale, CO",32.22
"Huerfano, CO",36.69
"Jackson, CO",34.82
"Jefferson, CO",32.99
"Kiowa, CO",37.54
"Kit Carson, CO",36.01
"Lake, CO",32.65
"La Plata, CO",30.8
"Larimer, CO",31.12
"Las Animas, CO",35.38
"Lincoln, CO",34.08
"Logan, CO",37.33
"Mesa, CO",33.78
"Mineral, CO",31.21
"Moffat, CO",36.2
"Montezuma, CO",34.38
"Montrose, CO",34.52
"Morgan, CO",34.72
"Otero, CO",36.32
"Ouray, CO",32.57
"Park, CO",32.04
"Phillips, CO",33.34
"Pitkin, CO",27.79
"Prowers, CO",37.36
"Pueblo, CO",34.35
"Rio Blanco, CO",34.12
"Rio Grande, CO",33.46
"Routt, CO",29.81
"Saguache, CO",35.9
"San Juan, CO",36.41
"San Miguel, CO",28.28
"Sedgwick, CO",36.56
"Summit, CO",27.4
"Teller, CO",31.71
"Washington, CO",36.2
"Weld, CO",32.99
"Yuma, CO",35.51
"Fairfield, CT",33.32
"Hartford, CT",35.9
"Litchfield, CT",33.07
"Middlesex, CT",32.9
"New Haven, CT",36.22
"New London, CT",37.49
"Tolland, CT",35.46
"Windham, CT",38.55
"Kent, DE",40.69
"New Castle, DE",32.66
"Sussex, DE",39.26
,44.44
"Alachua, FL",36.65
"Baker, FL",43.11
"Bay, FL",38.17
"Bradford, FL",42.82
"Brevard, FL",35.45
"Broward, FL",36.47
"Calhoun, FL",41.77
"Charlotte, FL",37.85
"Citrus, FL",36.48
"Clay, FL",37.78
"Collier, FL",34.32
"Columbia, FL",41.57
"DeSoto, FL",39.18
"Dixie, FL",40.54
"Duval, FL",39.79
"Escambia, FL",38.86
"Flagler, FL",36.42
"Franklin, FL",39.77
"Gadsden, FL",46.22
"Gilchrist, FL",39.07
"Glades, FL",39.79
"Gulf, FL",40.04
"Hamilton, FL",44.98
"Hardee, FL",39.32
"Hendry, FL",37.98
"Hernando, FL",38.86
"Highlands, FL",38.83
"Hillsborough, FL",35.93
"Holmes, FL",39.44
"Indian River, FL",34.27
"Jackson, FL",42.61
"Jefferson, FL",42.41
"Lafayette, FL",41.47
"Lake, FL",38.64
"Lee, FL",33.92
"Leon, FL",36.25
"Levy, FL",39.17
"Liberty, FL",41.15
"Madison, FL",44.16
"Manatee, FL",36.17
"Marion, FL",41.08
"Martin, FL",32.89
"Miami-Dade, FL",34.32
"Monroe, FL",36.95
"Nassau, FL",37.7
"Okaloosa, FL",37.06
"Okeechobee, FL",37.39
"Orange, FL",36.26
"Osceola, FL",36.62
"Palm Beach, FL",34.45
"Pasco, FL",37.94
"Pinellas, FL",37.25
"Polk, FL",38.53
"Putnam, FL",41.7
"St. Johns, FL",34.76
"St. Lucie, FL",37.63
"Santa Rosa, FL",37.33
"Sarasota, FL",33.41
"Seminole, FL",34.52
"Sumter, FL",40.24
"Suwannee, FL",39.09
"Taylor, FL",42.27
"Union, FL",42.48
"Volusia, FL",37.66
"Wakulla, FL",39.03
"Walton, FL",39.22
"Washington, FL",40.77
"Appling, GA",43.03
"Atkinson, GA",43.33
"Bacon, GA",41.72
"Baker, GA",47.07
"Baldwin, GA",44.02
"Banks, GA",41.81
"Barrow, GA",39.34
"Bartow, GA",39.76
"Ben Hill, GA",44.64
"Berrien, GA",42.48
"Bibb, GA",43.0
"Bleckley, GA",41.66
"Brantley, GA",40.27
"Brooks, GA",44.0
"Bryan, GA",38.48
"Bulloch, GA",41.77
"Burke, GA",46.48
"Butts, GA",42.68
"Calhoun, GA",49.4
"Camden, GA",40.94
"Candler, GA",44.01
"Carroll, GA",39.97
"Catoosa, GA",38.8
"Charlton, GA",45.67
"Chatham, GA",40.47
"Chattahoochee, GA",40.06
"Chattooga, GA",41.14
"Cherokee, GA",35.02
"Clarke, GA",42.2
"Clay, GA",49.29
"Clayton, GA",44.5
"Clinch, GA",46.46
"Cobb, GA",32.96
"Coffee, GA",43.95
"Colquitt, GA",41.44
"Columbia, GA",34.79
"Cook, GA",43.03
"Coweta, GA",37.56
"Crawford, GA",43.38
"Crisp, GA",44.91
"Dade, GA",39.29
"Dawson, GA",36.74
"Decatur, GA",45.69
"DeKalb, GA",40.35
"Dodge, GA",43.21
"Dooly, GA",47.23
"Dougherty, GA",46.4
"Douglas, GA",39.36
"Early, GA",47.89
"Echols, GA",38.68
"Effingham, GA",39.28
"Elbert, GA",43.42
"Emanuel, GA",44.67
"Evans, GA",43.72
"Fannin, GA",39.35
"Fayette, GA",34.92
"Floyd, GA",39.46
"Forsyth, GA",32.04
"Franklin, GA",42.08
"Fulton, GA",38.64
"Gilmer, GA",38.1
"Glascock, GA",40.81
"Glynn, GA",40.05
"Gordon, GA",39.43
"Grady, GA",42.95
"Greene, GA",42.26
"Gwinnett, GA",34.05
"Habersham, GA",38.58
"Hall, GA",37.14
"Hancock, GA",51.85
"Haralson, GA",40.07
"Harris, GA",38.45
"Hart, GA",42.09
"Heard, GA",41.77
"Henry, GA",37.98
"Houston, GA",41.33
"Irwin, GA",43.69
"Jackson, GA",39.67
"Jasper, GA",42.04
"Jeff Davis, GA",41.99
"Jefferson, GA",47.92
"Jenkins, GA",45.71
"Johnson, GA",46.44
"Jones, GA",40.97
"Lamar, GA",42.91
"Lanier, GA",43.45
"Laurens, GA",43.3
"Lee, GA",38.4
"Liberty, GA",43.99
"Lincoln, GA",45.08
"Long, GA",43.71
"Lowndes, GA",42.4
"Lumpkin, GA",38.13
"McDuffie, GA",43.05
"McIntosh, GA",44.79
"Macon, GA",48.13
"Madison, GA",39.96
"Marion, GA",45.01
"Meriwether, GA",44.21
"Miller, GA",41.99
"Mitchell, GA",46.54
"Monroe, GA",40.68
"Montgomery, GA",43.02
"Morgan, GA",40.02
"Murray, GA",40.67
"Muscogee, GA",41.91
"Newton, GA",41.13
"Oconee, GA",34.12
"Oglethorpe, GA",40.28
"Paulding, GA",38.17
"Peach, GA",43.44
"Pickens, GA",38.01
"Pierce, GA",40.07
"Pike, GA",39.41
"Polk, GA",43.11
"Pulaski, GA",42.57
"Putnam, GA",41.39
"Quitman, GA",48.01
"Rabun, GA",38.58
"Randolph, GA",48.88
"Richmond, GA",44.73
"Rockdale, GA",37.37
"Schley, GA",43.12
"Screven, GA",45.21
"Seminole, GA",44.46
"Spalding, GA",42.97
"Stephens, GA",40.52
"Stewart, GA",48.13
"Sumter, GA",45.23
"Talbot, GA",48.74
"Taliaferro, GA",51.36
"Tattnall, GA",43.98
"Taylor, GA",46.03
"Telfair, GA",47.88
"Terrell, GA",48.89
"Thomas, GA",44.0
"Tift, GA",42.84
"Toombs, GA",42.51
"Towns, GA",37.33
"Treutlen, GA",46.22
"Troup, GA",41.86
