county_state,obs_total_2006
"Tehama, CA",74.51
"Trinity, CA",78.8
"Tulare, CA",66.21
"Tuolumne, CA",75.97
"Ventura, CA",79.0
"Yolo, CA",75.77
"Yuba, CA",73.53
"Adams, CO",81.67
"Alamosa, CO",74.32
"Arapahoe, CO",82.01
"Archuleta, CO",80.65
"Baca, CO",73.39
"Bent, CO",70.58
"Boulder, CO",81.67
"Broomfield, CO",81.67
"Chaffee, CO",81.67
"Cheyenne, CO",77.51
"Clear Creek, CO",82.21
"Conejos, CO",72.29
"Costilla, CO",67.97
"Crowley, CO",64.77
"Custer, CO",81.27
"Delta, CO",78.06
"Denver, CO",78.24
"Dolores, CO",79.5
"Douglas, CO",87.08
"Eagle, CO",83.4
"Elbert, CO",83.83
"El Paso, CO",80.52
"Fremont, CO",75.45
"Garfield, CO",83.25
"Gilpin, CO",82.63
"Grand, CO",84.12
"Gunnison, CO",82.12
"Hinsdale, CO",83.64
"Huerfano, CO",73.4
"Jackson, CO",82.4
"Jefferson, CO",81.67
"Kiowa, CO",76.17
"Kit Carson, CO",73.2
"Lake, CO",79.09
"La Plata, CO",84.96
"Larimer, CO",83.17
"Las Animas, CO",72.48
"Lincoln, CO",75.42
"Logan, CO",75.99
"Mesa, CO",79.32
"Mineral, CO",81.92
"Moffat, CO",76.76
"Montezuma, CO",78.8
"Montrose, CO",77.33
"Morgan, CO",72.84
"Otero, CO",69.75
"Ouray, CO",81.42
"Park, CO",83.79
"Phillips, CO",72.37
"Pitkin, CO",85.95
"Prowers, CO",69.27
"Pueblo, CO",75.27
"Rio Blanco, CO",82.35
"Rio Grande, CO",74.1
"Routt, CO",85.82
"Saguache, CO",69.29
"San Juan, CO",82.08
"San Miguel, CO",82.41
"Sedgwick, CO",72.45
"Summit, CO",84.82
"Teller, CO",81.38
"Washington, CO",76.39
"Weld, CO",81.67
"Yuma, CO",73.42
"Fairfield, CT",78.41
"Hartford, CT",75.74
"Litchfield, CT",80.34
"Middlesex, CT",79.91
"New Haven, CT",71.5
"New London, CT",79.24
"Tolland, CT",80.28
"Windham, CT",75.75
"Kent, DE",70.66
"New Castle, DE",75.23
"Sussex, DE",73.35
"District of Columbia, DC",77.09
"Alachua, FL",77.29
"Baker, FL",66.94
"Bay, FL",73.31
"Bradford, FL",63.87
"Brevard, FL",76.63
"Broward, FL",73.99
"Calhoun, FL",66.92
"Charlotte, FL",79.52
"Citrus, FL",73.78
"Clay, FL",74.88
"Collier, FL",78.25
"Columbia, FL",69.41
"DeSoto, FL",65.43
"Dixie, FL",68.26
"Duval, FL",72.44
"Escambia, FL",72.85
"Flagler, FL",78.44
"Franklin, FL",72.03
"Gadsden, FL",68.08
"Gilchrist, FL",71.39
"Glades, FL",70.28
"Gulf, FL",72.65
"Hamilton, FL",62.66
"Hardee, FL",59.16
"Hendry, FL",62.03
"Hernando, FL",74.64
"Highlands, FL",72.46
"Hillsborough, FL",72.0
"Holmes, FL",65.83
"Indian River, FL",76.21
"Jackson, FL",69.76
"Jefferson, FL",71.32
"Lafayette, FL",70.44
"Lake, FL",74.81
"Lee, FL",75.98
"Leon, FL",78.23
"Levy, FL",70.42
"Liberty, FL",70.2
"Madison, FL",68.44
"Manatee, FL",76.78
"Marion, FL",72.92
"Martin, FL",81.07
"Miami-Dade, FL",64.51
"Monroe, FL",76.52
"Nassau, FL",73.12
"Okaloosa, FL",76.44
"Okeechobee, FL",64.65
"Orange, FL",72.86
"Osceola, FL",68.84
"Palm Beach, FL",77.45
"Pasco, FL",75.96
"Pinellas, FL",73.8
"Polk, FL",70.57
"Putnam, FL",68.04
"St. Johns, FL",81.8
"St. Lucie, FL",76.33
"Santa Rosa, FL",75.48
"Sarasota, FL",79.49
"Seminole, FL",76.29
"Sumter, FL",77.47
"Suwannee, FL",70.5
"Taylor, FL",69.0
"Union, FL",66.29
"Volusia, FL",75.41
"Wakulla, FL",73.29
"Walton, FL",71.73
"Washington, FL",67.94
"Appling, GA",64.92
"Atkinson, GA",62.0
"Bacon, GA",62.06
"Baker, GA",62.96
"Baldwin, GA",67.49
"Banks, GA",67.17
"Barrow, GA",69.06
"Bartow, GA",69.3
"Ben Hill, GA",60.89
"Berrien, GA",62.5
"Bibb, GA",66.28
"Bleckley, GA",64.01
"Brantley, GA",63.14
"Brooks, GA",65.51
"Bryan, GA",70.9
"Bulloch, GA",71.36
"Burke, GA",62.22
"Butts, GA",65.88
"Calhoun, GA",59.47
"Camden, GA",73.06
"Candler, GA",62.85
"Carroll, GA",69.99
"Catoosa, GA",72.13
"Charlton, GA",59.13
"Chatham, GA",70.39
"Chattahoochee, GA",73.32
"Chattooga, GA",61.66
"Cherokee, GA",77.6
"Clarke, GA",72.83
"Clay, GA",63.28
"Clayton, GA",67.81
"Clinch, GA",58.06
"Cobb, GA",77.66
"Coffee, GA",61.61
"Colquitt, GA",64.1
"Columbia, GA",78.84
"Cook, GA",61.89
"Coweta, GA",73.72
"Crawford, GA",65.11
"Crisp, GA",63.09
"Dade, GA",67.2
"Dawson, GA",77.05
"Decatur, GA",63.37
"DeKalb, GA",75.92
"Dodge, GA",63.43
"Dooly, GA",60.1
"Dougherty, GA",66.63
"Douglas, GA",74.38
"Early, GA",61.62
"Echols, GA",62.88
"Effingham, GA",72.9
"Elbert, GA",63.47
"Emanuel, GA",60.86
"Evans, GA",60.22
"Fannin, GA",72.4
"Fayette, GA",78.3
"Floyd, GA",67.94
"Forsyth, GA",80.27
"Franklin, GA",69.57
"Fulton, GA",76.73
"Gilmer, GA",71.56
"Glascock, GA",62.21
"Glynn, GA",74.89
"Gordon, GA",66.33
"Grady, GA",66.8
"Greene, GA",65.85
"Gwinnett, GA",75.96
"Habersham, GA",70.17
"Hall, GA",69.31
"Hancock, GA",57.5
"Haralson, GA",65.62
"Harris, GA",74.17
"Hart, GA",66.52
"Heard, GA",66.52
"Henry, GA",73.89
"Houston, GA",71.26
"Irwin, GA",59.23
"Jackson, GA",68.54
"Jasper, GA",66.54
"Jeff Davis, GA",63.97
"Jefferson, GA",61.06
"Jenkins, GA",59.45
"Johnson, GA",55.34
"Jones, GA",69.04
"Lamar, GA",65.27
"Lanier, GA",68.17
"Laurens, GA",65.25
"Lee, GA",74.21
"Liberty, GA",67.07
"Lincoln, GA",67.24
"Long, GA",64.59
"Lowndes, GA",69.07
"Lumpkin, GA",72.6
"McDuffie, GA",63.74
"McIntosh, GA",64.67
"Macon, GA",58.57
"Madison, GA",66.62
"Marion, GA",67.58
"Meriwether, GA",62.83
"Miller, GA",64.51
"Mitchell, GA",62.12
"Monroe, GA",70.93
"Montgomery, GA",68.54
"Morgan, GA",69.99
"Murray, GA",64.82
"Muscogee, GA",69.81
"Newton, GA",68.99
"Oconee, GA",76.78
"Oglethorpe, GA",67.59
"Paulding, GA",72.66
"Peach, GA",64.75
"Pickens, GA",73.34
"Pierce, GA",62.4
"Pike, GA",71.38
"Polk, GA",64.45
"Pulaski, GA",63.14
"Putnam, GA",69.28
"Quitman, GA",57.83
"Rabun, GA",71.99
"Randolph, GA",63.73
"Richmond, GA",67.05
"Rockdale, GA",72.72
"Schley, GA",65.2
"Screven, GA",66.58
"Seminole, GA",62.66
"Spalding, GA",63.17
"Stephens, GA",69.96
"Stewart, GA",58.64
"Sumter, GA",66.85
"Talbot, GA",63.44
"Taliaferro, GA",56.58
"Tattnall, GA",61.95
"Taylor, GA",55.89
"Telfair, GA",59.43
"Terrell, GA",59.71
"Thomas, GA",68.44
"Tift, GA",65.8
"Toombs, GA",65.71
"Towns, GA",73.94
"Treutlen, GA",59.29
"Troup, GA",69.82
"Turner, GA",57.99
"Twiggs, GA",54.13
"Union, GA",73.9
"Upson, GA",65.66
"Walker, GA",66.42
"Walton, GA",68.94
"Ware, GA",62.03
"Warren, GA",57.78
"Washington, GA",64.74
"Wayne, GA",66.13
"Webster, GA",63.57
"Wheeler, GA",61.18
"White, GA",71.85
"Whitfield, GA",65.84
"Wilcox, GA",59.43
