county_state,obs_total_2006
"McCracken, KY",71.84
"McCreary, KY",51.89
"McLean, KY",64.75
"Madison, KY",69.0
"Magoffin, KY",52.48
"Marion, KY",65.89
"Marshall, KY",71.61
"Martin, KY",51.27
"Mason, KY",63.02
"Meade, KY",67.09
"Menifee, KY",62.01
"Mercer, KY",66.82
"Metcalfe, KY",59.34
"Monroe, KY",61.37
"Montgomery, KY",60.33
"Morgan, KY",62.06
"Muhlenberg, KY",61.79
"Nelson, KY",66.89
"Nicholas, KY",63.04
"Ohio, KY",63.54
"Oldham, KY",74.93
"Owen, KY",63.89
"Owsley, KY",54.75
"Pendleton, KY",66.4
"Perry, KY",59.48
"Pike, KY",57.34
"Powell, KY",59.02
"Pulaski, KY",65.51
"Robertson, KY",60.86
"Rockcastle, KY",55.52
"Rowan, KY",67.19
"Russell, KY",63.81
"Scott, KY",69.74
"Shelby, KY",68.71
"Simpson, KY",65.72
"Spencer, KY",67.22
"Taylor, KY",64.39
"Todd, KY",60.5
"Trigg, KY",68.11
"Trimble, KY",65.99
"Union, KY",68.94
"Warren, KY",70.4
"Washington, KY",64.55
"Wayne, KY",58.51
"Webster, KY",64.85
"Whitley, KY",61.33
"Wolfe, KY",51.91
"Woodford, KY",71.42
"Acadia, LA",66.78
"Allen, LA",61.66
"Ascension, LA",69.59
"Assumption, LA",62.5
"Avoyelles, LA",58.55
"Beauregard, LA",66.75
"Bienville, LA",63.88
"Bossier, LA",73.83
"Caddo, LA",69.91
"Calcasieu, LA",66.33
"Caldwell, LA",68.47
"Cameron, LA",66.2
"Catahoula, LA",61.44
"Claiborne, LA",63.04
"Concordia, LA",61.22
"De Soto, LA",66.61
"East Baton Rouge, LA",70.36
"East Carroll, LA",49.15
"East Feliciana, LA",68.31
"Evangeline, LA",60.38
"Franklin, LA",59.44
"Grant, LA",64.27
"Iberia, LA",66.07
"Iberville, LA",61.37
"Jackson, LA",67.27
"Jefferson, LA",68.3
"Jefferson Davis, LA",63.16
"Lafayette, LA",72.22
"Lafourche, LA",63.11
"La Salle, LA",62.94
"Lincoln, LA",69.64
"Livingston, LA",64.94
"Madison, LA",58.74
"Morehouse, LA",57.8
"Natchitoches, LA",63.26
"Orleans, LA",69.09
"Ouachita, LA",66.75
"Plaquemines, LA",65.48
"Pointe Coupee, LA",63.03
"Rapides, LA",67.06
"Red River, LA",60.03
"Richland, LA",63.98
"Sabine, LA",68.25
"St. Bernard, LA",66.04
"St. Charles, LA",69.82
"St. Helena, LA",62.97
"St. James, LA",63.78
"St. John the Baptist, LA",65.2
"St. Landry, LA",62.65
"St. Martin, LA",62.09
"St. Mary, LA",62.64
"St. Tammany, LA",75.16
"Tangipahoa, LA",67.82
"Tensas, LA",59.06
"Terrebonne, LA",63.82
"Union, LA",63.82
"Vermilion, LA",64.19
"Vernon, LA",67.77
"Washington, LA",63.17
"Webster, LA",64.42
"West Baton Rouge, LA",72.25
"West Carroll, LA",61.31
"West Feliciana, LA",61.55
"Winn, LA",58.42
"Androscoggin, ME",74.35
"Aroostook, ME",74.27
"Cumberland, ME",83.45
"Franklin, ME",78.39
"Hancock, ME",80.74
"Kennebec, ME",77.62
"Knox, ME",81.58
"Lincoln, ME",82.1
"Oxford, ME",77.28
"Penobscot, ME",76.07
"Piscataquis, ME",77.68
"Sagadahoc, ME",78.49
"Somerset, ME",74.43
"Waldo, ME",79.51
"Washington, ME",75.24
"York, ME",79.22
"Allegany, MD",69.63
"Anne Arundel, MD",77.36
"Baltimore, MD",73.76
"Calvert, MD",76.69
"Caroline, MD",69.49
"Carroll, MD",77.92
"Cecil, MD",72.57
"Charles, MD",73.69
"Dorchester, MD",67.8
"Frederick, MD",78.28
"Garrett, MD",68.8
"Harford, MD",73.83
"Howard, MD",82.61
"Kent, MD",73.62
"Montgomery, MD",81.67
"Prince Georges, MD",72.03
"Queen Annes, MD",76.54
"St. Marys, MD",74.19
"Somerset, MD",67.36
"Talbot, MD",78.05
"Washington, MD",71.13
"Wicomico, MD",73.01
"Worcester, MD",76.17
"Baltimore City, MD",67.84
"Barnstable, MA",83.16
"Berkshire, MA",76.44
"Bristol, MA",69.05
"Dukes, MA",80.84
"Essex, MA",74.07
"Franklin, MA",81.29
"Hampden, MA",69.25
"Hampshire, MA",81.71
"Middlesex, MA",77.63
"Nantucket, MA",79.49
"Norfolk, MA",78.95
"Plymouth, MA",76.91
"Suffolk, MA",72.74
"Worcester, MA",73.04
"Alcona, MI",71.17
"Alger, MI",75.66
"Allegan, MI",78.31
"Alpena, MI",75.16
"Antrim, MI",75.73
"Arenac, MI",70.49
"Baraga, MI",72.3
"Barry, MI",78.98
"Bay, MI",74.95
"Benzie, MI",75.52
"Berrien, MI",72.92
"Branch, MI",73.36
"Calhoun, MI",75.88
"Cass, MI",72.1
"Charlevoix, MI",76.52
"Cheboygan, MI",75.33
"Chippewa, MI",75.88
"Clare, MI",70.88
"Clinton, MI",76.54
"Crawford, MI",73.37
"Delta, MI",77.27
"Dickinson, MI",76.61
"Eaton, MI",78.07
"Emmet, MI",79.52
"Genesee, MI",71.09
"Gladwin, MI",71.78
"Gogebic, MI",78.14
"Grand Traverse, MI",80.03
"Gratiot, MI",73.76
"Hillsdale, MI",73.57
"Houghton, MI",75.35
"Huron, MI",72.59
"Ingham, MI",75.72
"Ionia, MI",76.08
"Iosco, MI",70.93
"Iron, MI",76.39
"Isabella, MI",76.43
"Jackson, MI",74.78
"Kalamazoo, MI",77.92
"Kalkaska, MI",74.76
"Kent, MI",78.5
"Keweenaw, MI",74.12
"Lake, MI",70.45
"Lapeer, MI",75.76
"Leelanau, MI",79.59
"Lenawee, MI",74.7
"Livingston, MI",82.14
"Luce, MI",73.1
"Mackinac, MI",74.96
"Macomb, MI",74.49
"Manistee, MI",74.77
"Marquette, MI",77.68
"Mason, MI",76.46
"Mecosta, MI",75.38
"Menominee, MI",76.87
"Midland, MI",78.75
"Missaukee, MI",72.49
"Monroe, MI",72.84
"Montcalm, MI",73.42
"Montmorency, MI",71.63
"Muskegon, MI",71.23
"Newaygo, MI",74.19
"Oakland, MI",79.92
"Oceana, MI",73.4
"Ogemaw, MI",68.65
"Ontonagon, MI",78.05
"Osceola, MI",74.07
"Oscoda, MI",68.79
"Otsego, MI",75.53
"Ottawa, MI",77.81
"Presque Isle, MI",75.07
"Roscommon, MI",70.52
"Saginaw, MI",69.11
"St. Clair, MI",74.68
"St. Joseph, MI",74.67
"Sanilac, MI",72.51
"Schoolcraft, MI",73.63
"Shiawassee, MI",75.26
"Tuscola, MI",71.48
"Van Buren, MI",73.47
"Washtenaw, MI",81.7
"Wayne, MI",70.63
"Wexford, MI",73.11
"Aitkin, MN",80.35
"Anoka, MN",81.59
"Becker, MN",77.03
"Beltrami, MN",79.13
"Benton, MN",81.65
"Big Stone, MN",76.27
"Blue Earth, MN",81.33
"Brown, MN",79.79
"Carlton, MN",81.3
"Carver, MN",83.86
"Cass, MN",81.2
"Chippewa, MN",77.99
"Chisago, MN",80.39
"Clay, MN",77.36
"Clearwater, MN",73.95
"Cook, MN",77.35
"Cottonwood, MN",77.45
"Crow Wing, MN",81.89
"Dakota, MN",83.25
"Dodge, MN",81.44
"Douglas, MN",81.27
"Faribault, MN",75.96
"Fillmore, MN",80.81
"Freeborn, MN",76.53
"Goodhue, MN",82.04
"Grant, MN",76.23
"Hennepin, MN",84.13
"Houston, MN",80.8
"Hubbard, MN",80.97
"Isanti, MN",80.63
"Itasca, MN",83.42
"Jackson, MN",78.34
"Kanabec, MN",77.56
"Kandiyohi, MN",78.84
"Kittson, MN",76.42
"Koochiching, MN",79.78
"Lac qui Parle, MN",78.09
"Lake, MN",80.86
"Lake of the Woods, MN",78.2
"Le Sueur, MN",80.04
"Lincoln, MN",77.88
"Lyon, MN",78.15
"McLeod, MN",79.72
"Mahnomen, MN",73.24
"Marshall, MN",74.9
"Martin, MN",75.74
"Meeker, MN",77.91
"Mille Lacs, MN",79.94
"Morrison, MN",79.28
"Mower, MN",78.8
"Murray, MN",78.25
"Nicollet, MN",82.89
"Nobles, MN",75.83
"Norman, MN",74.77
"Olmsted, MN",84.74
"Otter Tail, MN",76.44
"Pennington, MN",77.09
"Pine, MN",77.56
"Pipestone, MN",76.71
"Polk, MN",75.85
"Pope, MN",80.47
"Ramsey, MN",82.19
"Red Lake, MN",74.87
"Redwood, MN",79.23
"Renville, MN",78.0
"Rice, MN",80.83
"Rock, MN",77.5
"Roseau, MN",76.56
"St. Louis, MN",82.58
"Scott, MN",83.03
"Sherburne, MN",82.85
"Sibley, MN",78.7
"Stearns, MN",83.03
"Steele, MN",78.88
"Stevens, MN",78.81
"Swift, MN",76.27
"Todd, MN",78.39
"Traverse, MN",75.17
"Wabasha, MN",81.62
"Wadena, MN",76.37
"Waseca, MN",79.56
"Washington, MN",83.08
"Watonwan, MN",74.59
"Wilkin, MN",74.42
"Winona, MN",81.68
"Wright, MN",83.75
"Yellow Medicine, MN",78.74
"Adams, MS",62.29
"Alcorn, MS",64.26
"Amite, MS",64.82
"Attala, MS",60.42
"Benton, MS",59.23
"Bolivar, MS",61.51
"Calhoun, MS",60.21
"Carroll, MS",65.21
"Chickasaw, MS",61.91
"Choctaw, MS",64.0
"Claiborne, MS",65.37
"Clarke, MS",63.68
"Clay, MS",66.64
"Coahoma, MS",63.69
"Copiah, MS",63.79
"Covington, MS",62.74
"DeSoto, MS",67.52
"Forrest, MS",67.11
"Franklin, MS",63.24
"George, MS",66.26
"Greene, MS",60.85
"Grenada, MS",61.61
"Hancock, MS",70.76
"Harrison, MS",69.73
"Hinds, MS",67.65
"Holmes, MS",59.65
"Humphreys, MS",55.34
"Issaquena, MS",51.29
"Itawamba, MS",67.5
"Jackson, MS",66.67
"Jasper, MS",63.65
"Jefferson, MS",58.81
"Jefferson Davis, MS",61.62
"Jones, MS",65.12
"Kemper, MS",59.45
"Lafayette, MS",69.87
"Lamar, MS",69.88
"Lauderdale, MS",68.51
"Lawrence, MS",65.21
"Leake, MS",61.2
"Lee, MS",67.89
"Leflore, MS",58.21
"Lincoln, MS",66.53
"Lowndes, MS",67.79
"Madison, MS",71.49
"Marion, MS",63.58
"Marshall, MS",59.54
"Monroe, MS",64.51
"Montgomery, MS",59.16
"Neshoba, MS",64.8
"Newton, MS",67.62
"Noxubee, MS",56.01
"Oktibbeha, MS",68.74
"Panola, MS",64.17
"Pearl River, MS",68.0
"Perry, MS",66.58
"Pike, MS",62.56
"Pontotoc, MS",63.55
"Prentiss, MS",65.62
"Quitman, MS",58.36
"Rankin, MS",72.29
"Scott, MS",58.34
"Sharkey, MS",59.19
"Simpson, MS",64.53
"Smith, MS",66.21
"Stone, MS",65.94
"Sunflower, MS",62.26
"Tallahatchie, MS",61.84
"Tate, MS",65.48
"Tippah, MS",61.67
"Tishomingo, MS",65.93
"Tunica, MS",58.4
"Union, MS",65.37
"Walthall, MS",61.35
"Warren, MS",63.26
"Washington, MS",62.96
"Wayne, MS",61.99
"Webster, MS",65.52
"Wilkinson, MS",55.84
"Winston, MS",61.97
"Yalobusha, MS",66.25
"Yazoo, MS",60.31
"Adair, MO",74.06
"Andrew, MO",73.96
"Atchison, MO",71.74
"Audrain, MO",73.0
"Barry, MO",70.23
"Barton, MO",72.94
"Bates, MO",68.88
"Benton, MO",69.68
"Bollinger, MO",69.72
"Boone, MO",78.93
"Buchanan, MO",69.32
"Butler, MO",63.41
"Caldwell, MO",67.26
"Callaway, MO",74.53
"Camden, MO",75.66
"Cape Girardeau, MO",73.68
"Carroll, MO",71.78
"Carter, MO",67.85
"Cass, MO",74.74
"Cedar, MO",72.78
"Chariton, MO",73.73
"Christian, MO",74.64
"Clark, MO",72.06
"Clay, MO",71.41
"Clinton, MO",70.51
"Cole, MO",76.9
"Cooper, MO",73.15
"Crawford, MO",69.04
"Dade, MO",73.88
"Dallas, MO",69.85
"Daviess, MO",69.7
"DeKalb, MO",67.91
"Dent, MO",67.41
"Douglas, MO",67.83
"Dunklin, MO",58.57
"Franklin, MO",73.61
"Gasconade, MO",73.38
"Gentry, MO",71.72
"Greene, MO",75.6
"Grundy, MO",70.19
"Harrison, MO",72.04
"Henry, MO",70.4
"Hickory, MO",70.3
"Holt, MO",72.27
"Howard, MO",75.8
"Howell, MO",71.05
"Iron, MO",67.05
"Jackson, MO",70.52
"Jasper, MO",71.95
"Jefferson, MO",69.34
"Johnson, MO",74.28
"Knox, MO",73.04
"Laclede, MO",68.51
"Lafayette, MO",71.04
"Lawrence, MO",73.37
"Lewis, MO",69.6
"Lincoln, MO",72.0
"Linn, MO",73.49
"Livingston, MO",71.94
"McDonald, MO",66.78
"Macon, MO",70.98
"Madison, MO",67.18
"Maries, MO",72.67
"Marion, MO",69.83
"Mercer, MO",73.75
"Miller, MO",73.82
"Mississippi, MO",56.1
"Moniteau, MO",72.29
"Monroe, MO",73.35
"Montgomery, MO",70.44
"Morgan, MO",68.87
"New Madrid, MO",58.67
"Newton, MO",73.39
"Nodaway, MO",73.78
"Oregon, MO",69.3
"Osage, MO",76.25
"Ozark, MO",68.11
"Pemiscot, MO",55.47
"Perry, MO",71.23
"Pettis, MO",68.21
"Phelps, MO",72.82
"Pike, MO",71.26
"Platte, MO",74.85
"Polk, MO",71.84
"Pulaski, MO",73.62
"Putnam, MO",73.89
"Ralls, MO",73.72
"Randolph, MO",72.09
"Ray, MO",68.99
"Reynolds, MO",66.72
"Ripley, MO",62.31
"St. Charles, MO",77.27
"St. Clair, MO",70.88
"St. Genevieve, MO",69.9
"St. Francois, MO",68.9
"St. Louis, MO",75.2
"Saline, MO",70.49
"Schuyler, MO",75.23
"Scotland, MO",70.99
"Scott, MO",62.58
"Shannon, MO",67.83
"Shelby, MO",73.52
"Stoddard, MO",63.22
"Stone, MO",73.17
"Sullivan, MO",68.7
"Taney, MO",70.11
"Texas, MO",68.02
"Vernon, MO",70.49
"Warren, MO",72.55
"Washington, MO",63.65
"Wayne, MO",62.75
"Webster, MO",71.55
"Worth, MO",73.02
"Wright, MO",66.84
"St. Louis City, MO",68.91
"Beaverhead, MT",78.57
"Big Horn, MT",70.58
"Blaine, MT",69.53
"Broadwater, MT",78.88
"Carbon, MT",80.21
"Carter, MT",77.58
"Cascade, MT",77.17
"Chouteau, MT",76.66
"Custer, MT",76.78
"Daniels, MT",78.6
"Dawson, MT",74.73
"Deer Lodge, MT",76.09
"Fallon, MT",77.61
"Fergus, MT",77.78
"Flathead, MT",81.51
"Gallatin County and Yellowstone National Park, MT",83.83
"Garfield, MT",77.4
"Glacier, MT",67.44
"Golden Valley, MT",76.81
"Granite, MT",79.66
"Hill, MT",73.89
"Jefferson, MT",80.83
"Judith Basin, MT",79.6
"Lake, MT",78.78
"Lewis and Clark, MT",80.44
"Liberty, MT",68.89
"Lincoln, MT",77.88
"McCone, MT",78.41
"Madison, MT",79.94
"Meagher, MT",73.52
"Mineral, MT",75.7
"Missoula, MT",82.27
"Musselshell, MT",76.85
"Park, MT",78.51
"Petroleum, MT",77.81
"Phillips, MT",76.34
"Pondera, MT",75.15
"Powder River, MT",78.44
"Powell, MT",79.23
"Prairie, MT",74.48
"Ravalli, MT",80.22
"Richland, MT",73.36
"Roosevelt, MT",69.85
"Rosebud, MT",72.65
"Sanders, MT",75.78
"Sheridan, MT",73.66
"Silver Bow, MT",73.37
"Stillwater, MT",78.67
"Sweet Grass, MT",77.15
"Teton, MT",76.66
"Toole, MT",73.12
"Treasure, MT",75.62
"Valley, MT",75.65
"Wheatland, MT",75.03
"Wibaux, MT",71.87
"Yellowstone, MT",78.34
"Adams, NE",77.51
"Antelope, NE",78.42
"Arthur, NE",79.17
"Banner, NE",79.32
"Blaine, NE",77.41
"Boone, NE",79.16
"Box Butte, NE",77.32
"Boyd, NE",76.44
"Brown, NE",75.85
"Buffalo, NE",76.83
"Burt, NE",77.21
"Butler, NE",76.21
"Cass, NE",77.52
"Cedar, NE",80.01
"Chase, NE",75.98
"Cherry, NE",78.86
"Cheyenne, NE",80.38
"Clay, NE",77.56
"Colfax, NE",65.71
"Cuming, NE",74.81
"Custer, NE",78.03
"Dakota, NE",67.86
"Dawes, NE",81.62
"Dawson, NE",70.93
"Deuel, NE",78.83
"Dixon, NE",77.59
"Dodge, NE",74.21
"Douglas, NE",76.06
"Dundy, NE",75.85
"Fillmore, NE",78.44
"Franklin, NE",74.12
"Frontier, NE",78.91
"Furnas, NE",76.24
"Gage, NE",74.27
"Garden, NE",78.71
"Garfield, NE",77.33
"Gosper, NE",78.71
"Grant, NE",81.57
"Greeley, NE",76.91
"Hall, NE",71.13
"Hamilton, NE",78.84
"Harlan, NE",75.46
"Hayes, NE",74.7
"Hitchcock, NE",76.73
"Holt, NE",75.33
"Hooker, NE",78.97
"Howard, NE",75.63
"Jefferson, NE",76.67
"Johnson, NE",72.77
"Kearney, NE",78.52
"Keith, NE",75.99
"Keya Paha, NE",75.92
"Kimball, NE",76.48
"Knox, NE",78.33
"Lancaster, NE",79.55
"Lincoln, NE",74.84
"Logan, NE",79.84
"Loup, NE",79.34
"McPherson, NE",75.14
"Madison, NE",76.91
"Merrick, NE",75.09
"Morrill, NE",75.81
"Nance, NE",74.15
"Nemaha, NE",74.33
"Nuckolls, NE",77.47
"Otoe, NE",73.09
"Pawnee, NE",75.74
"Perkins, NE",76.28
"Phelps, NE",73.73
"Pierce, NE",77.88
"Platte, NE",76.22
"Polk, NE",77.99
"Red Willow, NE",77.38
"Richardson, NE",72.34
"Rock, NE",75.77
"Saline, NE",75.3
"Sarpy, NE",78.47
"Saunders, NE",76.32
"Scotts Bluff, NE",72.86
"Seward, NE",80.97
"Sheridan, NE",80.56
"Sherman, NE",75.98
"Sioux, NE",80.34
"Stanton, NE",78.19
"Thayer, NE",75.83
"Thomas, NE",78.56
"Thurston, NE",70.93
"Valley, NE",78.05
"Washington, NE",77.38
"Wayne, NE",78.37
"Webster, NE",74.87
"Wheeler, NE",81.08
"York, NE",76.8
"Churchill, NV",76.38
"Clark, NV",70.9
"Douglas, NV",81.62
"Elko, NV",70.03
"Esmeralda, NV",73.02
"Eureka, NV",73.82
"Humboldt, NV",73.1
"Lander, NV",65.35
"Lincoln, NV",74.41
"Lyon, NV",76.57
"Mineral, NV",72.3
"Nye, NV",68.13
"Pershing, NV",71.76
"Storey, NV",78.66
"Washoe, NV",79.11
"White Pine, NV",73.35
"Carson City, NV",77.53
"Belknap, NH",79.63
"Carroll, NH",79.94
"Cheshire, NH",78.82
"Coos, NH",73.64
"Grafton, NH",80.72
"Hillsborough, NH",76.39
"Merrimack, NH",79.49
"Rockingham, NH",79.2
"Strafford, NH",75.51
"Sullivan, NH",77.68
"Atlantic, NJ",69.89
"Bergen, NJ",76.26
"Burlington, NJ",75.02
"Camden, NJ",68.86
"Cape May, NJ",76.24
"Cumberland, NJ",62.02
"Essex, NJ",68.52
"Gloucester, NJ",71.78
"Hudson, NJ",63.24
"Hunterdon, NJ",80.66
"Mercer, NJ",72.9
"Middlesex, NJ",72.08
"Monmouth, NJ",75.98
"Morris, NJ",75.23
"Ocean, NJ",72.28
"Passaic, NJ",63.74
"Salem, NJ",67.78
"Somerset, NJ",78.31
"Sussex, NJ",74.1
"Union, NJ",71.12
"Warren, NJ",71.97
"Bernalillo, NM",78.3
"Catron, NM",75.24
"Chaves, NM",69.41
"Cibola, NM",72.85
"Colfax, NM",72.51
"Curry, NM",67.69
"De Baca, NM",70.5
"Dona Ana, NM",72.19
"Eddy, NM",70.45
"Grant, NM",72.16
"Guadalupe, NM",71.82
"Harding, NM",73.19
"Hidalgo, NM",66.63
"Lea, NM",64.21
"Lincoln, NM",74.9
"Los Alamos, NM",85.15
"Luna, NM",63.75
"McKinley, NM",71.76
"Mora, NM",73.2
"Otero, NM",72.32
"Quay, NM",69.29
"Rio Arriba, NM",73.12
"Roosevelt, NM",66.9
"Sandoval, NM",78.42
"San Juan, NM",74.08
"San Miguel, NM",72.55
"Santa Fe, NM",80.14
"Sierra, NM",72.0
"Socorro, NM",72.87
"Taos, NM",78.62
"Torrance, NM",72.56
"Union, NM",72.5
"Valencia, NM",73.28
"Albany, NY",75.79
"Allegany, NY",76.67
"Bronx, NY",61.59
"Broome, NY",77.61
"Cattaraugus, NY",75.81
"Cayuga, NY",73.89
"Chautauqua, NY",73.37
"Chemung, NY",73.61
"Chenango, NY",73.26
"Clinton, NY",78.09
"Columbia, NY",77.08
"Cortland, NY",75.77
"Delaware, NY",74.66
"Dutchess, NY",76.0
"Erie, NY",74.41
"Essex, NY",77.98
"Franklin, NY",74.87
"Fulton, NY",71.94
"Genesee, NY",76.41
"Greene, NY",72.51
"Hamilton, NY",76.59
"Herkimer, NY",73.49
"Jefferson, NY",75.09
"Kings, NY",67.11
"Lewis, NY",70.95
"Livingston, NY",76.74
"Madison, NY",74.01
"Monroe, NY",76.48
"Montgomery, NY",72.3
"Nassau, NY",75.22
"New York, NY",77.62
"Niagara, NY",73.05
"Oneida, NY",70.99
"Onondaga, NY",75.85
"Ontario, NY",79.39
"Orange, NY",70.61
"Orleans, NY",73.26
"Oswego, NY",72.04
"Otsego, NY",76.47
"Putnam, NY",73.01
"Queens, NY",69.26
"Rensselaer, NY",76.4
"Richmond, NY",72.44
"Rockland, NY",71.44
"St. Lawrence, NY",73.35
"Saratoga, NY",78.63
"Schenectady, NY",77.62
"Schoharie, NY",74.08
"Schuyler, NY",75.35
"Seneca, NY",72.61
"Steuben, NY",74.24
"Suffolk, NY",72.67
"Sullivan, NY",69.8
"Tioga, NY",75.76
"Tompkins, NY",80.55
"Ulster, NY",75.97
"Warren, NY",75.42
"Washington, NY",77.1
"Wayne, NY",75.12
"Westchester, NY",74.83
"Wyoming, NY",77.05
"Yates, NY",72.42
"Alamance, NC",70.78
"Alexander, NC",68.6
"Alleghany, NC",65.72
"Anson, NC",64.36
"Ashe, NC",70.15
"Avery, NC",75.66
"Beaufort, NC",72.06
"Bertie, NC",66.05
"Bladen, NC",68.18
"Brunswick, NC",77.88
"Buncombe, NC",78.03
"Burke, NC",69.77
"Cabarrus, NC",72.82
"Caldwell, NC",70.26
"Camden, NC",74.05
"Carteret, NC",72.78
"Caswell, NC",69.61
"Catawba, NC",74.1
"Chatham, NC",76.03
"Cherokee, NC",73.47
"Chowan, NC",67.03
"Clay, NC",73.51
"Cleveland, NC",68.69
"Columbus, NC",67.23
"Craven, NC",73.46
"Cumberland, NC",72.58
"Currituck, NC",75.21
"Dare, NC",78.22
"Davidson, NC",69.3
"Davie, NC",73.75
"Duplin, NC",64.97
"Durham, NC",76.38
"Edgecombe, NC",63.88
"Forsyth, NC",74.7
"Franklin, NC",70.67
"Gaston, NC",69.61
"Gates, NC",66.39
"Graham, NC",70.14
"Granville, NC",70.15
"Greene, NC",63.33
"Guilford, NC",75.05
"Halifax, NC",66.07
"Harnett, NC",69.7
"Haywood, NC",75.53
"Henderson, NC",80.1
"Hertford, NC",61.68
"Hoke, NC",68.83
"Hyde, NC",66.28
"Iredell, NC",72.71
"Jackson, NC",74.83
"Johnston, NC",69.52
"Jones, NC",64.94
"Lee, NC",71.53
"Lenoir, NC",65.88
"Lincoln, NC",70.68
"McDowell, NC",68.7
"Macon, NC",76.21
"Madison, NC",72.94
"Martin, NC",69.17
"Mecklenburg, NC",77.96
"Mitchell, NC",70.04
"Montgomery, NC",63.64
"Moore, NC",76.5
"Nash, NC",69.97
"New Hanover, NC",80.47
"Northampton, NC",65.22
"Onslow, NC",73.38
"Orange, NC",82.64
"Pamlico, NC",74.04
"Pasquotank, NC",69.02
"Pender, NC",75.02
"Perquimans, NC",68.55
"Person, NC",72.83
"Pitt, NC",71.09
"Polk, NC",75.86
"Randolph, NC",69.82
"Richmond, NC",64.67
"Robeson, NC",60.91
"Rockingham, NC",66.85
"Rowan, NC",68.43
"Rutherford, NC",69.76
"Sampson, NC",68.5
"Scotland, NC",67.45
"Stanly, NC",69.67
"Stokes, NC",70.79
"Surry, NC",67.96
"Swain, NC",71.1
"Transylvania, NC",79.02
"Tyrrell, NC",63.84
"Union, NC",74.28
"Vance, NC",63.9
"Wake, NC",79.57
"Warren, NC",67.19
"Washington, NC",66.7
"Watauga, NC",79.94
"Wayne, NC",68.14
"Wilkes, NC",66.86
"Wilson, NC",65.16
"Yadkin, NC",68.79
"Yancey, NC",75.04
"Adams, ND",75.69
"Barnes, ND",77.97
"Benson, ND",70.27
"Billings, ND",77.62
"Bottineau, ND",77.89
"Bowman, ND",77.05
"Burke, ND",77.32
"Burleigh, ND",79.31
"Cass, ND",79.44
"Cavalier, ND",75.63
"Dickey, ND",75.29
"Divide, ND",77.57
"Dunn, ND",74.6
"Eddy, ND",74.48
"Emmons, ND",70.55
"Foster, ND",77.11
"Golden Valley, ND",78.91
"Grand Forks, ND",78.53
"Grant, ND",73.4
"Griggs, ND",75.64
"Hettinger, ND",74.82
"Kidder, ND",73.6
"LaMoure, ND",76.78
"Logan, ND",68.01
"McHenry, ND",76.33
"McIntosh, ND",68.78
"McKenzie, ND",75.49
"McLean, ND",73.92
"Mercer, ND",75.45
"Morton, ND",73.02
"Mountrail, ND",72.71
"Nelson, ND",76.79
"Oliver, ND",74.5
"Pembina, ND",75.78
"Pierce, ND",75.09
"Ramsey, ND",74.89
"Ransom, ND",77.34
"Renville, ND",78.31
"Richland, ND",75.1
"Rolette, ND",71.65
"Sargent, ND",75.71
"Sheridan, ND",71.34
"Sioux, ND",66.88
"Slope, ND",79.33
"Stark, ND",78.07
"Steele, ND",78.47
"Stutsman, ND",76.75
"Towner, ND",76.01
"Traill, ND",77.76
"Walsh, ND",73.25
"Ward, ND",74.52
"Wells, ND",74.32
"Williams, ND",75.62
"Adams, OH",63.51
"Allen, OH",69.57
"Ashland, OH",72.91
"Ashtabula, OH",71.74
"Athens, OH",73.31
"Auglaize, OH",72.75
"Belmont, OH",72.35
"Brown, OH",66.2
"Butler, OH",70.87
"Carroll, OH",68.72
"Champaign, OH",72.27
"Clark, OH",72.42
"Clermont, OH",74.31
"Clinton, OH",72.38
"Columbiana, OH",69.42
"Coshocton, OH",71.06
"Crawford, OH",71.22
"Cuyahoga, OH",73.15
"Darke, OH",70.2
"Defiance, OH",72.66
"Delaware, OH",80.99
"Erie, OH",68.47
"Fairfield, OH",72.4
"Fayette, OH",67.15
"Franklin, OH",72.78
"Fulton, OH",74.97
"Gallia, OH",63.67
"Geauga, OH",77.4
"Greene, OH",76.31
"Guernsey, OH",71.13
"Hamilton, OH",73.38
"Hancock, OH",74.66
"Hardin, OH",68.72
"Harrison, OH",70.11
"Henry, OH",72.26
"Highland, OH",65.74
"Hocking, OH",69.34
"Holmes, OH",57.42
"Huron, OH",69.97
"Jackson, OH",60.33
"Jefferson, OH",67.71
"Knox, OH",74.3
"Lake, OH",76.41
"Lawrence, OH",63.23
"Licking, OH",73.95
"Logan, OH",69.82
"Lorain, OH",70.29
"Lucas, OH",69.62
"Madison, OH",69.95
"Mahoning, OH",69.92
"Marion, OH",67.61
"Medina, OH",77.63
"Meigs, OH",68.55
"Mercer, OH",72.35
"Miami, OH",71.17
"Monroe, OH",70.4
"Montgomery, OH",70.9
"Morgan, OH",71.4
"Morrow, OH",70.93
"Muskingum, OH",69.32
"Noble, OH",71.1
"Ottawa, OH",72.59
"Paulding, OH",70.79
"Perry, OH",67.24
"Pickaway, OH",66.12
"Pike, OH",60.36
"Portage, OH",72.81
"Preble, OH",72.04
"Putnam, OH",74.81
"Richland, OH",70.07
"Ross, OH",64.17
"Sandusky, OH",70.09
"Scioto, OH",63.01
"Seneca, OH",71.67
"Shelby, OH",69.62
"Stark, OH",72.65
"Summit, OH",73.58
"Trumbull, OH",71.52
"Tuscarawas, OH",71.65
"Union, OH",74.82
"Van Wert, OH",74.69
"Vinton, OH",63.27
"Warren, OH",77.27
