county_state,cig_total_2012,cig_daily_2012
"Dickinson, IA",20.14,14.61
"Dubuque, IA",18.75,13.91
"Emmet, IA",23.44,17.67
"Fayette, IA",21.57,16.55
"Floyd, IA",22.78,17.59
"Franklin, IA",23.12,17.64
"Fremont, IA",23.19,17.43
"Greene, IA",23.91,17.69
"Grundy, IA",19.21,14.27
"Guthrie, IA",21.33,15.72
"Hamilton, IA",24.36,18.22
"Hancock, IA",22.96,17.48
"Hardin, IA",22.06,16.94
"Harrison, IA",21.82,16.76
"Henry, IA",23.59,17.09
"Howard, IA",23.89,18.7
"Humboldt, IA",23.62,17.78
"Ida, IA",21.84,16.32
"Iowa, IA",20.38,14.86
"Jackson, IA",22.19,17.01
"Jasper, IA",23.25,17.92
"Jefferson, IA",20.52,14.2
"Johnson, IA",15.22,9.91
"Jones, IA",22.2,16.52
"Keokuk, IA",24.26,18.16
"Kossuth, IA",21.86,16.51
"Lee, IA",25.93,20.02
"Linn, IA",20.25,14.55
"Louisa, IA",22.89,16.76
"Lucas, IA",25.38,19.95
"Lyon, IA",20.82,15.59
"Madison, IA",21.05,16.09
"Mahaska, IA",22.61,17.12
"Marion, IA",19.71,14.84
"Marshall, IA",22.35,17.04
"Mills, IA",21.38,16.1
"Mitchell, IA",22.46,17.19
"Monona, IA",25.1,19.39
"Monroe, IA",22.72,17.4
"Montgomery, IA",25.02,19.17
"Muscatine, IA",23.84,18.08
"O'Brien, IA",20.12,14.9
"Osceola, IA",23.47,17.97
"Page, IA",24.82,18.79
"Palo Alto, IA",23.0,17.57
"Plymouth, IA",21.1,15.67
"Pocahontas, IA",21.96,16.11
"Polk, IA",18.65,14.01
"Pottawattamie, IA",23.78,18.45
"Poweshiek, IA",22.12,16.62
"Ringgold, IA",21.46,15.84
"Sac, IA",21.26,15.78
"Scott, IA",19.95,14.34
"Shelby, IA",21.96,16.62
"Sioux, IA",18.15,13.34
"Story, IA",13.81,9.43
"Tama, IA",23.22,17.1
"Taylor, IA",22.97,17.08
"Union, IA",24.39,18.89
"Van Buren, IA",25.29,19.06
"Wapello, IA",26.25,20.18
"Warren, IA",19.37,14.51
"Washington, IA",21.23,15.27
"Wayne, IA",24.14,18.37
"Webster, IA",25.06,17.92
"Winnebago, IA",20.63,15.13
"Winneshiek, IA",18.11,13.66
"Woodbury, IA",25.13,18.84
"Worth, IA",22.86,16.92
"Wright, IA",23.55,17.7
"Allen, KS",25.44,19.15
"Anderson, KS",25.64,19.73
"Atchison, KS",25.35,19.12
"Barber, KS",21.48,15.74
"Barton, KS",23.59,17.51
"Bourbon, KS",24.52,18.04
"Brown, KS",26.64,19.82
"Butler, KS",21.53,16.26
"Chase, KS",22.65,16.73
"Chautauqua, KS",25.31,18.24
"Cherokee, KS",27.23,21.49
"Cheyenne, KS",20.67,14.99
"Clark, KS",19.15,13.79
"Clay, KS",23.92,18.34
"Cloud, KS",24.71,18.98
"Coffey, KS",23.69,18.0
"Comanche, KS",20.62,14.87
"Cowley, KS",25.17,19.15
"Crawford, KS",23.92,18.37
"Decatur, KS",20.33,14.82
"Dickinson, KS",23.92,18.39
"Doniphan, KS",24.06,17.7
"Douglas, KS",17.62,12.14
"Edwards, KS",19.85,14.13
"Elk, KS",23.17,17.17
"Ellis, KS",18.89,13.54
"Ellsworth, KS",22.39,16.57
"Finney, KS",20.54,14.03
"Ford, KS",20.53,14.59
"Franklin, KS",24.91,19.66
"Geary, KS",23.43,17.28
"Gove, KS",21.64,16.04
"Graham, KS",22.09,16.05
"Grant, KS",20.47,14.32
"Gray, KS",20.9,15.3
"Greeley, KS",20.47,14.59
"Greenwood, KS",25.08,19.24
"Hamilton, KS",21.94,15.53
"Harper, KS",23.98,17.86
"Harvey, KS",20.53,15.64
"Haskell, KS",21.37,15.01
"Hodgeman, KS",20.33,14.76
"Jackson, KS",23.4,17.34
"Jefferson, KS",23.61,17.62
"Jewell, KS",21.24,15.67
"Johnson, KS",15.53,10.84
"Kearny, KS",21.84,15.39
"Kingman, KS",23.81,18.29
"Kiowa, KS",19.97,14.56
"Labette, KS",24.86,18.81
"Lane, KS",21.41,15.65
"Leavenworth, KS",23.74,18.07
"Lincoln, KS",22.73,16.82
"Linn, KS",24.0,17.92
"Logan, KS",22.03,16.26
"Lyon, KS",21.71,15.79
"McPherson, KS",20.35,15.73
"Marion, KS",21.9,16.62
"Marshall, KS",24.74,19.37
"Meade, KS",19.47,13.85
"Miami, KS",23.49,17.67
"Mitchell, KS",20.48,15.23
"Montgomery, KS",26.12,19.26
"Morris, KS",23.56,17.68
"Morton, KS",21.25,14.78
"Nemaha, KS",22.49,17.06
"Neosho, KS",26.8,20.63
"Ness, KS",21.55,15.58
"Norton, KS",25.82,19.67
"Osage, KS",23.76,18.07
"Osborne, KS",21.34,15.67
"Ottawa, KS",22.43,16.6
"Pawnee, KS",22.92,16.8
"Phillips, KS",23.5,17.77
"Pottawatomie, KS",18.81,13.81
"Pratt, KS",22.32,16.73
"Rawlins, KS",21.45,15.59
"Reno, KS",24.44,18.82
"Republic, KS",21.56,15.8
"Rice, KS",21.54,16.0
"Riley, KS",16.43,11.13
"Rooks, KS",21.44,15.62
"Rush, KS",22.12,16.14
"Russell, KS",22.78,17.07
"Saline, KS",23.99,18.13
"Scott, KS",19.21,13.95
"Sedgwick, KS",22.1,16.47
"Seward, KS",22.3,15.02
"Shawnee, KS",22.34,16.78
"Sheridan, KS",20.34,14.83
"Sherman, KS",24.62,18.85
"Smith, KS",22.73,17.04
"Stafford, KS",20.7,14.76
"Stanton, KS",19.93,13.59
"Stevens, KS",21.34,15.26
"Sumner, KS",24.29,18.67
"Thomas, KS",21.14,15.54
"Trego, KS",21.69,16.03
"Wabaunsee, KS",21.97,16.48
"Wallace, KS",18.86,13.45
"Washington, KS",20.92,15.5
"Wichita, KS",21.3,15.06
"Wilson, KS",28.06,21.7
"Woodson, KS",24.77,18.53
"Wyandotte, KS",26.58,18.85
"Adair, KY",29.43,23.57
"Allen, KY",31.53,25.84
"Anderson, KY",27.62,22.43
"Ballard, KY",27.57,21.63
"Barren, KY",28.9,23.62
"Bath, KY",31.02,24.94
"Bell, KY",32.74,26.87
"Boone, KY",22.26,17.1
"Bourbon, KY",28.37,22.23
"Boyd, KY",29.39,23.79
"Boyle, KY",26.17,20.39
"Bracken, KY",28.34,22.15
"Breathitt, KY",32.41,27.11
"Breckinridge, KY",30.25,24.08
"Bullitt, KY",31.54,27.16
"Butler, KY",30.03,23.92
"Caldwell, KY",29.77,24.1
"Calloway, KY",23.68,18.62
"Campbell, KY",25.5,19.5
"Carlisle, KY",26.02,20.2
"Carroll, KY",31.98,26.13
"Carter, KY",30.91,25.84
"Casey, KY",30.74,25.21
"Christian, KY",29.0,23.16
"Clark, KY",27.99,22.32
"Clay, KY",36.73,30.67
"Clinton, KY",33.46,27.09
"Crittenden, KY",29.74,23.95
"Cumberland, KY",31.12,24.85
"Daviess, KY",25.63,20.08
"Edmonson, KY",28.58,22.94
"Elliott, KY",34.64,28.85
"Estill, KY",34.05,27.52
"Fayette, KY",20.57,14.27
"Fleming, KY",29.74,24.14
"Floyd, KY",30.65,24.49
"Franklin, KY",25.28,19.21
"Fulton, KY",29.06,22.41
"Gallatin, KY",29.86,24.12
"Garrard, KY",28.54,22.86
"Grant, KY",27.57,22.23
"Graves, KY",27.94,22.09
"Grayson, KY",31.02,24.9
"Green, KY",30.23,24.43
"Greenup, KY",28.13,23.12
"Hancock, KY",27.86,21.78
"Hardin, KY",26.12,20.53
"Harlan, KY",32.36,26.86
"Harrison, KY",29.74,23.73
"Hart, KY",32.07,26.37
"Henderson, KY",26.88,21.47
"Henry, KY",28.91,22.79
"Hickman, KY",28.47,22.27
"Hopkins, KY",30.01,24.95
"Jackson, KY",33.79,27.75
"Jefferson, KY",26.71,20.46
"Jessamine, KY",25.61,19.81
"Johnson, KY",32.53,26.85
"Kenton, KY",24.84,18.85
"Knott, KY",30.71,24.44
"Knox, KY",35.46,28.94
"Larue, KY",29.92,24.66
"Laurel, KY",32.9,27.3
"Lawrence, KY",32.52,26.66
"Lee, KY",34.48,27.84
"Leslie, KY",32.96,27.76
"Letcher, KY",29.85,24.08
"Lewis, KY",31.28,26.24
"Lincoln, KY",31.18,25.75
"Livingston, KY",30.0,24.13
"Logan, KY",30.23,24.12
"Lyon, KY",29.28,22.95
"McCracken, KY",26.2,20.22
"McCreary, KY",34.34,27.53
"McLean, KY",28.46,22.84
"Madison, KY",24.55,18.64
"Magoffin, KY",31.65,25.97
"Marion, KY",28.95,23.46
"Marshall, KY",27.63,22.22
"Martin, KY",32.65,25.3
"Mason, KY",29.01,23.62
"Meade, KY",28.28,22.69
"Menifee, KY",33.31,27.37
"Mercer, KY",28.49,22.69
"Metcalfe, KY",32.0,26.35
"Monroe, KY",30.5,24.62
"Montgomery, KY",30.88,25.41
"Morgan, KY",32.25,26.32
"Muhlenberg, KY",29.8,24.36
"Nelson, KY",29.13,24.12
"Nicholas, KY",29.32,23.27
"Ohio, KY",29.83,23.59
"Oldham, KY",20.91,15.5
"Owen, KY",26.04,20.3
"Owsley, KY",31.18,25.87
"Pendleton, KY",28.96,22.86
"Perry, KY",31.7,26.72
"Pike, KY",30.26,23.45
"Powell, KY",32.28,26.34
"Pulaski, KY",29.33,23.88
"Robertson, KY",30.96,24.93
"Rockcastle, KY",30.91,25.44
"Rowan, KY",27.39,21.92
"Russell, KY",30.92,24.74
"Scott, KY",23.7,17.89
"Shelby, KY",25.62,19.86
"Simpson, KY",29.7,23.4
"Spencer, KY",27.22,22.16
"Taylor, KY",29.68,24.17
"Todd, KY",30.88,24.68
"Trigg, KY",27.23,21.61
"Trimble, KY",26.11,20.44
"Union, KY",28.87,22.56
"Warren, KY",23.92,18.12
"Washington, KY",26.44,20.92
"Wayne, KY",32.97,26.76
"Webster, KY",29.71,23.82
"Whitley, KY",31.9,26.21
"Wolfe, KY",32.0,26.19
"Woodford, KY",23.95,17.84
"Acadia, LA",30.57,23.93
"Allen, LA",31.37,23.95
"Ascension, LA",22.5,16.4
"Assumption, LA",29.08,21.89
"Avoyelles, LA",30.21,23.12
"Beauregard, LA",26.95,20.46
"Bienville, LA",26.36,19.58
"Bossier, LA",23.84,17.56
"Caddo, LA",26.0,18.83
"Calcasieu, LA",26.11,19.96
"Caldwell, LA",29.25,22.28
"Cameron, LA",26.64,20.86
"Catahoula, LA",29.49,21.75
"Claiborne, LA",27.84,20.83
"Concordia, LA",29.63,21.93
"De Soto, LA",27.92,20.96
"East Baton Rouge, LA",19.43,13.36
"East Carroll, LA",30.19,21.53
"East Feliciana, LA",25.22,18.25
"Evangeline, LA",30.84,23.18
"Franklin, LA",28.04,21.0
"Grant, LA",27.59,21.44
"Iberia, LA",27.75,21.21
"Iberville, LA",27.88,20.44
"Jackson, LA",26.8,19.92
"Jefferson, LA",23.61,16.93
"Jefferson Davis, LA",29.1,22.73
"Lafayette, LA",24.93,18.88
"Lafourche, LA",27.02,21.02
"La Salle, LA",26.66,20.54
"Lincoln, LA",19.95,13.84
"Livingston, LA",26.18,20.68
"Madison, LA",29.6,21.36
"Morehouse, LA",28.9,21.35
"Natchitoches, LA",24.3,18.08
"Orleans, LA",21.73,15.11
"Ouachita, LA",26.32,18.49
"Plaquemines, LA",25.56,20.27
"Pointe Coupee, LA",27.29,20.67
"Rapides, LA",26.78,19.93
"Red River, LA",28.43,21.34
"Richland, LA",27.29,21.08
"Sabine, LA",27.84,21.02
"St. Bernard, LA",29.65,23.56
"St. Charles, LA",24.02,17.96
"St. Helena, LA",26.08,18.49
"St. James, LA",26.04,18.21
"St. John the Baptist, LA",25.23,18.07
"St. Landry, LA",29.74,22.62
"St. Martin, LA",29.62,22.62
"St. Mary, LA",29.28,22.2
"St. Tammany, LA",22.27,16.66
"Tangipahoa, LA",25.38,19.04
"Tensas, LA",28.28,19.62
"Terrebonne, LA",28.38,22.43
"Union, LA",26.12,19.75
"Vermilion, LA",27.77,22.26
"Vernon, LA",24.94,19.01
"Washington, LA",29.11,22.31
"Webster, LA",27.28,20.77
"West Baton Rouge, LA",24.52,18.76
"West Carroll, LA",29.46,23.16
"West Feliciana, LA",25.42,18.02
"Winn, LA",28.73,22.31
"Androscoggin, ME",23.51,18.29
"Aroostook, ME",25.31,18.93
"Cumberland, ME",17.37,12.18
"Franklin, ME",22.57,17.21
"Hancock, ME",21.79,15.62
"Kennebec, ME",22.74,17.14
"Knox, ME",21.3,15.67
"Lincoln, ME",20.2,14.32
"Oxford, ME",25.06,18.8
"Penobscot, ME",22.99,17.79
"Piscataquis, ME",23.91,18.72
"Sagadahoc, ME",19.65,14.51
"Somerset, ME",25.07,19.85
"Waldo, ME",21.34,15.83
"Washington, ME",27.41,20.86
"York, ME",19.98,14.62
"Allegany, MD",24.2,17.77
"Anne Arundel, MD",19.1,14.05
"Baltimore, MD",19.25,13.53
"Calvert, MD",20.23,15.3
"Caroline, MD",23.91,17.79
"Carroll, MD",17.92,13.06
"Cecil, MD",22.8,17.38
"Charles, MD",17.96,12.33
"Dorchester, MD",23.41,16.72
"Frederick, MD",16.68,11.64
"Garrett, MD",22.14,16.83
"Harford, MD",18.81,13.31
"Howard, MD",11.47,7.48
"Kent, MD",20.4,14.24
"Montgomery, MD",11.51,7.22
"Prince George's, MD",18.29,12.04
"Queen Anne's, MD",19.36,13.79
"St. Mary's, MD",19.36,13.7
"Somerset, MD",25.88,18.37
"Talbot, MD",18.49,13.4
"Washington, MD",21.48,15.49
"Wicomico, MD",21.34,15.2
"Worcester, MD",20.44,15.16
"Baltimore, MD",26.5,18.89
"Barnstable, MA",19.81,14.22
"Berkshire, MA",21.32,15.61
"Bristol, MA",24.15,18.47
"Dukes, MA",18.8,13.03
"Essex, MA",18.1,12.95
"Franklin, MA",19.19,13.25
"Hampden, MA",22.13,16.3
"Hampshire, MA",16.66,11.62
"Middlesex, MA",15.83,11.17
"Nantucket, MA",15.51,10.2
"Norfolk, MA",16.19,11.05
"Plymouth, MA",21.86,16.13
"Suffolk, MA",18.68,12.6
"Worcester, MA",19.71,14.16
"Alcona, MI",26.3,19.55
"Alger, MI",26.03,18.88
"Allegan, MI",21.81,16.32
"Alpena, MI",24.94,18.91
"Antrim, MI",21.85,16.03
"Arenac, MI",27.65,20.94
"Baraga, MI",28.06,20.1
"Barry, MI",22.3,17.09
"Bay, MI",24.49,18.73
"Benzie, MI",21.33,15.51
"Berrien, MI",24.04,17.42
"Branch, MI",26.94,20.79
"Calhoun, MI",25.53,19.09
"Cass, MI",24.65,18.35
"Charlevoix, MI",22.37,16.74
"Cheboygan, MI",26.0,19.78
"Chippewa, MI",24.45,17.71
"Clare, MI",27.72,21.35
"Clinton, MI",19.39,14.33
"Crawford, MI",25.97,19.41
"Delta, MI",24.7,18.56
"Dickinson, MI",24.16,18.74
"Eaton, MI",20.34,14.89
"Emmet, MI",21.38,15.18
"Genesee, MI",26.15,19.08
"Gladwin, MI",25.97,19.75
"Gogebic, MI",25.41,18.67
"Grand Traverse, MI",20.26,14.73
"Gratiot, MI",26.48,20.12
"Hillsdale, MI",26.5,20.34
"Houghton, MI",20.2,14.66
"Huron, MI",25.8,19.6
"Ingham, MI",18.42,12.64
"Ionia, MI",25.24,19.25
"Iosco, MI",28.1,21.35
"Iron, MI",25.08,18.87
"Isabella, MI",22.71,16.55
"Jackson, MI",24.65,18.17
"Kalamazoo, MI",19.58,14.31
"Kalkaska, MI",26.48,20.19
"Kent, MI",20.23,14.28
"Keweenaw, MI",21.35,15.37
"Lake, MI",29.7,22.51
"Lapeer, MI",25.99,18.9
"Leelanau, MI",16.7,11.37
"Lenawee, MI",23.24,17.31
"Livingston, MI",19.16,13.63
"Luce, MI",26.69,19.67
"Mackinac, MI",25.16,18.18
"Macomb, MI",25.44,18.55
"Manistee, MI",23.98,17.63
"Marquette, MI",20.93,14.98
"Mason, MI",22.69,16.98
"Mecosta, MI",23.76,17.29
"Menominee, MI",25.47,19.65
"Midland, MI",19.59,14.18
"Missaukee, MI",24.29,18.17
"Monroe, MI",24.64,18.83
"Montcalm, MI",27.39,20.85
"Montmorency, MI",27.97,21.38
"Muskegon, MI",27.17,20.7
"Newaygo, MI",26.09,20.04
"Oakland, MI",18.38,12.17
"Oceana, MI",24.1,18.1
"Ogemaw, MI",27.74,20.75
"Ontonagon, MI",23.16,17.36
"Osceola, MI",25.17,19.22
"Oscoda, MI",27.68,20.9
"Otsego, MI",24.39,18.52
"Ottawa, MI",19.12,13.78
"Presque Isle, MI",24.49,18.48
"Roscommon, MI",26.99,20.15
"Saginaw, MI",24.7,17.61
"St. Clair, MI",28.0,20.98
"St. Joseph, MI",25.81,19.7
"Sanilac, MI",27.5,20.87
"Schoolcraft, MI",27.26,20.72
"Shiawassee, MI",25.65,19.74
"Tuscola, MI",26.56,19.95
"Van Buren, MI",24.99,18.33
"Washtenaw, MI",14.85,9.62
"Wayne, MI",25.61,18.18
"Wexford, MI",24.87,19.11
"Aitkin, MN",24.53,17.66
"Anoka, MN",20.27,14.86
"Becker, MN",21.47,15.92
"Beltrami, MN",23.86,16.22
"Benton, MN",19.71,14.6
"Big Stone, MN",22.2,16.51
"Blue Earth, MN",20.11,14.15
"Brown, MN",23.37,17.35
"Carlton, MN",23.99,17.27
"Carver, MN",15.04,9.8
"Cass, MN",23.24,16.22
"Chippewa, MN",22.73,17.21
"Chisago, MN",22.94,16.49
"Clay, MN",18.63,13.61
"Clearwater, MN",25.25,18.75
"Cook, MN",17.66,12.07
"Cottonwood, MN",22.38,16.62
"Crow Wing, MN",20.9,14.3
"Dakota, MN",17.2,11.76
"Dodge, MN",19.19,13.92
"Douglas, MN",19.24,13.77
"Faribault, MN",22.45,16.22
"Fillmore, MN",19.89,14.78
"Freeborn, MN",24.22,17.83
"Goodhue, MN",20.23,14.82
"Grant, MN",21.5,15.66
"Hennepin, MN",17.28,11.4
"Houston, MN",19.26,14.48
"Hubbard, MN",22.16,16.19
"Isanti, MN",23.24,17.38
"Itasca, MN",23.73,16.99
"Jackson, MN",21.25,15.74
"Kanabec, MN",24.85,18.45
"Kandiyohi, MN",19.96,14.54
"Kittson, MN",20.4,14.57
"Koochiching, MN",25.92,19.04
"Lac qui Parle, MN",21.48,15.85
"Lake, MN",22.02,16.27
"Lake of the Woods, MN",24.02,17.35
"Le Sueur, MN",20.35,14.82
"Lincoln, MN",20.6,15.0
"Lyon, MN",19.59,13.82
"McLeod, MN",21.86,15.74
"Mahnomen, MN",28.03,19.87
"Marshall, MN",21.55,15.7
"Martin, MN",22.36,16.47
"Meeker, MN",21.23,15.59
"Mille Lacs, MN",23.58,17.1
"Morrison, MN",21.2,15.34
"Mower, MN",21.98,16.27
"Murray, MN",21.18,15.52
"Nicollet, MN",18.9,13.01
"Nobles, MN",22.58,16.52
"Norman, MN",22.74,16.99
"Olmsted, MN",17.13,11.71
"Otter Tail, MN",20.21,15.0
"Pennington, MN",25.47,19.28
"Pine, MN",26.34,19.49
"Pipestone, MN",22.9,17.11
"Polk, MN",20.84,15.52
"Pope, MN",19.86,14.35
"Ramsey, MN",19.51,13.22
"Red Lake, MN",23.87,17.95
"Redwood, MN",23.21,17.18
"Renville, MN",22.12,16.03
"Rice, MN",18.88,13.48
"Rock, MN",21.87,16.5
"Roseau, MN",23.05,16.81
"St. Louis, MN",22.83,15.86
"Scott, MN",15.37,10.77
"Sherburne, MN",20.91,15.54
"Sibley, MN",21.38,15.18
"Stearns, MN",18.48,13.51
"Steele, MN",19.57,13.96
"Stevens, MN",19.0,13.5
"Swift, MN",22.26,16.75
"Todd, MN",21.91,16.27
"Traverse, MN",20.91,15.23
"Wabasha, MN",20.45,15.0
"Wadena, MN",23.57,18.0
"Waseca, MN",21.91,15.99
"Washington, MN",16.64,11.59
"Watonwan, MN",22.49,16.15
"Wilkin, MN",22.43,17.24
"Winona, MN",19.52,14.07
"Wright, MN",20.3,14.55
"Yellow Medicine, MN",21.59,15.86
"Adams, MS",25.36,17.42
"Alcorn, MS",25.73,19.14
"Amite, MS",27.3,19.48
"Attala, MS",24.32,17.09
"Benton, MS",26.92,20.06
"Bolivar, MS",23.75,15.76
"Calhoun, MS",27.32,20.02
"Carroll, MS",25.82,18.58
"Chickasaw, MS",26.65,18.85
"Choctaw, MS",23.8,16.88
"Claiborne, MS",24.15,15.08
"Clarke, MS",25.88,19.24
"Clay, MS",24.47,16.13
"Coahoma, MS",25.3,17.27
"Copiah, MS",27.18,18.99
"Covington, MS",26.46,18.71
"DeSoto, MS",24.13,17.91
"Forrest, MS",23.29,16.83
"Franklin, MS",25.97,19.13
"George, MS",26.24,19.94
"Greene, MS",27.8,20.61
"Grenada, MS",26.82,19.4
"Hancock, MS",25.54,19.22
"Harrison, MS",26.44,19.24
"Hinds, MS",22.81,15.61
"Holmes, MS",25.54,17.14
"Humphreys, MS",26.51,18.65
"Issaquena, MS",29.82,20.94
"Itawamba, MS",25.64,19.52
"Jackson, MS",25.4,18.4
"Jasper, MS",24.44,17.18
"Jefferson, MS",24.38,15.22
"Jefferson Davis, MS",25.18,16.16
"Jones, MS",24.81,18.12
"Kemper, MS",26.16,18.31
"Lafayette, MS",18.27,12.99
"Lamar, MS",19.62,13.88
"Lauderdale, MS",26.21,18.75
"Lawrence, MS",26.12,18.08
"Leake, MS",27.4,19.8
"Lee, MS",25.47,18.34
"Leflore, MS",25.96,18.31
"Lincoln, MS",26.1,18.8
"Lowndes, MS",23.36,15.89
"Madison, MS",16.81,11.01
"Marion, MS",26.54,19.41
"Marshall, MS",28.65,21.18
"Monroe, MS",26.61,19.26
"Montgomery, MS",27.02,19.2
"Neshoba, MS",28.74,22.01
"Newton, MS",24.88,18.74
"Noxubee, MS",26.91,17.93
"Oktibbeha, MS",16.26,10.02
"Panola, MS",26.25,19.24
"Pearl River, MS",26.98,21.16
"Perry, MS",27.54,20.95
"Pike, MS",25.67,17.97
"Pontotoc, MS",28.01,21.08
"Prentiss, MS",27.95,21.63
"Quitman, MS",27.65,19.53
"Rankin, MS",22.91,16.45
"Scott, MS",27.86,20.5
"Sharkey, MS",23.03,15.16
"Simpson, MS",26.8,19.09
"Smith, MS",25.41,18.81
"Stone, MS",26.21,19.65
"Sunflower, MS",26.38,18.47
"Tallahatchie, MS",28.74,21.13
"Tate, MS",24.44,18.43
"Tippah, MS",28.1,21.84
"Tishomingo, MS",27.1,20.62
"Tunica, MS",25.74,17.16
"Union, MS",27.61,21.68
"Walthall, MS",25.62,17.82
"Warren, MS",24.98,17.21
"Washington, MS",24.97,16.99
"Wayne, MS",25.23,18.5
"Webster, MS",24.32,17.41
"Wilkinson, MS",26.62,18.25
"Winston, MS",23.13,16.03
"Yalobusha, MS",27.56,20.73
"Yazoo, MS",27.0,19.42
"Adair, MO",23.27,17.88
"Andrew, MO",24.4,18.91
"Atchison, MO",22.83,17.24
"Audrain, MO",28.77,23.1
"Barry, MO",28.25,22.72
"Barton, MO",26.99,21.8
"Bates, MO",29.91,23.45
"Benton, MO",28.79,22.97
"Bollinger, MO",28.25,22.62
"Boone, MO",18.04,12.69
"Buchanan, MO",28.44,22.12
"Butler, MO",29.93,23.95
"Caldwell, MO",25.39,19.74
"Callaway, MO",24.34,18.78
"Camden, MO",27.06,20.66
"Cape Girardeau, MO",23.94,18.53
"Carroll, MO",26.95,21.05
"Carter, MO",28.36,22.21
"Cass, MO",25.76,19.49
"Cedar, MO",26.98,21.56
"Chariton, MO",26.35,20.89
"Christian, MO",21.96,16.9
"Clark, MO",27.83,22.15
"Clay, MO",23.0,16.94
"Clinton, MO",25.61,19.78
"Cole, MO",21.36,15.75
"Cooper, MO",27.35,21.23
"Crawford, MO",29.54,23.8
"Dade, MO",28.69,22.64
"Dallas, MO",27.89,22.0
"Daviess, MO",25.61,19.9
"DeKalb, MO",29.71,23.25
"Dent, MO",29.73,24.19
"Douglas, MO",28.77,23.59
"Dunklin, MO",32.35,26.52
"Franklin, MO",26.54,21.18
"Gasconade, MO",27.05,21.33
"Gentry, MO",26.98,21.34
"Greene, MO",23.59,17.71
"Grundy, MO",27.51,22.12
"Harrison, MO",29.26,23.73
"Henry, MO",28.05,22.04
"Hickory, MO",31.03,24.55
"Holt, MO",25.56,19.91
"Howard, MO",25.9,20.05
"Howell, MO",25.21,20.23
"Iron, MO",29.82,24.05
"Jackson, MO",25.9,18.2
"Jasper, MO",27.52,22.11
"Jefferson, MO",28.19,22.14
"Johnson, MO",22.42,16.32
"Knox, MO",26.19,20.6
"Laclede, MO",29.07,23.8
"Lafayette, MO",26.54,20.13
"Lawrence, MO",27.21,21.7
"Lewis, MO",26.64,20.86
"Lincoln, MO",27.51,21.71
"Linn, MO",27.66,22.15
"Livingston, MO",25.97,20.54
"McDonald, MO",29.81,23.71
"Macon, MO",26.46,21.29
"Madison, MO",29.09,23.37
"Maries, MO",26.11,19.96
"Marion, MO",27.96,22.61
"Mercer, MO",26.08,20.57
"Miller, MO",27.63,21.56
"Mississippi, MO",32.3,25.65
"Moniteau, MO",26.54,20.73
"Monroe, MO",27.1,21.67
"Montgomery, MO",29.06,23.09
"Morgan, MO",28.67,22.6
"New Madrid, MO",29.79,23.67
"Newton, MO",26.72,21.27
"Nodaway, MO",23.9,18.2
"Oregon, MO",28.73,23.08
"Osage, MO",24.5,19.15
"Ozark, MO",29.55,23.58
"Pemiscot, MO",31.69,24.4
"Perry, MO",27.46,22.09
"Pettis, MO",26.94,21.3
"Phelps, MO",24.27,18.24
"Pike, MO",29.88,23.32
"Platte, MO",20.02,14.63
"Polk, MO",25.78,20.13
"Pulaski, MO",24.57,17.9
"Putnam, MO",26.1,20.53
"Ralls, MO",25.22,19.62
"Randolph, MO",29.56,24.2
"Ray, MO",27.73,21.42
"Reynolds, MO",31.21,25.29
"Ripley, MO",30.5,24.35
"St. Charles, MO",19.61,15.05
"St. Clair, MO",28.33,22.25
"Ste. Genevieve, MO",27.68,22.25
"St. Francois, MO",29.88,23.55
"St. Louis, MO",20.92,15.13
"Saline, MO",27.76,21.45
"Schuyler, MO",29.43,23.7
"Scotland, MO",25.22,19.69
"Scott, MO",28.57,23.24
"Shannon, MO",26.95,21.42
"Shelby, MO",26.4,20.97
"Stoddard, MO",28.91,23.8
"Stone, MO",27.37,21.78
"Sullivan, MO",26.97,20.56
"Taney, MO",27.26,21.56
"Texas, MO",28.49,22.56
"Vernon, MO",29.8,24.16
"Warren, MO",26.84,21.33
"Washington, MO",31.7,25.32
"Wayne, MO",30.53,24.66
"Webster, MO",27.29,22.08
"Worth, MO",24.39,19.08
"Wright, MO",28.55,23.76
"St. Louis, MO",28.75,20.51
"Beaverhead, MT",19.28,13.76
"Big Horn, MT",30.99,20.97
"Blaine, MT",27.65,18.77
"Broadwater, MT",24.07,17.88
"Carbon, MT",19.34,13.46
"Carter, MT",22.9,17.25
"Cascade, MT",22.65,17.24
"Chouteau, MT",22.91,16.17
"Custer, MT",23.25,17.82
"Daniels, MT",20.05,14.59
"Dawson, MT",23.28,17.76
"Deer Lodge, MT",26.04,19.92
"Fallon, MT",21.72,16.25
"Fergus, MT",22.08,16.53
"Flathead, MT",19.27,14.18
"Gallatin, MT",15.08,10.01
"Garfield, MT",23.0,17.37
"Glacier, MT",29.13,20.08
"Golden Valley, MT",20.01,14.32
"Granite, MT",21.15,15.18
"Hill, MT",25.62,18.47
"Jefferson, MT",18.48,12.68
"Judith Basin, MT",18.35,12.99
"Lake, MT",24.64,16.97
"Lewis and Clark, MT",18.73,13.13
"Liberty, MT",24.04,17.87
"Lincoln, MT",21.41,16.08
"McCone, MT",20.65,15.22
"Madison, MT",17.78,12.22
"Meagher, MT",26.6,20.24
"Mineral, MT",25.88,19.34
"Missoula, MT",18.47,12.95
"Musselshell, MT",23.58,17.61
