county_state,cig_total_2012,cig_daily_2012
"Woodruff, AR",28.88,21.24
"Yell, AR",27.45,21.03
"Alameda, CA",12.93,8.62
"Alpine, CA",18.23,11.74
"Amador, CA",22.43,16.49
"Butte, CA",21.01,15.24
"Calaveras, CA",19.66,14.34
"Colusa, CA",19.69,13.07
"Contra Costa, CA",13.92,9.24
"Del Norte, CA",26.01,18.67
"El Dorado, CA",16.92,11.77
"Fresno, CA",17.28,11.35
"Glenn, CA",21.46,14.88
"Humboldt, CA",22.09,15.37
"Imperial, CA",16.22,9.58
"Inyo, CA",20.32,14.35
"Kern, CA",17.42,12.26
"Kings, CA",17.37,12.04
"Lake, CA",23.2,16.51
"Lassen, CA",24.35,16.87
"Los Angeles, CA",13.37,8.31
"Madera, CA",19.37,13.39
"Marin, CA",12.24,7.72
"Mariposa, CA",18.9,13.91
"Mendocino, CA",22.03,15.12
"Merced, CA",18.25,12.65
"Modoc, CA",20.94,14.55
"Mono, CA",17.58,12.03
"Monterey, CA",15.39,9.65
"Napa, CA",15.36,10.28
"Nevada, CA",16.42,11.09
"Orange, CA",11.85,7.82
"Placer, CA",15.01,10.34
"Plumas, CA",21.63,15.54
"Riverside, CA",17.08,11.38
"Sacramento, CA",18.26,12.65
"San Benito, CA",15.77,10.04
"San Bernardino, CA",17.31,11.2
"San Diego, CA",13.65,9.16
"San Francisco, CA",12.34,7.64
"San Joaquin, CA",18.99,13.63
"San Luis Obispo, CA",14.03,10.01
"San Mateo, CA",11.39,7.38
"Santa Barbara, CA",13.3,9.16
"Santa Clara, CA",11.25,7.07
"Santa Cruz, CA",13.58,8.58
"Shasta, CA",22.98,17.0
"Sierra, CA",22.29,15.64
"Siskiyou, CA",21.19,14.94
"Solano, CA",16.64,11.51
"Sonoma, CA",16.52,11.3
"Stanislaus, CA",18.97,13.48
"Sutter, CA",19.24,13.72
"Tehama, CA",23.92,17.48
"Trinity, CA",23.47,16.13
"Tulare, CA",16.76,11.38
"Tuolumne, CA",22.31,16.63
"Ventura, CA",13.12,8.87
"Yolo, CA",13.98,9.24
"Yuba, CA",21.46,15.57
"Alamosa, CO",19.29,12.76
"Arapahoe, CO",17.21,11.33
"Archuleta, CO",18.97,12.69
"Baca, CO",21.97,15.87
"Bent, CO",27.5,19.72
"Adams County/Boulder County/Broomfield County/Jefferson County/Weld, CO",18.68,12.33
"Chaffee, CO",21.55,14.59
"Cheyenne, CO",20.97,15.06
"Clear Creek, CO",18.78,12.51
"Conejos, CO",18.02,11.32
"Costilla, CO",20.4,12.67
"Crowley, CO",25.92,18.3
"Custer, CO",22.3,15.59
"Delta, CO",24.03,17.66
"Denver, CO",20.39,12.6
"Dolores, CO",22.05,16.07
"Douglas, CO",11.92,7.9
"Eagle, CO",13.7,8.58
"Elbert, CO",16.73,11.52
"El Paso, CO",18.02,13.27
"Fremont, CO",29.09,22.02
"Garfield, CO",19.09,13.55
"Gilpin, CO",20.48,14.03
"Grand, CO",19.89,13.7
"Gunnison, CO",14.23,8.9
"Hinsdale, CO",14.74,9.45
"Huerfano, CO",21.06,13.95
"Jackson, CO",20.23,14.36
"Kiowa, CO",19.76,14.09
"Kit Carson, CO",23.79,17.45
"Lake, CO",19.64,12.96
"La Plata, CO",16.91,10.97
"Larimer, CO",16.25,10.84
"Las Animas, CO",22.05,14.76
"Lincoln, CO",23.7,17.08
"Logan, CO",25.28,18.54
"Mesa, CO",21.59,16.27
"Mineral, CO",15.62,10.35
"Moffat, CO",23.03,17.69
"Montezuma, CO",19.83,13.7
"Montrose, CO",21.8,16.0
"Morgan, CO",22.95,16.35
"Otero, CO",23.87,16.47
"Ouray, CO",15.24,9.88
"Park, CO",20.05,13.37
"Phillips, CO",20.76,14.65
"Pitkin, CO",13.55,8.48
"Prowers, CO",21.55,15.22
"Pueblo, CO",22.98,15.77
"Rio Blanco, CO",18.34,13.16
"Rio Grande, CO",19.34,12.78
"Routt, CO",14.7,9.75
"Saguache, CO",21.47,14.12
"San Juan, CO",19.82,13.44
"San Miguel, CO",12.74,8.06
"Sedgwick, CO",22.87,16.57
"Summit, CO",14.36,9.29
"Teller, CO",23.17,16.52
"Washington, CO",21.6,15.48
"Yuma, CO",21.13,15.21
"Fairfield, CT",14.91,9.51
"Hartford, CT",17.9,12.47
"Litchfield, CT",19.21,13.57
"Middlesex, CT",17.35,12.36
"New Haven, CT",19.12,13.39
"New London, CT",18.83,13.24
"Tolland, CT",16.22,11.64
"Windham, CT",21.11,15.63
"Kent, DE",24.44,18.4
"New Castle, DE",19.85,14.16
"Sussex, DE",24.56,18.61
"District of Columbia, DC",19.63,11.21
"Alachua, FL",16.72,11.16
"Baker, FL",28.03,21.74
"Bay, FL",24.22,18.55
"Bradford, FL",26.99,20.51
"Brevard, FL",23.43,17.17
"Broward, FL",17.68,11.14
"Calhoun, FL",28.7,21.71
"Charlotte, FL",24.39,18.3
"Citrus, FL",26.54,20.61
"Clay, FL",20.45,14.83
"Collier, FL",19.07,12.58
"Columbia, FL",27.9,20.9
"DeSoto, FL",28.03,19.72
"Dixie, FL",29.22,22.27
"Duval, FL",21.79,15.15
"Escambia, FL",23.06,17.04
"Flagler, FL",24.14,17.9
"Franklin, FL",27.43,20.12
"Gadsden, FL",24.04,15.82
"Gilchrist, FL",26.75,20.3
"Glades, FL",26.92,19.1
"Gulf, FL",27.71,20.49
"Hamilton, FL",29.37,21.05
"Hardee, FL",25.26,18.25
"Hendry, FL",23.55,15.92
"Hernando, FL",26.26,20.14
"Highlands, FL",24.99,18.56
"Hillsborough, FL",19.67,14.2
"Holmes, FL",27.47,21.63
"Indian River, FL",23.57,16.73
"Jackson, FL",25.2,18.62
"Jefferson, FL",23.95,16.58
"Lafayette, FL",26.06,18.94
"Lake, FL",22.83,16.98
"Lee, FL",21.11,14.94
"Leon, FL",16.16,9.99
"Levy, FL",26.24,19.4
"Liberty, FL",27.51,19.86
"Madison, FL",25.86,18.4
"Manatee, FL",22.87,16.72
"Marion, FL",24.7,18.34
"Martin, FL",20.98,15.14
"Miami-Dade, FL",16.18,8.84
"Monroe, FL",20.12,13.29
"Nassau, FL",22.85,17.11
"Okaloosa, FL",21.62,15.65
"Okeechobee, FL",28.04,20.58
"Orange, FL",18.68,12.76
"Osceola, FL",20.46,13.96
"Palm Beach, FL",18.25,12.46
"Pasco, FL",25.23,18.78
"Pinellas, FL",23.23,17.17
"Polk, FL",23.97,17.71
"Putnam, FL",27.17,20.29
"St. Johns, FL",17.37,11.79
"St. Lucie, FL",24.1,17.1
"Santa Rosa, FL",21.89,16.02
"Sarasota, FL",23.69,17.11
"Seminole, FL",18.73,13.01
"Sumter, FL",25.71,19.1
"Suwannee, FL",27.15,20.2
"Taylor, FL",27.6,20.86
"Union, FL",27.98,21.22
"Volusia, FL",24.58,18.53
"Wakulla, FL",25.38,18.17
"Walton, FL",23.28,17.14
"Washington, FL",27.38,20.98
"Appling, GA",25.7,19.07
"Atkinson, GA",27.07,18.84
"Bacon, GA",27.52,20.66
"Baker, GA",26.14,18.63
"Baldwin, GA",24.18,17.24
"Banks, GA",24.62,19.01
"Barrow, GA",23.31,17.15
"Bartow, GA",25.82,19.57
"Ben Hill, GA",27.49,20.49
"Berrien, GA",28.13,20.48
"Bibb, GA",22.81,16.09
"Bleckley, GA",25.14,18.66
"Brantley, GA",30.17,23.34
"Brooks, GA",26.07,18.63
"Bryan, GA",20.05,13.86
"Bulloch, GA",20.67,14.32
"Burke, GA",26.73,19.35
"Butts, GA",27.66,20.0
"Calhoun, GA",25.77,17.24
"Camden, GA",23.07,16.94
"Candler, GA",24.24,17.33
"Carroll, GA",24.49,18.53
"Catoosa, GA",25.06,19.21
"Charlton, GA",29.75,21.96
"Chatham, GA",21.72,14.32
"Chattahoochee, GA",19.16,12.91
"Chattooga, GA",29.77,22.34
"Cherokee, GA",18.89,13.27
"Clarke, GA",17.59,11.01
"Clay, GA",26.96,18.56
"Clayton, GA",22.19,14.6
"Clinch, GA",26.46,19.5
"Cobb, GA",16.45,11.0
"Coffee, GA",26.84,19.13
"Colquitt, GA",25.84,18.09
"Columbia, GA",17.63,12.49
"Cook, GA",27.67,19.77
"Coweta, GA",21.51,15.71
"Crawford, GA",25.13,18.4
"Crisp, GA",27.35,19.61
"Dade, GA",24.46,18.57
"Dawson, GA",22.49,16.79
"Decatur, GA",24.86,17.66
"DeKalb, GA",17.57,10.36
"Dodge, GA",24.59,17.89
"Dooly, GA",27.74,19.67
"Dougherty, GA",24.16,16.31
"Douglas, GA",22.15,15.69
"Early, GA",26.0,18.31
"Echols, GA",25.25,18.41
"Effingham, GA",23.37,17.24
"Elbert, GA",26.86,19.5
"Emanuel, GA",26.37,19.46
"Evans, GA",25.93,18.55
"Fannin, GA",26.28,19.66
"Fayette, GA",15.75,10.59
"Floyd, GA",25.45,18.05
"Forsyth, GA",15.19,10.53
"Franklin, GA",24.88,18.48
"Fulton, GA",15.87,9.97
"Gilmer, GA",26.13,19.59
