county_state,hd_deaths_per100k_over65
"Cochise, AZ",1006.0
"Cochran, TX",1267.9
"Cocke, TN",1719.2
"Coconino, AZ",783.3
"Codington, SD",895.8
"Coffee, AL",1525.1
"Coffee, GA",1219.1
"Coffee, TN",1561.1
"Coffey, KS",1210.1
"Coke, TX",1114.2
"Colbert, AL",1502.0
"Cole, MO",955.9
"Coleman, TX",1292.6
"Coles, IL",1100.8
"Colfax, NE",912.4
"Colfax, NM",793.3
"Colleton, SC",1300.4
"Collier, FL",542.8
"Collin, TX",820.0
"Collingsworth, TX",1426.7
"Colorado, TX",1177.9
"Colquitt, GA",944.8
"Columbia, AR",1269.7
"Columbia, FL",950.0
"Columbia, GA",779.8
"Columbia, NY",1138.4
"Columbia, OR",959.6
"Columbia, PA",1237.7
"Columbia, WA",893.7
"Columbia, WI",1067.3
"Columbiana, OH",1281.7
"Columbus, NC",1498.5
"Colusa, CA",961.8
"Comal, TX",1074.2
"Comanche, KS",1178.8
"Comanche, OK",1222.5
"Comanche, TX",1333.7
"Concho, TX",1128.2
"Concordia, LA",1570.3
"Conecuh, AL",1234.2
"Conejos, CO",983.5
"Contra Costa, CA",709.3
"Converse, WY",957.0
"Conway, AR",1255.6
"Cook, GA",1288.7
"Cook, IL",1022.8
"Cook, MN",542.5
"Cooke, TX",991.7
"Cooper, MO",1247.6
"Coos, NH",
"Coos, OR",1193.3
"Coosa, AL",1314.1
"Copiah, MS",1386.7
"Corson, SD",1269.3
"Cortland, NY",971.1
"Coryell, TX",1064.0
"Coshocton, OH",1204.5
"Costilla, CO",825.2
"Cottle, TX",1127.1
"Cotton, OK",1139.1
"Cottonwood, MN",908.3
"Covington, AL",1576.6
"Covington, MS",1544.2
"Coweta, GA",1158.7
"Cowley, KS",1151.7
"Cowlitz, WA",1080.4
"Craig, OK",1767.4
"Craig, VA",903.6
"Craighead, AR",1322.1
"Crane, TX",1137.0
"Craven, NC",1020.9
"Crawford, AR",1259.6
"Crawford, GA",1361.2
"Crawford, IA",980.9
"Crawford, IL",1190.2
"Crawford, IN",1104.1
"Crawford, KS",1237.8
"Crawford, MI",1210.4
"Crawford, MO",1829.1
"Crawford, OH",1268.9
"Crawford, PA",1166.2
"Crawford, WI",989.9
"Creek, OK",1485.7
"Crenshaw, AL",1551.6
"Crisp, GA",1154.2
"Crittenden, AR",1220.2
"Crittenden, KY",1786.6
"Crockett, TN",1910.2
"Crockett, TX",1828.1
"Crook, OR",968.8
"Crook, WY",1041.1
"Crosby, TX",1284.2
"Cross, AR",1332.4
"Crow Wing, MN",739.2
"Crowley, CO",867.0
"Culberson, TX",969.5
"Cullman, AL",1710.6
"Culpeper, VA",912.1
"Cumberland, IL",1107.6
"Cumberland, KY",1530.4
"Cumberland, ME",868.0
"Cumberland, NC",1064.4
"Cumberland, NJ",1316.1
"Cumberland, PA",1177.6
"Cumberland, TN",915.5
"Cumberland, VA",959.0
"Cuming, NE",1027.2
"Currituck, NC",1197.1
"Curry, NM",1255.3
"Curry, OR",1150.9
"Custer, CO",758.6
"Custer, ID",757.9
"Custer, MT",1168.3
"Custer, NE",1068.4
"Custer, OK",1449.2
"Custer, SD",926.7
"Cuyahoga, OH",1238.4
"Dade, GA",1390.9
"Dade, MO",1226.9
"Daggett, UT",906.2
"Dakota, MN",662.2
"Dakota, NE",905.2
"Dale, AL",1200.4
"Dallam, TX",974.9
"Dallas, AL",1656.2
"Dallas, AR",1320.5
"Dallas, IA",867.3
"Dallas, MO",1106.1
"Dallas, TX",995.9
"Dane, WI",823.5
"Daniels, MT",1170.8
"Dare, NC",958.9
"Darke, OH",1360.4
"Darlington, SC",1353.1
"Dauphin, PA",1086.1
"Davidson, NC",1032.9
"Davidson, TN",1101.2
"Davie, NC",939.2
"Daviess, IN",1145.6
"Daviess, KY",1175.4
"Daviess, MO",1256.3
"Davis, IA",1166.2
"Davis, UT",1096.6
"Davison, SD",930.0
"Dawes, NE",1013.0
"Dawson, GA",975.0
"Dawson, MT",617.1
"Dawson, NE",1088.2
"Dawson, TX",1209.5
"Day, SD",912.2
"De Baca, NM",1128.6
"De Soto, LA",1079.2
"De Witt, IL",1106.8
"DeKalb, AL",1466.4
"DeKalb, GA",769.5
"DeKalb, IL",1012.8
"DeKalb, IN",1109.3
"DeKalb, MO",1228.4
"DeKalb, TN",1205.8
"DeSoto, FL",633.9
"DeSoto, MS",1242.5
"DeWitt, TX",1182.2
"Deaf Smith, TX",1206.9
"Dearborn, IN",1072.5
"Decatur, GA",1534.8
"Decatur, IA",1245.8
"Decatur, IN",1251.2
"Decatur, KS",1059.3
"Decatur, TN",1428.2
"Deer Lodge, MT",1243.6
"Defiance, OH",1098.8
"Del Norte, CA",961.4
"Delaware, IA",1028.6
"Delaware, IN",1138.5
"Delaware, NY",1220.9
"Delaware, OH",998.8
"Delaware, OK",1318.1
"Delaware, PA",1082.6
"Delta, CO",1061.6
"Delta, MI",1077.8
"Delta, TX",1433.5
"Dent, MO",973.0
"Denton, TX",832.6
"Denver, CO",848.2
"Des Moines, IA",1097.8
"Deschutes, OR",892.2
"Desha, AR",1891.7
"Deuel, NE",717.5
"Deuel, SD",958.9
"Dewey, OK",1422.3
"Dewey, SD",1092.6
"Dickens, TX",1201.8
"Dickenson, VA",1302.5
"Dickey, ND",1026.2
"Dickinson, IA",1039.3
"Dickinson, KS",1043.4
"Dickinson, MI",1046.0
"Dickson, TN",1627.4
"Dillon, SC",1184.9
"Dimmit, TX",949.8
"Dinwiddie, VA",944.1
"Divide, ND",592.3
"Dixie, FL",1010.8
"Dixon, NE",1115.2
"Doddridge, WV",1042.9
"Dodge, GA",1131.5
"Dodge, MN",1065.7
"Dodge, NE",880.7
"Dodge, WI",1148.3
"Dolores, CO",728.0
"Dona Ana, NM",
"Doniphan, KS",1252.8
"Donley, TX",1307.9
"Dooly, GA",1018.3
"Door, WI",1176.5
"Dorchester, MD",1164.1
"Dorchester, SC",922.2
"Dougherty, GA",904.5
"Douglas, CO",617.5
"Douglas, GA",1193.3
"Douglas, IL",1039.7
"Douglas, KS",878.3
"Douglas, MN",886.0
"Douglas, MO",1296.0
"Douglas, NE",867.2
"Douglas, NV",904.9
"Douglas, OR",861.0
"Douglas, SD",941.1
"Douglas, WA",867.8
"Douglas, WI",900.5
"Drew, AR",1032.5
"DuPage, IL",864.3
"Dubois, IN",1157.8
"Dubuque, IA",1018.1
"Duchesne, UT",1019.5
"Dukes, MA",837.6
"Dundy, NE",1140.9
"Dunklin, MO",1598.5
"Dunn, ND",945.2
"Dunn, WI",999.2
"Duplin, NC",1006.8
"Durham, NC",798.3
"Dutchess, NY",1143.0
"Duval, FL",999.9
"Duval, TX",967.8
"Dyer, TN",1883.2
"Eagle, CO",470.2
"Early, GA",1407.8
"East Baton Rouge, LA",1151.5
"East Carroll, LA",1451.7
"East Feliciana, LA",1872.8
"Eastland, TX",1339.5
"Eaton, MI",1153.0
"Eau Claire, WI",1056.7
"Echols, GA",908.1
"Ector, TX",1292.6
"Eddy, ND",1070.1
"Eddy, NM",1318.3
"Edgar, IL",1253.0
"Edgecombe, NC",1103.6
"Edgefield, SC",878.6
"Edmonson, KY",1117.7
"Edmunds, SD",905.2
"Edwards, IL",1269.4
"Edwards, KS",1135.6
"Edwards, TX",977.9
"Effingham, GA",1322.6
"Effingham, IL",1120.8
"El Dorado, CA",856.9
"El Paso, CO",870.4
"El Paso, TX",909.9
"Elbert, CO",812.9
"Elbert, GA",1105.9
"Elk, KS",1312.7
"Elk, PA",1163.9
"Elkhart, IN",1077.4
"Elko, NV",1104.1
"Elliott, KY",1067.8
"Ellis, KS",993.0
"Ellis, OK",1293.8
"Ellis, TX",1077.9
"Ellsworth, KS",964.1
"Elmore, AL",1618.8
"Elmore, ID",1117.9
"Emanuel, GA",1700.0
"Emery, UT",1550.8
"Emmet, IA",1247.6
"Emmet, MI",1070.5
"Emmons, ND",757.8
"Erath, TX",1216.4
"Erie, NY",1094.5
"Erie, OH",1183.4
"Erie, PA",998.8
"Escambia, AL",1338.6
"Escambia, FL",1045.5
"Esmeralda, NV",854.1
"Essex, MA",900.9
"Essex, NJ",985.9
"Essex, NY",935.4
"Essex, VA",1141.5
"Essex, VT",923.0
"Estill, KY",1344.8
"Etowah, AL",1546.3
"Eureka, NV",1188.4
"Evangeline, LA",1334.2
"Evans, GA",1081.7
"Fairfield, CT",891.9
"Fairfield, OH",1165.3
"Fairfield, SC",1037.7
"Fall River, SD",1247.8
"Fallon, MT",1047.9
"Falls, TX",1112.1
"Fannin, GA",1055.0
"Fannin, TX",1576.8
"Faribault, MN",1111.8
"Faulk, SD",941.0
"Faulkner, AR",1167.3
"Fauquier, VA",810.0
"Fayette, AL",1409.3
"Fayette, GA",850.8
"Fayette, IA",1242.1
"Fayette, IL",1036.1
"Fayette, IN",1419.9
"Fayette, KY",865.9
"Fayette, OH",1498.3
"Fayette, PA",1486.6
"Fayette, TN",1075.4
"Fayette, TX",1071.3
"Fayette, WV",1217.4
"Fentress, TN",1214.1
"Fergus, MT",1198.5
"Ferry, WA",836.6
"Fillmore, MN",1006.6
"Fillmore, NE",1087.2
"Finney, KS",776.3
"Fisher, TX",1129.5
"Flagler, FL",898.3
"Flathead, MT",974.6
"Fleming, KY",1372.1
"Florence, SC",1159.1
"Florence, WI",1160.5
"Floyd, GA",1496.8
"Floyd, IA",1169.7
"Floyd, IN",1021.7
"Floyd, KY",1458.7
"Floyd, TX",1279.2
"Floyd, VA",940.0
"Fluvanna, VA",875.8
"Foard, TX",1052.3
"Fond du Lac, WI",1039.5
"Ford, IL",1220.8
"Ford, KS",1124.4
"Forest, PA",1173.8
"Forest, WI",1239.5
"Forrest, MS",1199.8
"Forsyth, GA",840.6
"Forsyth, NC",919.4
"Fort Bend, TX",858.3
"Foster, ND",1077.6
"Fountain, IN",1182.4
"Franklin, AL",1504.0
"Franklin, AR",1346.6
"Franklin, FL",1101.7
"Franklin, GA",1355.9
"Franklin, IA",1197.2
"Franklin, ID",1060.0
"Franklin, IL",1048.0
"Franklin, IN",1038.8
"Franklin, KS",1128.6
"Franklin, KY",1138.0
"Franklin, LA",2749.7
"Franklin, MA",956.6
"Franklin, ME",885.2
"Franklin, MO",1236.7
"Franklin, MS",1354.5
"Franklin, NC",997.8
"Franklin, NE",1048.3
"Franklin, NY",1067.7
"Franklin, OH",1062.0
"Franklin, PA",1042.8
"Franklin, TN",1396.0
"Franklin, TX",1227.6
"Franklin, VA",
"Franklin, VT",1207.6
"Franklin, WA",893.1
"Frederick, MD",1005.1
"Frederick, VA",1046.7
"Freeborn, MN",910.0
"Freestone, TX",1120.5
"Fremont, CO",941.6
"Fremont, IA",911.8
"Fremont, ID",1041.5
"Fremont, WY",971.9
"Fresno, CA",1112.2
"Frio, TX",1149.4
"Frontier, NE",834.9
"Fulton, AR",1144.7
"Fulton, GA",855.0
"Fulton, IL",1096.0
"Fulton, IN",1222.9
"Fulton, KY",1628.7
"Fulton, NY",1136.8
"Fulton, OH",1310.0
"Fulton, PA",1188.9
"Furnas, NE",1003.1
"Gadsden, FL",877.9
"Gage, NE",974.9
"Gaines, TX",1305.9
"Gallatin, IL",1225.4
"Gallatin, KY",1187.9
"Gallatin, MT",995.0
"Gallia, OH",1264.6
"Galveston, TX",1050.8
"Garden, NE",1054.5
"Garfield, CO",881.2
"Garfield, MT",1126.0
"Garfield, NE",1286.9
"Garfield, OK",1265.0
"Garfield, UT",1038.3
"Garfield, WA",1025.9
"Garland, AR",1316.5
"Garrard, KY",1030.1
"Garrett, MD",1388.0
"Garvin, OK",1403.0
"Garza, TX",1254.9
"Gasconade, MO",1161.3
"Gaston, NC",1073.7
"Gates, NC",977.4
"Geary, KS",1356.7
"Geauga, OH",930.5
"Gem, ID",1277.1
"Genesee, MI",1330.5
"Genesee, NY",1124.9
"Geneva, AL",1297.3
"Gentry, MO",1077.9
"George, MS",1936.2
"Georgetown, SC",933.4
"Gibson, IN",1141.6
"Gibson, TN",1498.3
"Gila, AZ",1009.4
"Gilchrist, FL",928.9
"Giles, TN",1348.1
"Giles, VA",1165.7
"Gillespie, TX",881.2
"Gilliam, OR",777.2
"Gilmer, GA",1091.5
"Gilmer, WV",1107.6
