county_state,dbt_total_2012
"Sutter, CA",10.06
"Tehama, CA",9.71
"Trinity, CA",8.76
"Tulare, CA",12.7
"Tuolumne, CA",8.49
"Ventura, CA",9.13
"Yolo, CA",8.61
"Yuba, CA",10.53
"Adams, CO",7.57
"Alamosa, CO",9.41
"Arapahoe, CO",7.57
"Archuleta, CO",7.25
"Baca, CO",8.95
"Bent, CO",11.42
"Boulder, CO",7.57
"Broomfield, CO",7.57
"Chaffee, CO",6.71
"Cheyenne, CO",8.02
"Clear Creek, CO",6.61
"Conejos, CO",10.77
"Costilla, CO",12.13
"Crowley, CO",12.52
"Custer, CO",7.25
"Delta, CO",7.9
"Denver, CO",7.57
"Dolores, CO",7.93
"Douglas, CO",5.67
"Eagle, CO",6.49
"Elbert, CO",6.49
"El Paso, CO",7.68
"Fremont, CO",8.54
"Garfield, CO",7.71
"Gilpin, CO",6.8
"Grand, CO",6.35
"Gunnison, CO",6.46
"Hinsdale, CO",5.63
"Huerfano, CO",9.51
"Jackson, CO",7.75
"Jefferson, CO",7.57
"Kiowa, CO",8.26
"Kit Carson, CO",8.91
"Lake, CO",8.04
"La Plata, CO",6.23
"Larimer, CO",6.75
"Las Animas, CO",9.82
"Lincoln, CO",8.59
"Logan, CO",9.07
"Mesa, CO",7.86
"Mineral, CO",6.03
"Moffat, CO",8.63
"Montezuma, CO",8.04
"Montrose, CO",7.79
"Morgan, CO",9.37
"Otero, CO",10.51
"Ouray, CO",5.63
"Park, CO",6.64
"Phillips, CO",8.39
"Pitkin, CO",5.65
"Prowers, CO",10.17
"Pueblo, CO",10.06
"Rio Blanco, CO",7.57
"Rio Grande, CO",9.58
"Routt, CO",5.86
"Saguache, CO",9.89
"San Juan, CO",6.98
"San Miguel, CO",6.21
"Sedgwick, CO",8.63
"Summit, CO",6.04
"Teller, CO",6.46
"Washington, CO",8.28
"Weld, CO",7.57
"Yuma, CO",8.56
"Fairfield, CT",8.01
"Hartford, CT",8.92
"Litchfield, CT",7.65
"Middlesex, CT",7.89
"New Haven, CT",9.2
"New London, CT",8.62
"Tolland, CT",8.56
"Windham, CT",9.94
"Kent, DE",11.09
"New Castle, DE",9.18
"Sussex, DE",10.71
,10.04
"Alachua, FL",10.57
"Baker, FL",12.15
"Bay, FL",11.09
"Bradford, FL",12.92
"Brevard, FL",10.12
"Broward, FL",10.88
"Calhoun, FL",12.45
"Charlotte, FL",9.09
"Citrus, FL",9.65
"Clay, FL",11.09
"Collier, FL",8.62
"Columbia, FL",12.25
"DeSoto, FL",12.87
"Dixie, FL",12.47
"Duval, FL",12.39
"Escambia, FL",11.55
"Flagler, FL",10.61
"Franklin, FL",11.6
"Gadsden, FL",15.31
"Gilchrist, FL",11.12
"Glades, FL",11.62
"Gulf, FL",12.0
"Hamilton, FL",14.23
"Hardee, FL",13.06
"Hendry, FL",13.68
"Hernando, FL",10.96
"Highlands, FL",11.2
"Hillsborough, FL",11.23
"Holmes, FL",11.39
"Indian River, FL",9.45
"Jackson, FL",12.15
"Jefferson, FL",13.13
"Lafayette, FL",12.54
"Lake, FL",10.48
"Lee, FL",9.18
"Leon, FL",10.96
"Levy, FL",11.23
"Liberty, FL",12.79
"Madison, FL",14.22
"Manatee, FL",9.66
"Marion, FL",10.76
"Martin, FL",8.51
"Miami-Dade, FL",12.44
"Monroe, FL",8.64
"Nassau, FL",10.74
"Okaloosa, FL",9.77
"Okeechobee, FL",11.79
"Orange, FL",11.61
"Osceola, FL",13.11
"Palm Beach, FL",9.2
"Pasco, FL",10.75
"Pinellas, FL",10.14
"Polk, FL",11.27
"Putnam, FL",12.64
"Saint Johns, FL",8.53
"Saint Lucie, FL",10.72
"Santa Rosa, FL",9.24
"Sarasota, FL",8.34
"Seminole, FL",10.41
"Sumter, FL",10.29
"Suwannee, FL",12.48
"Taylor, FL",12.82
"Union, FL",12.91
"Volusia, FL",10.68
"Wakulla, FL",11.09
"Walton, FL",10.66
"Washington, FL",12.02
"Appling, GA",12.8
"Atkinson, GA",14.42
"Bacon, GA",12.4
"Baker, GA",14.7
"Baldwin, GA",13.79
"Banks, GA",10.65
"Barrow, GA",11.48
"Bartow, GA",11.66
"Ben Hill, GA",14.69
"Berrien, GA",12.34
"Bibb, GA",12.74
"Bleckley, GA",12.26
"Brantley, GA",11.69
"Brooks, GA",14.25
"Bryan, GA",9.71
"Bulloch, GA",12.87
"Burke, GA",14.55
"Butts, GA",12.08
"Calhoun, GA",17.08
"Camden, GA",11.71
"Candler, GA",13.34
"Carroll, GA",11.9
"Catoosa, GA",11.69
"Charlton, GA",14.2
"Chatham, GA",11.54
"Chattahoochee, GA",12.2
"Chattooga, GA",13.14
"Cherokee, GA",10.03
"Clarke, GA",12.74
"Clay, GA",16.33
"Clayton, GA",15.36
"Clinch, GA",13.7
"Cobb, GA",10.45
"Coffee, GA",13.31
"Colquitt, GA",13.61
"Columbia, GA",9.28
"Cook, GA",13.74
"Coweta, GA",10.81
"Crawford, GA",12.26
"Crisp, GA",14.06
"Dade, GA",11.15
"Dawson, GA",9.11
"Decatur, GA",13.78
"DeKalb, GA",11.23
"Dodge, GA",13.19
"Dooly, GA",15.92
"Dougherty, GA",15.46
"Douglas, GA",13.19
"Early, GA",14.99
"Echols, GA",13.39
"Effingham, GA",10.39
"Elbert, GA",12.48
"Emanuel, GA",13.62
"Evans, GA",13.53
"Fannin, GA",10.24
"Fayette, GA",8.78
"Floyd, GA",11.61
"Forsyth, GA",9.29
"Franklin, GA",11.2
"Fulton, GA",10.5
"Gilmer, GA",10.34
"Glascock, GA",11.14
"Glynn, GA",11.1
"Gordon, GA",11.73
"Grady, GA",13.14
"Greene, GA",11.79
"Gwinnett, GA",10.85
"Habersham, GA",10.56
"Hall, GA",11.21
"Hancock, GA",17.89
"Haralson, GA",11.34
"Harris, GA",10.24
"Hart, GA",11.78
"Heard, GA",11.6
"Henry, GA",11.52
"Houston, GA",12.27
"Irwin, GA",13.13
"Jackson, GA",10.15
"Jasper, GA",11.6
"Jeff Davis, GA",12.76
"Jefferson, GA",15.08
"Jenkins, GA",15.1
"Johnson, GA",14.01
"Jones, GA",11.36
"Lamar, GA",11.85
"Lanier, GA",13.4
"Laurens, GA",13.08
"Lee, GA",10.77
"Liberty, GA",13.88
"Lincoln, GA",12.74
"Long, GA",13.1
"Lowndes, GA",13.56
"Lumpkin, GA",9.8
"McDuffie, GA",13.68
"McIntosh, GA",13.26
"Macon, GA",16.79
"Madison, GA",10.75
"Marion, GA",13.53
"Meriwether, GA",13.33
"Miller, GA",12.81
"Mitchell, GA",14.98
"Monroe, GA",11.0
"Montgomery, GA",13.65
"Morgan, GA",10.84
"Murray, GA",12.03
"Muscogee, GA",13.5
"Newton, GA",12.58
"Oconee, GA",7.7
"Oglethorpe, GA",11.21
"Paulding, GA",12.04
"Peach, GA",13.84
"Pickens, GA",9.43
"Pierce, GA",11.62
