county_state,dbt_total_2012
"Larue, KY",11.2
"Laurel, KY",12.23
"Lawrence, KY",13.9
"Lee, KY",15.03
"Leslie, KY",13.91
"Letcher, KY",13.69
"Lewis, KY",13.8
"Lincoln, KY",12.0
"Livingston, KY",9.97
"Logan, KY",11.37
"Lyon, KY",10.31
"McCracken, KY",9.63
"McCreary, KY",14.79
"McLean, KY",10.82
"Madison, KY",11.8
"Magoffin, KY",14.86
"Marion, KY",11.3
"Marshall, KY",9.41
"Martin, KY",15.62
"Mason, KY",12.11
"Meade, KY",10.94
"Menifee, KY",14.0
"Mercer, KY",10.8
"Metcalfe, KY",12.0
"Monroe, KY",11.94
"Montgomery, KY",12.84
"Morgan, KY",14.31
"Muhlenberg, KY",11.21
"Nelson, KY",10.44
"Nicholas, KY",12.07
"Ohio, KY",11.4
"Oldham, KY",9.14
"Owen, KY",11.3
"Owsley, KY",15.17
"Pendleton, KY",11.67
"Perry, KY",12.33
"Pike, KY",13.05
"Powell, KY",13.56
"Pulaski, KY",11.66
"Robertson, KY",12.64
"Rockcastle, KY",12.38
"Rowan, KY",12.13
"Russell, KY",11.89
"Scott, KY",10.9
"Shelby, KY",10.48
"Simpson, KY",11.41
"Spencer, KY",9.47
"Taylor, KY",11.06
"Todd, KY",11.89
"Trigg, KY",10.22
"Trimble, KY",10.96
"Union, KY",11.25
"Warren, KY",10.66
"Washington, KY",10.96
"Wayne, KY",12.44
"Webster, KY",11.17
"Whitley, KY",12.19
"Wolfe, KY",14.75
"Woodford, KY",9.73
"Acadia, LA",12.55
"Allen, LA",12.83
"Ascension, LA",11.27
"Assumption, LA",12.87
"Avoyelles, LA",13.64
"Beauregard, LA",11.74
"Bienville, LA",13.3
"Bossier, LA",10.74
"Caddo, LA",11.75
"Calcasieu, LA",12.16
"Caldwell, LA",11.84
"Cameron, LA",10.2
"Catahoula, LA",13.15
"Claiborne, LA",14.32
"Concordia, LA",14.4
"De Soto, LA",13.53
"East Baton Rouge, LA",11.89
"East Carroll, LA",17.56
"East Feliciana, LA",13.7
"Evangeline, LA",12.98
"Franklin, LA",13.25
"Grant, LA",12.1
"Iberia, LA",12.81
"Iberville, LA",13.6
"Jackson, LA",11.96
"Jefferson, LA",11.39
"Jefferson Davis, LA",12.22
"Lafayette, LA",10.09
"Lafourche, LA",11.26
"LaSalle, LA",10.8
"Lincoln, LA",11.7
"Livingston, LA",11.75
"Madison, LA",16.98
"Morehouse, LA",14.24
"Natchitoches, LA",13.1
"Orleans, LA",13.99
"Ouachita, LA",11.43
"Plaquemines, LA",12.12
"Pointe Coupee, LA",13.1
"Rapides, LA",12.45
"Red River, LA",13.22
"Richland, LA",11.95
"Sabine, LA",12.33
"Saint Bernard, LA",13.71
"Saint Charles, LA",12.11
"Saint Helena, LA",15.1
"Saint James, LA",13.24
"Saint John the Baptist, LA",14.44
"Saint Landry, LA",13.96
"Saint Martin, LA",12.83
"Saint Mary, LA",14.21
"Saint Tammany, LA",9.87
"Tangipahoa, LA",13.67
"Tensas, LA",15.65
"Terrebonne, LA",12.71
"Union, LA",12.34
"Vermilion, LA",11.71
"Vernon, LA",11.77
"Washington, LA",13.95
"Webster, LA",12.19
"West Baton Rouge, LA",13.62
"West Carroll, LA",11.56
"West Feliciana, LA",13.73
"Winn, LA",12.33
"Androscoggin, ME",9.37
"Aroostook, ME",10.48
"Cumberland, ME",7.33
"Franklin, ME",8.36
"Hancock, ME",7.54
"Kennebec, ME",8.75
"Knox, ME",7.11
"Lincoln, ME",7.32
"Oxford, ME",8.91
"Penobscot, ME",9.37
"Piscataquis, ME",10.17
"Sagadahoc, ME",7.91
"Somerset, ME",9.8
"Waldo, ME",8.37
"Washington, ME",9.64
"York, ME",8.87
"Allegany, MD",10.35
"Anne Arundel, MD",9.57
"Baltimore, MD",9.38
"Calvert, MD",9.85
"Caroline, MD",10.94
"Carroll, MD",8.45
"Cecil, MD",9.97
"Charles, MD",11.7
"Dorchester, MD",12.35
"Frederick, MD",9.06
"Garrett, MD",9.8
"Harford, MD",9.23
"Howard, MD",7.77
"Kent, MD",9.31
"Montgomery, MD",9.89
"Prince George's, MD",9.89
"Queen Anne's, MD",9.08
"Saint Mary's, MD",10.17
"Somerset, MD",13.48
"Talbot, MD",8.67
"Washington, MD",10.69
"Wicomico, MD",11.18
"Worcester, MD",10.49
"Baltimore, MD",14.46
"Barnstable, MA",7.36
"Berkshire, MA",7.67
"Bristol, MA",9.59
"Dukes, MA",6.89
"Essex, MA",9.28
"Franklin, MA",8.29
"Hampden, MA",10.56
"Hampshire, MA",7.5
"Middlesex, MA",8.47
"Nantucket, MA",7.47
"Norfolk, MA",7.54
"Plymouth, MA",8.82
"Suffolk, MA",10.44
"Worcester, MA",8.65
"Alcona, MI",9.7
"Alger, MI",9.8
"Allegan, MI",9.49
"Alpena, MI",9.22
"Antrim, MI",8.84
"Arenac, MI",10.05
"Baraga, MI",10.51
"Barry, MI",9.07
"Bay, MI",9.91
"Benzie, MI",8.94
"Berrien, MI",10.72
"Branch, MI",10.12
"Calhoun, MI",11.05
"Cass, MI",10.11
"Charlevoix, MI",8.48
"Cheboygan, MI",9.65
"Chippewa, MI",10.71
"Clare, MI",10.38
"Clinton, MI",9.35
"Crawford, MI",9.66
"Delta, MI",9.62
"Dickinson, MI",9.04
"Eaton, MI",10.05
"Emmet, MI",7.35
"Genesee, MI",11.8
"Gladwin, MI",10.02
"Gogebic, MI",9.21
"Grand Traverse, MI",7.88
"Gratiot, MI",9.8
"Hillsdale, MI",10.17
"Houghton, MI",9.55
"Huron, MI",9.36
"Ingham, MI",9.92
"Ionia, MI",10.2
"Iosco, MI",9.93
"Iron, MI",9.25
"Isabella, MI",10.67
"Jackson, MI",10.69
"Kalamazoo, MI",9.25
"Kalkaska, MI",9.73
"Kent, MI",9.85
"Keweenaw, MI",9.06
"Lake, MI",11.66
"Lapeer, MI",8.89
"Leelanau, MI",7.91
"Lenawee, MI",10.7
"Livingston, MI",8.64
"Luce, MI",10.5
"Mackinac, MI",10.32
"Macomb, MI",9.86
"Manistee, MI",9.44
"Marquette, MI",8.68
"Mason, MI",9.25
"Mecosta, MI",9.52
"Menominee, MI",9.77
"Midland, MI",8.68
"Missaukee, MI",9.49
"Monroe, MI",10.09
"Montcalm, MI",9.76
"Montmorency, MI",9.88
"Muskegon, MI",11.57
"Newaygo, MI",9.95
"Oakland, MI",8.47
"Oceana, MI",10.25
"Ogemaw, MI",9.99
"Ontonagon, MI",9.23
"Osceola, MI",10.08
"Oscoda, MI",10.35
"Otsego, MI",8.8
"Ottawa, MI",9.03
"Presque Isle, MI",9.68
"Roscommon, MI",10.1
"Saginaw, MI",10.91
"Saint Clair, MI",9.43
"Saint Joseph, MI",10.34
"Sanilac, MI",9.44
"Schoolcraft, MI",9.94
"Shiawassee, MI",9.84
"Tuscola, MI",9.59
"Van Buren, MI",10.37
"Washtenaw, MI",8.4
"Wayne, MI",12.27
"Wexford, MI",9.26
"Aitkin, MN",8.33
"Anoka, MN",8.21
"Becker, MN",7.79
"Beltrami, MN",9.03
"Benton, MN",8.65
"Big Stone, MN",7.83
"Blue Earth, MN",7.5
"Brown, MN",7.65
"Carlton, MN",8.32
"Carver, MN",6.84
"Cass, MN",9.01
"Chippewa, MN",7.82
"Chisago, MN",8.04
"Clay, MN",8.54
"Clearwater, MN",8.84
"Cook, MN",7.88
"Cottonwood, MN",8.19
"Crow Wing, MN",7.83
"Dakota, MN",7.12
"Dodge, MN",7.36
"Douglas, MN",7.26
"Faribault, MN",8.18
"Fillmore, MN",7.98
"Freeborn, MN",8.47
"Goodhue, MN",7.51
"Grant, MN",7.92
"Hennepin, MN",7.06
"Houston, MN",7.48
"Hubbard, MN",7.65
"Isanti, MN",7.92
"Itasca, MN",8.16
"Jackson, MN",8.13
"Kanabec, MN",8.47
"Kandiyohi, MN",7.79
"Kittson, MN",8.41
"Koochiching, MN",8.75
"Lac qui Parle, MN",7.61
"Lake, MN",7.91
"Lake of the Woods, MN",8.52
"Le Sueur, MN",7.6
"Lincoln, MN",7.68
"Lyon, MN",7.88
"McLeod, MN",7.69
"Mahnomen, MN",10.88
"Marshall, MN",8.31
"Martin, MN",7.75
"Meeker, MN",7.91
"Mille Lacs, MN",8.48
"Morrison, MN",8.24
"Mower, MN",8.83
"Murray, MN",8.02
"Nicollet, MN",7.64
"Nobles, MN",8.87
"Norman, MN",8.5
"Olmsted, MN",6.85
"Otter Tail, MN",7.4
"Pennington, MN",8.21
"Pine, MN",8.77
"Pipestone, MN",8.14
"Polk, MN",8.39
"Pope, MN",7.43
"Ramsey, MN",7.82
"Red Lake, MN",8.38
"Redwood, MN",8.23
"Renville, MN",7.96
"Rice, MN",7.76
"Rock, MN",7.93
"Roseau, MN",8.16
"Saint Louis, MN",8.12
"Scott, MN",7.52
"Sherburne, MN",7.8
"Sibley, MN",8.04
"Stearns, MN",7.74
"Steele, MN",7.79
"Stevens, MN",7.61
"Swift, MN",8.04
"Todd, MN",8.34
"Traverse, MN",8.2
"Wabasha, MN",7.31
"Wadena, MN",8.5
"Waseca, MN",7.8
"Washington, MN",7.16
"Watonwan, MN",8.65
"Wilkin, MN",7.97
"Winona, MN",8.11
"Wright, MN",7.63
"Yellow Medicine, MN",7.72
"Adams, MS",14.79
"Alcorn, MS",11.98
"Amite, MS",14.84
"Attala, MS",13.99
"Benton, MS",15.05
"Bolivar, MS",15.05
"Calhoun, MS",13.56
"Carroll, MS",13.03
"Chickasaw, MS",14.47
"Choctaw, MS",13.44
"Claiborne, MS",18.14
"Clarke, MS",13.77
"Clay, MS",14.13
"Coahoma, MS",16.23
"Copiah, MS",15.32
"Covington, MS",13.53
"DeSoto, MS",12.32
"Forrest, MS",12.84
"Franklin, MS",12.49
"George, MS",11.57
"Greene, MS",13.34
"Grenada, MS",13.71
"Hancock, MS",11.39
"Harrison, MS",12.61
"Hinds, MS",13.88
"Holmes, MS",19.16
"Humphreys, MS",17.87
"Issaquena, MS",17.06
"Itawamba, MS",11.56
"Jackson, MS",12.49
"Jasper, MS",14.85
"Jefferson, MS",18.18
"Jefferson Davis, MS",15.41
"Jones, MS",12.94
"Kemper, MS",16.38
"Lafayette, MS",11.58
"Lamar, MS",9.44
"Lauderdale, MS",14.06
"Lawrence, MS",13.2
"Leake, MS",14.93
"Lee, MS",11.46
"Leflore, MS",17.35
"Lincoln, MS",12.71
"Lowndes, MS",13.84
"Madison, MS",10.11
"Marion, MS",13.48
"Marshall, MS",15.08
"Monroe, MS",13.1
"Montgomery, MS",14.41
"Neshoba, MS",13.59
"Newton, MS",13.26
"Noxubee, MS",17.89
"Oktibbeha, MS",13.45
"Panola, MS",14.2
"Pearl River, MS",12.15
"Perry, MS",12.96
"Pike, MS",14.9
"Pontotoc, MS",12.1
"Prentiss, MS",12.45
"Quitman, MS",17.03
"Rankin, MS",10.82
"Scott, MS",14.52
"Sharkey, MS",16.98
"Simpson, MS",13.72
"Smith, MS",12.53
"Stone, MS",11.94
"Sunflower, MS",17.37
"Tallahatchie, MS",16.68
"Tate, MS",12.87
"Tippah, MS",12.51
"Tishomingo, MS",11.87
"Tunica, MS",17.12
"Union, MS",11.58
"Walthall, MS",15.04
"Warren, MS",12.93
"Washington, MS",16.25
"Wayne, MS",14.22
"Webster, MS",11.68
"Wilkinson, MS",17.25
"Winston, MS",14.62
"Yalobusha, MS",13.64
"Yazoo, MS",16.18
"Adair, MO",10.4
"Andrew, MO",9.08
"Atchison, MO",9.05
"Audrain, MO",10.92
"Barry, MO",10.78
"Barton, MO",10.36
"Bates, MO",10.4
"Benton, MO",10.64
"Bollinger, MO",10.8
"Boone, MO",8.77
"Buchanan, MO",10.91
"Butler, MO",10.53
"Caldwell, MO",10.2
"Callaway, MO",9.92
"Camden, MO",9.76
"Cape Girardeau, MO",9.53
"Carroll, MO",10.39
"Carter, MO",11.4
"Cass, MO",9.9
"Cedar, MO",10.84
"Chariton, MO",10.33
"Christian, MO",9.64
"Clark, MO",9.91
"Clay, MO",10.97
"Clinton, MO",9.77
"Cole, MO",9.75
"Cooper, MO",10.2
"Crawford, MO",10.96
"Dade, MO",10.34
"Dallas, MO",10.93
"Daviess, MO",10.14
"DeKalb, MO",10.87
"Dent, MO",10.69
"Douglas, MO",11.0
"Dunklin, MO",12.02
"Franklin, MO",10.02
"Gasconade, MO",10.08
"Gentry, MO",9.5
"Greene, MO",9.54
"Grundy, MO",10.06
"Harrison, MO",9.96
"Henry, MO",10.0
"Hickory, MO",11.05
"Holt, MO",9.47
"Howard, MO",10.22
"Howell, MO",9.99
"Iron, MO",11.15
"Jackson, MO",11.62
"Jasper, MO",10.78
"Jefferson, MO",10.3
"Johnson, MO",10.12
"Knox, MO",10.11
"Laclede, MO",10.81
"Lafayette, MO",10.34
"Lawrence, MO",10.62
"Lewis, MO",10.1
"Lincoln, MO",10.48
"Linn, MO",10.09
"Livingston, MO",10.19
"McDonald, MO",11.7
"Macon, MO",10.17
"Madison, MO",10.93
"Maries, MO",10.24
"Marion, MO",9.89
"Mercer, MO",9.74
"Miller, MO",10.56
"Mississippi, MO",13.09
"Moniteau, MO",10.07
"Monroe, MO",10.26
"Montgomery, MO",10.56
"Morgan, MO",10.91
"New Madrid, MO",12.51
"Newton, MO",10.72
"Nodaway, MO",9.41
"Oregon, MO",11.4
"Osage, MO",9.77
"Ozark, MO",10.74
"Pemiscot, MO",13.31
"Perry, MO",9.74
"Pettis, MO",11.03
"Phelps, MO",10.26
"Pike, MO",10.99
"Platte, MO",9.38
"Polk, MO",10.36
"Pulaski, MO",11.57
"Putnam, MO",9.99
"Ralls, MO",9.67
"Randolph, MO",10.8
"Ray, MO",10.37
"Reynolds, MO",11.64
"Ripley, MO",11.42
"Saint Charles, MO",9.4
"Saint Clair, MO",11.06
"Sainte Genevieve, MO",9.84
"Saint Francois, MO",11.33
"Saint Louis, MO",9.0
"Saline, MO",10.92
"Schuyler, MO",10.28
"Scotland, MO",9.67
"Scott, MO",11.3
"Shannon, MO",11.07
"Shelby, MO",9.89
"Stoddard, MO",10.38
"Stone, MO",9.89
"Sullivan, MO",10.87
"Taney, MO",10.47
"Texas, MO",11.28
"Vernon, MO",10.21
"Warren, MO",10.08
"Washington, MO",11.71
"Wayne, MO",11.35
"Webster, MO",10.33
"Worth, MO",9.71
"Wright, MO",11.31
"Saint Louis, MO",13.3
"Beaverhead, MT",7.44
"Big Horn, MT",12.57
"Blaine, MT",11.37
"Broadwater, MT",7.37
"Carbon, MT",7.38
"Carter, MT",8.61
"Cascade, MT",7.96
"Chouteau, MT",8.88
"Custer, MT",8.63
"Daniels, MT",8.37
"Dawson, MT",8.18
"Deer Lodge, MT",7.64
"Fallon, MT",8.07
"Fergus, MT",7.53
"Flathead, MT",7.1
"Gallatin, MT",6.52
"Garfield, MT",8.63
"Glacier, MT",12.53
"Golden Valley, MT",8.23
"Granite, MT",7.3
"Hill, MT",9.39
"Jefferson, MT",6.44
"Judith Basin, MT",7.65
"Lake, MT",8.91
"Lewis and Clark, MT",6.75
"Liberty, MT",8.5
"Lincoln, MT",8.42
"McCone, MT",8.72
"Madison, MT",7.16
"Meagher, MT",7.76
"Mineral, MT",8.53
"Missoula, MT",6.41
"Musselshell, MT",8.55
"Park, MT",6.88
"Petroleum, MT",8.45
"Phillips, MT",8.9
"Pondera, MT",8.8
"Powder River, MT",8.18
"Powell, MT",7.54
"Prairie, MT",8.46
"Ravalli, MT",7.24
"Richland, MT",8.17
"Roosevelt, MT",13.3
"Rosebud, MT",10.01
"Sanders, MT",8.6
"Sheridan, MT",8.41
"Silver Bow, MT",8.25
"Stillwater, MT",7.67
"Sweet Grass, MT",7.5
"Teton, MT",7.7
"Toole, MT",8.27
"Treasure, MT",7.86
"Valley, MT",8.73
"Wheatland, MT",8.68
"Wibaux, MT",8.69
"Yellowstone, MT",7.85
"Adams, NE",8.04
"Antelope, NE",7.84
"Arthur, NE",8.05
"Banner, NE",8.64
"Blaine, NE",8.48
"Boone, NE",7.31
"Box Butte, NE",9.19
"Boyd, NE",7.6
"Brown, NE",8.19
"Buffalo, NE",7.4
"Burt, NE",8.44
"Butler, NE",7.9
"Cass, NE",8.16
"Cedar, NE",7.94
"Chase, NE",8.26
"Cherry, NE",8.18
"Cheyenne, NE",8.01
"Clay, NE",8.24
"Colfax, NE",9.42
"Cuming, NE",8.18
"Custer, NE",7.72
"Dakota, NE",10.64
"Dawes, NE",8.24
"Dawson, NE",9.7
"Deuel, NE",8.11
"Dixon, NE",8.53
"Dodge, NE",8.81
"Douglas, NE",9.23
"Dundy, NE",8.35
"Fillmore, NE",7.9
"Franklin, NE",8.16
"Frontier, NE",8.31
"Furnas, NE",8.33
"Gage, NE",8.72
"Garden, NE",8.54
"Garfield, NE",8.19
"Gosper, NE",7.92
"Grant, NE",8.12
"Greeley, NE",8.18
"Hall, NE",9.25
"Hamilton, NE",7.3
"Harlan, NE",8.33
"Hayes, NE",8.42
"Hitchcock, NE",8.5
"Holt, NE",7.8
"Hooker, NE",6.89
"Howard, NE",7.8
"Jefferson, NE",8.62
"Johnson, NE",9.56
"Kearney, NE",7.69
"Keith, NE",8.23
"Keya Paha, NE",8.59
"Kimball, NE",8.49
"Knox, NE",8.26
"Lancaster, NE",8.19
"Lincoln, NE",8.51
"Logan, NE",8.11
"Loup, NE",8.39
"McPherson, NE",7.96
"Madison, NE",7.83
"Merrick, NE",7.86
"Morrill, NE",9.15
"Nance, NE",8.26
"Nemaha, NE",8.62
"Nuckolls, NE",8.22
"Otoe, NE",8.76
"Pawnee, NE",8.92
"Perkins, NE",7.7
"Phelps, NE",7.6
"Pierce, NE",7.36
"Platte, NE",7.88
"Polk, NE",7.64
"Red Willow, NE",8.18
"Richardson, NE",9.46
"Rock, NE",8.13
"Saline, NE",8.93
"Sarpy, NE",9.2
"Saunders, NE",7.98
"Scotts Bluff, NE",9.73
"Seward, NE",7.3
"Sheridan, NE",8.62
"Sherman, NE",8.3
"Sioux, NE",8.03
"Stanton, NE",7.76
"Thayer, NE",8.11
"Thomas, NE",8.24
"Thurston, NE",11.9
"Valley, NE",7.66
"Washington, NE",7.75
"Wayne, NE",7.49
"Webster, NE",8.24
"Wheeler, NE",8.07
"York, NE",7.69
"Churchill, NV",9.15
"Clark, NV",10.2
"Douglas, NV",7.66
"Elko, NV",9.81
"Esmeralda, NV",9.15
"Eureka, NV",8.59
"Humboldt, NV",9.11
"Lander, NV",9.2
"Lincoln, NV",8.31
"Lyon, NV",9.24
"Mineral, NV",9.64
"Nye, NV",9.57
"Pershing, NV",9.56
"Storey, NV",7.73
"Washoe, NV",8.18
"White Pine, NV",9.14
"Carson, NV",8.53
"Belknap, NH",8.28
"Carroll, NH",7.8
"Cheshire, NH",8.16
"Coos, NH",8.7
"Grafton, NH",7.08
"Hillsborough, NH",8.99
"Merrimack, NH",8.12
"Rockingham, NH",8.31
"Strafford, NH",9.73
"Sullivan, NH",7.86
"Atlantic, NJ",10.72
"Bergen, NJ",7.55
"Burlington, NJ",9.07
"Camden, NJ",10.1
"Cape May, NJ",9.28
"Cumberland, NJ",12.88
"Essex, NJ",10.94
"Gloucester, NJ",10.01
"Hudson, NJ",11.55
"Hunterdon, NJ",6.74
"Mercer, NJ",9.26
"Middlesex, NJ",9.49
"Monmouth, NJ",7.98
"Morris, NJ",7.19
"Ocean, NJ",9.11
"Passaic, NJ",10.95
"Salem, NJ",10.5
"Somerset, NJ",7.83
"Sussex, NJ",8.22
"Union, NJ",10.1
"Warren, NJ",8.47
"Bernalillo, NM",8.85
"Catron, NM",9.46
"Chaves, NM",12.33
"Cibola, NM",12.69
"Colfax, NM",9.99
"Curry, NM",11.8
"De Baca, NM",11.61
"Dona Ana, NM",11.37
"Eddy, NM",12.23
"Grant, NM",10.05
"Guadalupe, NM",13.92
"Harding, NM",10.6
"Hidalgo, NM",11.64
"Lea, NM",12.66
"Lincoln, NM",9.67
"Los Alamos, NM",5.66
"Luna, NM",12.08
"McKinley, NM",16.52
"Mora, NM",13.1
"Otero, NM",11.74
"Quay, NM",11.57
"Rio Arriba, NM",12.7
"Roosevelt, NM",11.36
"Sandoval, NM",9.57
"San Juan, NM",11.24
"San Miguel, NM",13.33
"Santa Fe, NM",7.99
"Sierra, NM",10.56
"Socorro, NM",12.45
"Taos, NM",10.02
"Torrance, NM",10.97
"Union, NM",10.53
"Valencia, NM",12.69
"Albany, NY",8.66
"Allegany, NY",9.83
"Bronx, NY",14.84
"Broome, NY",9.64
"Cattaraugus, NY",10.18
"Cayuga, NY",9.88
"Chautauqua, NY",10.53
"Chemung, NY",9.8
"Chenango, NY",9.46
"Clinton, NY",8.53
"Columbia, NY",8.44
"Cortland, NY",9.63
"Delaware, NY",9.23
"Dutchess, NY",8.6
"Erie, NY",9.46
"Essex, NY",8.45
"Franklin, NY",9.82
"Fulton, NY",9.99
"Genesee, NY",9.74
"Greene, NY",9.27
"Hamilton, NY",8.74
"Herkimer, NY",9.61
"Jefferson, NY",9.97
"Kings, NY",11.99
"Lewis, NY",9.35
"Livingston, NY",9.82
"Madison, NY",9.09
"Monroe, NY",9.18
"Montgomery, NY",10.46
"Nassau, NY",7.69
"New York, NY",8.85
"Niagara, NY",10.95
"Oneida, NY",9.61
"Onondaga, NY",9.22
"Ontario, NY",8.66
"Orange, NY",9.73
"Orleans, NY",10.49
"Oswego, NY",10.04
"Otsego, NY",7.7
"Putnam, NY",8.04
"Queens, NY",11.44
"Rensselaer, NY",9.1
"Richmond, NY",9.12
"Rockland, NY",8.91
"Saint Lawrence, NY",10.03
"Saratoga, NY",8.15
"Schenectady, NY",9.56
"Schoharie, NY",9.29
"Schuyler, NY",9.26
"Seneca, NY",9.65
"Steuben, NY",9.77
"Suffolk, NY",8.12
"Sullivan, NY",10.02
"Tioga, NY",9.1
"Tompkins, NY",8.91
"Ulster, NY",9.29
"Warren, NY",8.22
"Washington, NY",8.9
"Wayne, NY",9.75
"Westchester, NY",7.99
"Wyoming, NY",9.47
"Yates, NY",8.96
"Alamance, NC",11.53
"Alexander, NC",10.53
"Alleghany, NC",10.37
"Anson, NC",13.76
"Ashe, NC",9.91
"Avery, NC",10.59
"Beaufort, NC",10.9
"Bertie, NC",14.84
"Bladen, NC",13.2
"Brunswick, NC",10.02
"Buncombe, NC",9.35
"Burke, NC",11.52
"Cabarrus, NC",10.08
"Caldwell, NC",11.89
"Camden, NC",10.63
"Carteret, NC",9.44
"Caswell, NC",12.89
"Catawba, NC",11.02
"Chatham, NC",8.26
"Cherokee, NC",11.02
"Chowan, NC",11.62
"Clay, NC",10.06
"Cleveland, NC",12.44
"Columbus, NC",12.29
"Craven, NC",10.16
"Cumberland, NC",12.7
"Currituck, NC",10.13
"Dare, NC",9.11
"Davidson, NC",11.24
"Davie, NC",9.24
"Duplin, NC",12.94
"Durham, NC",10.55
"Edgecombe, NC",15.09
"Forsyth, NC",10.38
"Franklin, NC",11.29
"Gaston, NC",12.33
"Gates, NC",12.77
"Graham, NC",11.46
"Granville, NC",12.14
"Greene, NC",13.49
"Guilford, NC",10.61
"Halifax, NC",14.42
"Harnett, NC",11.93
"Haywood, NC",9.98
"Henderson, NC",9.79
"Hertford, NC",14.85
"Hoke, NC",14.82
"Hyde, NC",12.95
"Iredell, NC",10.11
"Jackson, NC",10.86
"Johnston, NC",11.44
"Jones, NC",11.78
"Lee, NC",11.6
"Lenoir, NC",13.09
"Lincoln, NC",10.85
"McDowell, NC",11.39
"Macon, NC",9.96
"Madison, NC",10.58
"Martin, NC",13.06
"Mecklenburg, NC",10.59
"Mitchell, NC",10.81
"Montgomery, NC",12.06
"Moore, NC",9.14
"Nash, NC",12.13
"New Hanover, NC",8.79
"Northampton, NC",15.46
"Onslow, NC",11.34
"Orange, NC",8.23
"Pamlico, NC",10.44
"Pasquotank, NC",12.55
"Pender, NC",10.67
"Perquimans, NC",11.64
"Person, NC",11.3
"Pitt, NC",10.47
"Polk, NC",9.78
"Randolph, NC",10.83
"Richmond, NC",12.88
"Robeson, NC",16.24
"Rockingham, NC",12.21
"Rowan, NC",11.31
"Rutherford, NC",11.19
"Sampson, NC",12.77
"Scotland, NC",13.74
"Stanly, NC",10.38
"Stokes, NC",10.67
"Surry, NC",10.98
"Swain, NC",12.95
"Transylvania, NC",9.16
"Tyrrell, NC",14.4
"Union, NC",9.68
"Vance, NC",13.98
"Wake, NC",9.19
"Warren, NC",14.09
"Washington, NC",14.24
"Watauga, NC",9.66
"Wayne, NC",12.79
"Wilkes, NC",10.65
"Wilson, NC",12.87
"Yadkin, NC",10.52
"Yancey, NC",10.64
"Adams, ND",6.66
"Barnes, ND",8.32
"Benson, ND",13.36
"Billings, ND",8.62
"Bottineau, ND",8.94
"Bowman, ND",7.8
"Burke, ND",9.07
"Burleigh, ND",7.74
"Cass, ND",7.52
"Cavalier, ND",8.28
"Dickey, ND",8.17
"Divide, ND",8.51
"Dunn, ND",9.19
"Eddy, ND",9.07
"Emmons, ND",8.73
"Foster, ND",8.2
"Golden Valley, ND",8.54
"Grand Forks, ND",7.82
"Grant, ND",8.78
"Griggs, ND",8.39
"Hettinger, ND",8.65
"Kidder, ND",8.73
"LaMoure, ND",8.21
"Logan, ND",8.83
"McHenry, ND",9.34
"McIntosh, ND",8.6
"McKenzie, ND",9.38
"McLean, ND",9.19
"Mercer, ND",8.42
"Morton, ND",8.61
"Mountrail, ND",10.37
"Nelson, ND",8.35
"Oliver, ND",8.9
"Pembina, ND",8.3
"Pierce, ND",8.98
"Ramsey, ND",8.55
"Ransom, ND",8.21
"Renville, ND",8.97
"Richland, ND",8.03
"Rolette, ND",15.09
"Sargent, ND",8.22
"Sheridan, ND",9.36
"Sioux, ND",16.22
"Slope, ND",8.56
"Stark, ND",8.4
"Steele, ND",8.3
"Stutsman, ND",8.73
"Towner, ND",8.39
"Traill, ND",7.94
"Walsh, ND",8.65
"Ward, ND",9.09
"Wells, ND",8.59
"Williams, ND",8.7
"Adams, OH",12.64
"Allen, OH",11.64
"Ashland, OH",9.9
"Ashtabula, OH",11.29
"Athens, OH",12.94
"Auglaize, OH",10.16
"Belmont, OH",11.41
"Brown, OH",11.93
"Butler, OH",11.46
"Carroll, OH",10.53
"Champaign, OH",10.62
"Clark, OH",12.21
"Clermont, OH",10.78
"Clinton, OH",10.95
"Columbiana, OH",10.93
"Coshocton, OH",10.88
"Crawford, OH",11.49
"Cuyahoga, OH",10.7
"Darke, OH",10.76
"Defiance, OH",10.49
"Delaware, OH",8.48
"Erie, OH",10.31
"Fairfield, OH",10.51
"Fayette, OH",11.94
"Franklin, OH",10.9
"Fulton, OH",10.02
"Gallia, OH",11.88
"Geauga, OH",8.14
"Greene, OH",10.01
"Guernsey, OH",11.01
"Hamilton, OH",11.7
"Hancock, OH",10.6
"Hardin, OH",10.79
"Harrison, OH",10.87
"Henry, OH",10.11
"Highland, OH",11.82
"Hocking, OH",11.52
"Holmes, OH",10.55
"Huron, OH",10.64
"Jackson, OH",12.67
"Jefferson, OH",11.47
"Knox, OH",10.53
"Lake, OH",9.86
"Lawrence, OH",13.04
"Licking, OH",11.11
"Logan, OH",11.21
"Lorain, OH",10.55
"Lucas, OH",11.42
"Madison, OH",10.57
"Mahoning, OH",10.78
"Marion, OH",11.76
"Medina, OH",9.08
"Meigs, OH",12.55
"Mercer, OH",9.71
"Miami, OH",10.83
"Monroe, OH",11.09
"Montgomery, OH",12.14
"Morgan, OH",11.88
"Morrow, OH",10.76
"Muskingum, OH",11.57
"Noble, OH",11.63
"Ottawa, OH",10.11
"Paulding, OH",10.13
"Perry, OH",11.55
"Pickaway, OH",11.3
"Pike, OH",13.35
"Portage, OH",9.78
"Preble, OH",10.74
"Putnam, OH",9.69
"Richland, OH",11.58
"Ross, OH",12.28
