county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Clay, AR",30.33,24.51,36.6,5.9,13.7,1291.9
"Cleburne, AR",26.25,19.95,43.3,6.6,15.1,958.1
"Cleveland, AR",26.75,19.77,40.1,6.9,15.1,1314.8
"Columbia, AR",24.82,17.94,41.0,6.0,13.4,1269.7
"Conway, AR",27.09,20.36,45.2,10.2,19.2,1255.6
"Craighead, AR",24.58,18.74,38.9,6.2,12.9,1322.1
"Crawford, AR",29.17,22.25,39.7,6.1,13.3,1259.6
"Crittenden, AR",27.03,19.4,40.7,6.4,12.8,1220.2
"Cross, AR",28.22,21.06,38.1,6.3,13.6,1332.4
"Dallas, AR",30.02,21.99,42.0,7.8,15.9,1320.5
"Desha, AR",27.6,19.73,40.1,6.9,14.8,1891.7
"Drew, AR",24.34,17.38,39.2,5.6,13.4,1032.5
"Faulkner, AR",22.76,16.2,46.1,7.1,14.2,1167.3
"Franklin, AR",28.45,22.18,45.1,8.6,18.2,1346.6
"Fulton, AR",27.6,21.7,37.8,6.3,13.0,1144.7
"Garland, AR",28.09,21.58,50.6,8.0,17.5,1316.5
"Grant, AR",27.46,20.48,41.6,6.3,13.3,1212.2
"Greene, AR",28.94,23.91,38.5,6.6,13.9,1226.0
"Hempstead, AR",24.98,18.08,38.1,6.0,13.0,1365.1
"Hot Spring, AR",30.36,23.33,39.8,6.7,13.5,1281.7
"Howard, AR",27.7,20.2,36.9,5.8,12.8,1912.8
"Independence, AR",26.72,20.81,38.9,5.7,13.8,1531.9
"Izard, AR",27.83,21.73,37.7,5.8,13.5,1256.3
"Jackson, AR",31.6,24.17,36.3,7.0,15.0,1401.3
"Jefferson, AR",27.1,18.07,43.5,7.5,14.8,1344.7
"Johnson, AR",25.4,19.64,38.1,6.7,14.3,1345.1
"Lafayette, AR",27.19,19.62,35.6,5.7,13.0,1231.8
"Lawrence, AR",29.49,23.69,34.9,5.9,13.1,1359.6
"Lee, AR",30.3,22.02,35.6,7.2,14.1,1052.3
"Lincoln, AR",30.6,21.84,34.4,6.3,13.3,1426.6
"Little River, AR",27.4,20.3,38.1,5.9,13.1,1330.8
"Logan, AR",28.69,22.89,37.3,5.9,13.8,1360.7
"Lonoke, AR",25.34,18.82,43.2,7.1,14.3,1085.5
"Madison, AR",28.31,22.09,38.2,6.8,13.7,1830.6
"Marion, AR",28.33,21.57,44.3,7.8,15.5,1306.4
"Miller, AR",28.29,21.36,43.2,8.2,16.4,1278.8
"Mississippi, AR",29.41,22.06,32.2,6.2,12.6,1730.9
"Monroe, AR",27.62,20.22,35.7,5.8,13.3,1714.9
"Montgomery, AR",28.13,21.49,36.5,6.1,13.2,1247.0
"Nevada, AR",27.02,20.11,40.5,6.6,13.1,1361.8
"Newton, AR",25.7,20.0,38.4,6.6,13.4,1761.4
"Ouachita, AR",27.08,19.73,39.9,6.5,14.4,1300.5
"Perry, AR",29.85,23.08,39.5,7.8,15.1,1187.7
"Phillips, AR",28.55,20.19,37.6,6.9,14.0,977.1
"Pike, AR",26.77,20.2,34.2,5.9,13.8,1530.5
"Poinsett, AR",31.75,24.82,32.8,6.7,14.2,1492.8
"Polk, AR",28.06,21.18,38.0,6.4,14.3,1538.1
"Pope, AR",23.92,18.15,43.6,6.4,14.1,1187.1
"Prairie, AR",27.16,20.84,38.3,6.3,14.5,1206.6
"Pulaski, AR",23.13,14.9,53.0,8.4,16.0,1068.1
"Randolph, AR",27.76,21.87,33.9,6.6,13.8,1253.9
"St. Francis, AR",27.72,19.56,35.5,6.6,13.5,1361.8
"Saline, AR",26.26,19.98,47.8,7.2,14.0,1235.2
"Scott, AR",29.32,22.94,34.8,6.1,12.8,1351.7
"Searcy, AR",29.01,22.4,35.6,6.5,13.4,1078.6
"Sebastian, AR",27.81,21.11,43.8,6.4,15.1,1264.9
"Sevier, AR",27.28,19.57,32.6,4.8,12.7,1314.6
"Sharp, AR",28.52,22.26,35.6,5.7,13.6,1419.4
"Stone, AR",28.07,21.75,36.5,6.1,13.7,1073.3
"Union, AR",27.09,20.27,38.6,5.8,13.1,1133.6
"Van Buren, AR",27.91,20.9,41.2,6.1,14.8,1066.3
"Washington, AR",22.31,16.11,47.5,6.9,15.5,2242.8
"White, AR",25.8,19.69,36.8,6.1,13.1,1457.2
"Woodruff, AR",28.88,21.24,37.6,7.0,15.7,1418.6
"Yell, AR",27.45,21.03,36.7,5.7,13.6,1430.1
"Alameda, CA",12.93,8.62,59.8,9.7,19.4,723.3
"Alpine, CA",18.23,11.74,61.4,12.8,19.7,910.8
"Amador, CA",22.43,16.49,62.4,12.5,19.3,959.4
"Butte, CA",21.01,15.24,58.4,10.2,17.8,1002.9
"Calaveras, CA",19.66,14.34,60.6,12.3,19.5,927.8
"Colusa, CA",19.69,13.07,54.7,9.2,17.8,961.8
"Contra Costa, CA",13.92,9.24,63.4,9.4,18.7,709.3
"Del Norte, CA",26.01,18.67,54.2,9.2,16.8,961.4
"El Dorado, CA",16.92,11.77,65.9,11.5,19.2,856.9
"Fresno, CA",17.28,11.35,46.2,6.4,15.6,1112.2
"Glenn, CA",21.46,14.88,54.1,9.1,17.7,1004.2
"Humboldt, CA",22.09,15.37,62.3,11.3,19.6,976.5
"Imperial, CA",16.22,9.58,43.9,7.1,15.0,804.7
"Inyo, CA",20.32,14.35,58.6,10.9,19.5,1087.5
"Kern, CA",17.42,12.26,46.9,6.9,15.4,1204.8
"Kings, CA",17.37,12.04,49.2,8.3,16.3,1064.3
"Lake, CA",23.2,16.51,57.3,10.2,17.7,942.9
"Lassen, CA",24.35,16.87,57.8,10.8,17.6,1113.6
"Los Angeles, CA",13.37,8.31,52.9,7.2,16.5,952.9
"Madera, CA",19.37,13.39,48.6,7.4,15.9,947.4
"Marin, CA",12.24,7.72,72.7,12.4,20.3,624.8
"Mariposa, CA",18.9,13.91,59.5,11.5,19.5,1008.1
"Mendocino, CA",22.03,15.12,62.4,11.0,19.3,933.3
"Merced, CA",18.25,12.65,46.5,6.7,15.7,1013.1
"Modoc, CA",20.94,14.55,60.3,11.2,17.9,1091.4
"Mono, CA",17.58,12.03,62.4,12.9,21.0,789.4
"Monterey, CA",15.39,9.65,53.2,8.5,17.3,732.5
"Napa, CA",15.36,10.28,65.2,9.9,19.2,872.4
"Nevada, CA",16.42,11.09,66.6,10.6,18.8,886.9
"Orange, CA",11.85,7.82,59.3,8.4,18.3,888.9
"Placer, CA",15.01,10.34,63.2,9.4,17.4,846.3
"Plumas, CA",21.63,15.54,63.9,13.5,20.0,1003.4
"Riverside, CA",17.08,11.38,54.4,8.0,16.7,1145.3
"Sacramento, CA",18.26,12.65,57.2,8.7,17.2,949.3
"San Benito, CA",15.77,10.04,54.6,8.4,17.6,832.8
"San Bernardino, CA",17.31,11.2,50.4,7.1,16.4,1229.0
"San Diego, CA",13.65,9.16,60.5,9.1,18.9,844.6
"San Francisco, CA",12.34,7.64,65.7,13.0,24.0,722.5
"San Joaquin, CA",18.99,13.63,51.9,7.9,16.4,970.5
"San Luis Obispo, CA",14.03,10.01,63.3,11.6,19.4,794.3
"San Mateo, CA",11.39,7.38,63.8,11.2,20.9,728.8
"Santa Barbara, CA",13.3,9.16,60.1,9.3,18.9,863.6
"Santa Clara, CA",11.25,7.07,58.7,8.5,18.7,646.5
"Santa Cruz, CA",13.58,8.58,63.8,10.4,19.7,734.8
"Shasta, CA",22.98,17.0,56.9,9.1,16.4,1256.1
"Sierra, CA",22.29,15.64,60.6,13.7,19.5,1086.3
"Siskiyou, CA",21.19,14.94,58.5,10.1,17.3,1031.6
"Solano, CA",16.64,11.51,58.0,8.8,17.4,750.2
"Sonoma, CA",16.52,11.3,67.3,11.4,20.2,837.3
"Stanislaus, CA",18.97,13.48,50.5,6.9,15.8,1135.5
"Sutter, CA",19.24,13.72,52.4,7.9,15.9,943.8
"Tehama, CA",23.92,17.48,57.1,10.3,17.7,1105.9
"Trinity, CA",23.47,16.13,61.8,13.4,19.4,1059.4
"Tulare, CA",16.76,11.38,45.5,6.9,15.3,1182.8
"Tuolumne, CA",22.31,16.63,58.3,10.0,17.4,937.3
"Ventura, CA",13.12,8.87,60.0,8.5,17.8,913.3
"Yolo, CA",13.98,9.24,62.4,10.0,18.7,857.2
"Yuba, CA",21.46,15.57,54.4,9.5,16.9,1138.4
"Alamosa, CO",19.29,12.76,47.3,6.9,16.9,1027.1
"Arapahoe, CO",17.21,11.33,64.3,9.2,20.6,765.3
"Archuleta, CO",18.97,12.69,63.8,11.7,21.4,798.3
"Baca, CO",21.97,15.87,53.6,7.8,15.9,864.4
"Bent, CO",27.5,19.72,52.7,8.1,19.0,1212.3
"Chaffee, CO",21.55,14.59,65.5,11.6,20.2,622.3
"Cheyenne, CO",20.97,15.06,60.4,9.6,22.1,785.2
