county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Elbert, GA",26.86,19.5,40.7,5.8,13.7,1105.9
"Emanuel, GA",26.37,19.46,37.4,6.2,13.9,1700.0
"Evans, GA",25.93,18.55,40.8,6.8,14.8,1081.7
"Fannin, GA",26.28,19.66,36.5,5.1,11.3,1055.0
"Fayette, GA",15.75,10.59,58.1,7.2,15.3,850.8
"Floyd, GA",25.45,18.05,40.5,5.8,13.8,1496.8
"Forsyth, GA",15.19,10.53,60.6,7.6,17.1,840.6
"Franklin, GA",24.88,18.48,35.8,5.7,12.3,1355.9
"Fulton, GA",15.87,9.97,61.1,9.2,17.7,855.0
"Gilmer, GA",26.13,19.59,42.6,5.9,13.9,1091.5
"Glascock, GA",25.9,19.93,34.5,4.7,11.5,1208.7
"Glynn, GA",22.62,15.7,55.0,9.3,17.7,976.2
"Gordon, GA",26.23,19.2,40.1,5.1,13.5,1332.5
"Grady, GA",24.57,17.49,38.5,6.1,13.0,1056.9
"Greene, GA",23.55,16.23,47.7,7.5,15.4,1030.3
"Gwinnett, GA",16.35,10.45,55.5,6.1,14.6,818.3
"Habersham, GA",22.6,16.93,40.7,5.2,12.4,975.0
"Hall, GA",20.29,14.79,46.7,5.7,13.9,880.3
"Hancock, GA",27.05,17.91,33.0,5.1,11.8,989.0
"Haralson, GA",27.58,22.05,35.2,5.4,12.5,1471.4
"Harris, GA",19.35,13.24,47.9,7.1,14.8,1021.7
"Hart, GA",23.83,17.11,37.2,5.2,11.7,1031.5
"Heard, GA",28.74,22.64,33.7,5.1,12.0,1119.2
"Henry, GA",20.52,13.64,48.2,5.7,14.1,1112.7
"Houston, GA",20.58,14.5,50.5,7.6,16.5,1278.4
"Irwin, GA",28.19,20.64,37.6,6.3,13.7,1336.9
"Jackson, GA",22.36,16.3,46.6,5.5,13.7,1127.3
"Jasper, GA",24.0,17.5,41.6,5.8,13.1,1106.7
"Jeff Davis, GA",25.07,18.41,30.2,4.2,11.0,1422.1
"Jefferson, GA",25.84,18.26,34.1,5.2,12.2,1412.2
"Jenkins, GA",26.24,18.63,30.1,4.4,11.4,1142.9
"Johnson, GA",27.16,19.89,33.9,5.7,12.8,1196.5
"Jones, GA",22.47,16.5,44.8,5.9,13.6,991.8
"Lamar, GA",26.02,18.63,37.3,5.2,12.0,1145.1
"Lanier, GA",26.35,19.21,44.6,7.9,15.9,1074.3
"Laurens, GA",24.93,18.12,37.3,6.4,13.7,1237.3
"Lee, GA",24.15,17.78,48.4,6.8,15.5,1205.3
"Liberty, GA",21.85,14.83,46.4,6.6,15.0,1001.8
"Lincoln, GA",25.53,18.49,39.3,5.7,12.7,932.9
"Long, GA",24.85,17.92,38.8,5.6,13.2,1004.3
"Lowndes, GA",23.29,16.27,46.1,7.5,15.0,1165.3
"Lumpkin, GA",21.74,15.99,50.1,7.0,15.2,973.9
"McDuffie, GA",25.92,18.83,38.6,5.5,13.0,1151.5
"McIntosh, GA",25.89,18.25,44.5,7.6,16.6,741.0
"Macon, GA",27.57,18.89,37.6,6.1,14.1,1320.5
"Madison, GA",26.14,19.43,39.7,5.5,12.7,1101.0
"Marion, GA",28.8,21.08,37.0,6.0,13.1,1337.6
"Meriwether, GA",28.3,20.75,40.1,6.5,14.2,1451.1
"Miller, GA",24.98,18.25,45.7,9.7,16.8,1289.8
"Mitchell, GA",27.03,19.35,36.7,6.1,13.1,1127.4
"Monroe, GA",23.68,17.03,46.0,6.7,14.8,1106.9
"Montgomery, GA",23.68,16.64,32.4,5.5,11.9,1382.7
"Morgan, GA",21.49,15.31,51.3,8.9,17.4,1121.7
"Murray, GA",29.16,22.11,33.5,4.6,12.3,1210.0
"Muscogee, GA",23.14,16.14,49.6,8.9,16.4,1372.9
"Newton, GA",22.81,15.84,45.7,5.9,14.3,1128.8
"Oconee, GA",15.9,10.55,56.8,7.4,15.3,1090.8
"Oglethorpe, GA",23.5,16.68,42.7,5.9,13.2,1098.5
"Paulding, GA",22.24,16.96,49.0,6.2,15.0,1203.4
"Peach, GA",22.64,15.42,44.7,6.3,14.4,1354.1
"Pickens, GA",23.24,17.32,53.1,7.7,16.3,1130.1
"Pierce, GA",27.05,20.62,34.0,6.1,13.0,1252.3
"Pike, GA",24.43,17.93,41.1,6.2,13.8,1015.9
"Polk, GA",26.98,20.64,35.1,4.8,12.0,1581.2
"Pulaski, GA",27.83,20.91,40.7,8.0,16.6,1255.2
"Putnam, GA",22.22,15.71,45.4,6.1,14.1,1015.8
"Quitman, GA",28.34,20.33,35.0,5.1,11.8,1153.6
"Rabun, GA",22.33,15.74,49.0,7.2,14.5,965.2
"Randolph, GA",25.39,17.4,34.5,5.0,11.6,963.0
"Richmond, GA",23.74,16.42,49.0,7.4,15.9,1257.1
"Rockdale, GA",20.26,12.91,48.3,5.9,14.2,961.6
"Schley, GA",25.99,19.05,41.5,7.4,15.4,1052.3
"Screven, GA",26.52,19.16,41.3,7.1,14.9,1123.4
"Seminole, GA",25.12,18.13,43.4,8.5,15.6,1392.7
"Spalding, GA",26.37,18.89,41.3,6.4,13.8,1072.7
"Stephens, GA",24.98,18.76,38.4,5.4,12.0,1285.8
"Stewart, GA",27.62,18.29,29.3,5.0,12.0,1094.2
"Sumter, GA",24.3,16.66,38.9,6.2,13.3,1217.9
"Talbot, GA",25.56,17.38,37.9,6.5,13.2,1221.5
"Taliaferro, GA",26.37,17.88,32.2,4.5,10.6,1083.6
"Tattnall, GA",26.9,19.45,36.5,5.8,13.2,1364.8
"Taylor, GA",26.72,19.08,34.0,5.7,12.3,1282.0
"Telfair, GA",25.59,17.8,33.7,6.0,13.6,800.6
"Terrell, GA",27.78,19.69,36.0,5.4,12.0,1016.6
"Thomas, GA",24.53,17.24,43.6,7.4,14.5,1015.1
"Tift, GA",25.34,17.47,38.2,5.7,12.8,1394.5
"Toombs, GA",23.67,16.97,34.5,5.6,12.5,1323.0
"Towns, GA",22.54,16.73,43.5,5.9,12.5,955.3
"Treutlen, GA",28.14,21.02,34.1,5.1,12.7,1274.4
"Troup, GA",24.66,17.95,44.9,6.7,15.0,1409.2
"Turner, GA",27.68,20.01,33.2,5.7,12.5,1583.3
"Twiggs, GA",26.37,19.03,32.2,5.3,12.3,1370.6
"Union, GA",21.7,15.8,43.2,5.8,12.1,980.0
"Upson, GA",28.06,21.02,35.6,5.3,12.4,1502.2
"Walker, GA",26.96,20.41,35.8,5.1,12.8,1516.9
"Walton, GA",23.09,16.89,46.2,6.3,14.0,1188.3
"Ware, GA",26.49,19.31,37.5,6.1,12.8,1374.3
"Warren, GA",27.45,18.97,29.4,4.1,10.4,1120.1
"Washington, GA",25.93,18.45,38.7,5.9,13.3,1180.9
"Wayne, GA",27.06,20.04,35.2,5.9,12.9,1141.9
"Webster, GA",24.43,17.17,35.9,5.6,11.9,932.0
"Wheeler, GA",27.93,20.06,28.6,5.7,11.5,1096.5
"White, GA",21.51,16.22,50.0,7.3,15.0,903.8
"Whitfield, GA",25.08,17.96,38.2,4.9,13.9,1175.9
"Wilcox, GA",27.77,20.09,28.5,4.8,10.8,1063.3
"Wilkes, GA",27.02,19.23,41.2,6.5,14.5,1149.5
"Wilkinson, GA",25.29,18.16,35.6,5.3,12.0,1416.0
"Worth, GA",27.57,20.22,38.6,6.1,13.4,952.9
"Hawaii, HI",19.85,13.98,55.7,11.7,20.8,834.0
"Honolulu, HI",16.1,11.23,51.8,9.2,20.3,718.0
"Kauai, HI",19.09,13.38,56.0,11.5,19.7,748.3
"Ada, ID",16.62,12.43,59.6,8.9,17.9,1004.3
"Adams, ID",22.65,16.79,63.5,13.9,23.2,755.3
"Bannock, ID",21.19,15.53,38.0,6.7,14.5,1195.8
"Bear Lake, ID",19.12,14.48,17.9,4.0,8.1,1004.4
"Benewah, ID",26.92,20.36,61.9,13.2,25.9,1082.7
"Bingham, ID",19.98,14.13,28.6,5.5,11.8,1184.8
"Blaine, ID",13.91,9.15,66.7,13.6,23.1,555.1
"Boise, ID",21.65,16.28,58.4,11.9,19.6,752.8
"Bonner, ID",22.72,16.98,65.9,14.2,23.8,890.7
"Bonneville, ID",16.1,11.54,35.6,6.1,11.6,1178.9
"Boundary, ID",25.85,20.06,59.1,10.5,20.5,869.2
"Butte, ID",21.08,15.49,30.7,7.3,14.5,1200.1
"Camas, ID",22.42,16.74,55.2,11.9,18.4,678.4
"Canyon, ID",21.01,15.51,46.3,8.6,16.4,1127.0
"Caribou, ID",20.51,15.21,24.6,5.3,10.4,1181.4
"Cassia, ID",20.44,15.07,27.6,5.7,12.5,1115.4
"Clark, ID",22.17,15.54,40.6,8.0,17.2,1060.6
"Clearwater, ID",26.11,19.56,61.8,13.5,25.1,891.8
"Custer, ID",20.23,14.62,49.0,10.7,18.4,757.9
"Elmore, ID",22.43,17.23,53.7,10.7,20.5,1117.9
"Franklin, ID",20.0,15.28,16.6,3.9,8.0,1060.0
"Fremont, ID",19.56,14.27,25.2,5.1,10.1,1041.5
"Gem, ID",23.37,18.17,51.5,9.5,17.8,1277.1
"Gooding, ID",23.07,17.35,44.5,9.2,18.6,1069.1
"Idaho, ID",25.03,18.98,60.7,12.2,23.8,866.7
"Jefferson, ID",16.48,12.31,23.0,5.0,9.5,1173.0
"Jerome, ID",22.0,16.22,47.1,9.5,19.1,1072.2
"Kootenai, ID",23.02,16.96,59.1,9.5,19.2,1005.4
"Latah, ID",15.56,10.49,63.4,10.9,24.5,715.8
"Lemhi, ID",23.49,17.61,52.0,11.2,20.6,905.5
"Lewis, ID",23.38,17.04,49.8,10.3,22.1,977.7
"Lincoln, ID",21.76,15.87,45.2,9.8,17.5,1111.5
"Madison, ID",13.06,9.55,11.0,2.7,5.9,1639.6
"Minidoka, ID",21.88,16.36,35.5,6.8,15.0,1110.6
"Nez Perce, ID",24.09,17.84,62.1,12.0,25.2,1038.1
"Oneida, ID",20.7,15.92,19.3,5.7,10.7,1160.5
"Owyhee, ID",24.61,18.67,46.8,11.4,21.5,1070.8
"Payette, ID",24.13,17.74,48.8,9.5,18.7,1172.8
"Power, ID",20.12,14.26,36.0,6.1,14.5,1003.8
"Shoshone, ID",26.58,20.27,64.3,17.0,29.2,1050.3
"Teton, ID",14.2,9.39,47.9,8.9,15.9,759.5
"Twin Falls, ID",23.49,18.19,47.9,8.5,17.8,1084.8
"Valley, ID",18.98,13.26,65.5,14.5,23.3,491.9
"Washington, ID",25.14,18.81,51.3,11.6,22.0,1194.4
"Adams, IL",23.23,17.5,56.9,10.2,22.7,969.2
"Alexander, IL",27.96,20.65,37.9,5.3,16.0,1209.5
"Bond, IL",22.66,17.01,52.6,9.4,20.6,1216.4
"Boone, IL",21.82,16.06,61.3,9.9,22.0,1063.2
"Brown, IL",25.9,19.12,56.8,10.1,22.8,1111.6
"Bureau, IL",24.13,18.02,56.1,10.3,22.8,1196.0
"Calhoun, IL",22.12,16.45,63.9,16.1,32.6,1070.3
"Carroll, IL",22.01,16.41,57.9,10.9,23.6,1122.4
"Cass, IL",25.25,18.96,51.9,7.4,21.1,1193.2
"Champaign, IL",17.19,11.35,59.4,9.7,20.2,860.7
"Christian, IL",27.88,21.81,52.9,10.2,22.1,1162.9
"Clark, IL",23.83,17.95,45.5,6.5,16.7,1319.8
"Clay, IL",25.57,19.89,46.1,7.2,18.4,1268.6
"Clinton, IL",22.96,17.79,66.5,15.9,30.8,1268.9
"Coles, IL",22.54,16.91,52.7,9.5,20.7,1100.8
"Cook, IL",19.26,12.47,62.3,10.1,22.8,1022.8
"Crawford, IL",24.07,18.16,47.3,7.1,17.5,1190.2
"Cumberland, IL",24.2,18.31,47.8,8.2,18.6,1107.6
"DeKalb, IL",19.1,13.34,62.4,9.8,21.9,1012.8
"De Witt, IL",24.21,19.16,54.5,8.9,20.5,1106.8
"Douglas, IL",24.48,18.66,49.4,7.6,19.6,1039.7
"DuPage, IL",14.88,10.1,69.6,10.7,23.9,864.3
"Edgar, IL",25.97,20.04,47.2,7.7,18.7,1253.0
"Edwards, IL",24.52,18.74,42.0,6.2,16.1,1269.4
"Effingham, IL",22.28,16.77,58.0,8.8,22.4,1120.8
"Fayette, IL",25.03,19.22,45.4,6.8,17.6,1036.1
"Ford, IL",24.4,18.47,53.7,8.2,20.3,1220.8
"Franklin, IL",25.94,20.19,47.3,8.0,18.7,1048.0
"Fulton, IL",25.16,19.32,49.5,9.5,21.0,1096.0
"Gallatin, IL",26.76,20.56,48.7,9.0,21.9,1225.4
"Greene, IL",26.05,19.88,50.8,10.2,22.5,1231.9
"Grundy, IL",23.38,17.38,59.5,10.7,23.6,1082.4
"Hamilton, IL",23.86,18.35,47.8,6.2,16.9,1213.2
"Hancock, IL",23.23,17.42,48.1,13.0,24.1,1008.7
"Hardin, IL",25.73,19.35,44.0,7.7,18.6,1305.5
"Henderson, IL",23.38,17.72,52.3,10.8,22.0,1159.5
"Henry, IL",22.27,16.89,57.5,9.3,21.1,1196.1
"Iroquois, IL",24.31,18.55,52.6,8.1,19.9,1257.3
"Jackson, IL",17.78,12.23,50.2,8.4,19.4,970.3
"Jasper, IL",23.18,17.7,55.5,9.8,21.9,1181.9
"Jefferson, IL",24.56,18.56,46.1,6.5,16.7,1348.9
"Jersey, IL",23.55,17.99,59.0,10.5,24.9,1351.4
"Jo Daviess, IL",19.72,14.27,68.8,13.6,28.8,975.8
"Johnson, IL",24.56,17.93,43.4,7.5,16.8,959.3
"Kane, IL",17.3,11.69,65.2,8.7,21.6,873.6
"Kankakee, IL",25.43,18.49,56.6,9.1,21.4,1273.9
"Kendall, IL",16.82,11.63,65.2,9.8,21.6,843.9
"Knox, IL",25.32,19.46,53.8,9.9,21.3,1169.8
"Lake, IL",16.49,11.01,66.4,10.3,21.2,857.8
"LaSalle, IL",24.3,18.08,60.1,12.0,25.8,1200.9
"Lawrence, IL",28.04,21.99,43.3,5.5,15.4,1061.7
"Lee, IL",24.84,18.37,59.5,11.4,24.4,1139.3
"Livingston, IL",26.27,19.84,53.3,9.3,21.9,1190.9
"Logan, IL",25.64,19.73,52.5,8.5,20.1,1038.4
"McDonough, IL",19.03,13.67,53.1,9.1,19.4,1129.3
"McHenry, IL",18.57,13.02,68.6,11.1,24.0,995.9
"McLean, IL",16.29,11.26,58.0,8.8,20.3,1050.6
"Macon, IL",24.6,18.55,52.8,8.8,20.4,986.3
"Macoupin, IL",25.8,19.46,54.2,10.4,23.0,1228.3
"Madison, IL",23.89,18.52,57.4,10.0,22.5,1253.5
"Marion, IL",25.76,20.08,45.3,7.3,18.2,1401.8
"Marshall, IL",22.78,16.89,57.0,11.3,24.5,1172.5
"Mason, IL",25.05,19.32,50.4,10.0,22.4,1041.3
"Massac, IL",24.16,18.19,43.1,6.4,16.4,1068.9
"Menard, IL",22.8,17.11,54.2,9.5,21.0,973.7
"Mercer, IL",23.59,18.23,54.9,10.5,22.2,1152.2
"Monroe, IL",20.59,15.82,61.8,11.0,24.4,1105.8
"Montgomery, IL",27.7,21.61,47.9,8.8,19.8,1070.5
"Morgan, IL",24.28,18.06,52.0,9.8,21.9,1563.8
"Moultrie, IL",24.94,19.62,49.3,7.2,18.1,1022.9
"Ogle, IL",21.8,16.26,59.1,10.4,22.5,1044.0
"Peoria, IL",20.74,14.99,55.8,9.3,20.4,1000.1
"Perry, IL",25.39,19.34,48.2,8.2,19.5,1154.5
"Piatt, IL",20.78,15.35,55.5,9.8,21.5,998.5
"Pike, IL",25.57,19.59,48.1,8.9,20.0,1004.8
"Pope, IL",24.81,18.36,42.1,7.4,16.6,1006.9
"Pulaski, IL",24.5,17.35,36.0,5.2,14.7,1237.5
"Putnam, IL",23.35,17.19,57.9,12.7,24.9,1191.9
"Randolph, IL",26.8,21.12,52.0,8.9,21.2,1126.1
"Richland, IL",23.3,17.87,47.5,7.8,19.2,1114.4
"Rock Island, IL",21.71,16.19,57.6,9.9,21.1,1146.9
"St. Clair, IL",23.05,17.32,55.0,9.4,21.8,1181.9
"Saline, IL",25.65,19.85,42.4,5.9,16.0,1040.5
"Sangamon, IL",22.19,15.88,58.0,9.5,21.7,1033.4
"Schuyler, IL",23.49,17.71,53.3,9.2,20.7,1043.8
"Scott, IL",23.09,17.25,46.7,8.9,20.9,1296.2
"Shelby, IL",23.3,17.81,51.3,8.8,20.3,1068.1
"Stark, IL",23.01,17.36,51.2,9.1,19.8,1103.2
"Stephenson, IL",22.73,17.04,57.2,8.5,20.4,926.0
"Tazewell, IL",21.56,16.57,57.3,9.3,21.0,1034.8
"Union, IL",23.78,17.78,43.6,6.5,16.9,1207.6
"Vermilion, IL",26.86,20.58,48.0,7.5,18.1,1213.8
"Wabash, IL",23.49,18.34,51.1,7.1,18.8,972.2
"Warren, IL",23.99,18.19,54.3,8.9,20.7,1185.6
"Washington, IL",21.5,16.52,59.1,11.9,25.4,1203.5
"Wayne, IL",25.31,19.7,44.6,5.4,15.3,1303.9
"White, IL",24.58,19.12,46.6,7.0,17.2,1268.8
"Whiteside, IL",23.5,17.74,55.8,9.6,22.3,1260.4
"Will, IL",19.47,13.47,64.5,9.5,22.7,1067.9
"Williamson, IL",22.64,16.87,49.7,7.6,18.4,980.3
"Winnebago, IL",22.89,16.86,60.3,9.3,21.2,1115.4
"Woodford, IL",19.42,14.24,59.0,9.3,20.6,1062.1
"Adams, IN",26.75,21.1,43.9,5.8,15.5,983.3
"Allen, IN",23.2,16.42,56.2,7.4,18.5,1014.4
"Bartholomew, IN",20.79,15.72,52.6,7.5,17.7,986.4
"Benton, IN",25.03,19.27,50.1,7.5,20.6,1125.1
"Blackford, IN",29.66,23.77,46.0,7.2,17.5,1122.4
"Boone, IN",18.26,13.03,56.5,7.2,17.7,1262.5
"Brown, IN",23.06,17.07,50.0,7.7,17.3,1031.4
"Carroll, IN",24.44,18.51,50.6,8.6,19.6,985.4
"Cass, IN",27.17,20.25,46.4,7.4,18.7,1009.7
"Clark, IN",27.16,21.01,51.3,7.2,17.4,1127.8
"Clay, IN",26.82,20.54,42.2,6.7,16.4,1475.5
"Clinton, IN",25.66,20.0,49.8,7.2,18.8,1086.5
"Crawford, IN",27.14,20.96,36.2,8.0,16.5,1104.1
"Daviess, IN",28.77,22.89,45.5,5.8,16.4,1145.6
"Dearborn, IN",25.97,20.35,56.8,9.4,20.1,1072.5
"Decatur, IN",26.06,20.89,51.1,8.6,19.9,1251.2
"DeKalb, IN",25.79,20.49,52.9,8.2,19.3,1109.3
"Delaware, IN",25.73,19.49,46.2,7.4,15.9,1138.5
"Dubois, IN",23.08,17.5,59.8,10.6,24.6,1157.8
"Elkhart, IN",23.65,17.96,50.9,6.3,15.6,1077.4
"Fayette, IN",32.05,26.26,42.4,7.5,16.9,1419.9
"Floyd, IN",25.79,19.92,49.0,7.8,17.8,1021.7
"Fountain, IN",27.26,21.53,46.9,7.9,18.1,1182.4
"Franklin, IN",25.42,19.46,53.5,8.3,19.3,1038.8
"Fulton, IN",26.54,20.53,48.5,8.1,18.8,1222.9
"Gibson, IN",24.8,19.61,51.2,8.6,19.3,1141.6
"Grant, IN",26.83,20.75,44.6,7.3,16.3,1164.4
"Greene, IN",27.75,21.11,42.7,7.1,17.4,1206.9
"Hamilton, IN",14.33,9.51,63.6,7.7,18.3,913.5
"Hancock, IN",23.69,17.64,54.1,7.6,16.8,989.6
"Harrison, IN",26.03,20.47,48.1,8.0,17.6,998.1
"Hendricks, IN",20.28,14.79,53.0,7.3,17.4,1097.6
"Henry, IN",28.64,22.5,43.8,6.8,15.9,1126.3
"Howard, IN",25.56,19.31,48.3,6.7,17.3,1321.2
"Huntington, IN",26.43,19.92,49.7,8.7,20.3,1136.3
"Jackson, IN",25.82,20.31,46.5,6.0,16.1,1078.5
"Jasper, IN",26.22,19.95,52.0,8.1,19.1,1245.3
"Jay, IN",29.29,23.74,46.4,7.5,17.7,1090.3
"Jefferson, IN",26.55,21.06,48.4,6.7,17.2,1296.9
"Jennings, IN",27.94,22.77,44.2,7.7,17.0,1138.4
"Johnson, IN",23.6,18.41,52.9,7.3,17.4,1122.4
"Knox, IN",27.08,21.54,48.4,8.1,19.4,1125.7
"Kosciusko, IN",24.83,18.9,52.8,7.3,17.6,1120.9
"LaGrange, IN",27.37,21.99,42.4,4.6,14.1,1134.5
"Lake, IN",26.22,18.61,54.2,6.8,18.2,1194.1
"LaPorte, IN",28.75,21.48,55.3,8.9,20.1,1350.7
"Lawrence, IN",26.68,20.76,42.3,7.1,16.3,1013.3
"Madison, IN",27.68,21.29,47.9,6.9,16.5,1035.5
"Marion, IN",25.73,18.7,52.8,7.4,17.3,1085.0
"Marshall, IN",24.64,18.83,48.9,7.2,17.4,1182.7
"Martin, IN",27.4,21.31,50.8,7.6,19.3,1114.3
"Miami, IN",30.2,23.44,42.1,7.7,17.1,1228.1
"Monroe, IN",17.3,11.75,55.3,9.0,18.2,958.8
"Montgomery, IN",24.94,19.36,46.3,7.6,18.7,1478.6
"Morgan, IN",27.99,21.7,47.0,7.2,16.9,1222.5
"Newton, IN",29.56,22.79,51.3,8.7,20.4,1227.3
"Noble, IN",25.65,19.57,47.3,7.2,17.2,1080.7
"Ohio, IN",25.04,19.59,48.7,7.4,17.6,883.9
"Orange, IN",25.85,19.8,43.2,6.4,16.4,1080.9
"Owen, IN",28.55,21.7,42.5,7.7,17.0,1202.0
"Parke, IN",27.57,21.27,42.3,6.8,16.7,1173.2
"Perry, IN",28.95,23.1,51.6,9.7,21.3,1207.4
"Pike, IN",26.22,20.7,44.5,7.0,17.2,1150.8
"Porter, IN",24.09,17.98,60.0,8.9,19.8,1148.2
"Posey, IN",23.08,17.64,51.9,9.6,21.2,988.6
"Pulaski, IN",25.99,19.82,49.9,7.6,18.1,1320.3
"Putnam, IN",26.78,20.35,44.5,7.2,16.8,1117.4
"Randolph, IN",27.32,21.84,43.5,6.8,16.5,1225.0
"Ripley, IN",24.36,19.27,52.1,10.2,21.9,1201.7
"Rush, IN",27.15,21.29,46.8,7.3,16.7,1268.9
"St. Joseph, IN",23.23,16.94,57.8,8.9,20.8,1080.7
"Scott, IN",29.72,24.17,43.1,6.5,15.9,1171.8
"Shelby, IN",27.08,21.49,49.0,9.4,19.3,1033.0
"Spencer, IN",23.36,17.53,51.3,8.4,20.3,1192.7
"Starke, IN",28.53,22.0,49.9,9.0,20.5,1400.3
"Steuben, IN",23.96,18.59,53.9,8.8,19.5,1073.7
"Sullivan, IN",27.66,20.63,41.5,7.0,16.9,1357.2
"Switzerland, IN",28.1,22.41,45.8,7.3,17.4,992.2
"Tippecanoe, IN",18.09,13.09,53.8,8.6,18.4,989.3
"Tipton, IN",24.84,19.46,50.3,7.5,17.4,1060.3
"Union, IN",25.14,19.06,47.3,6.5,16.7,1151.5
"Vanderburgh, IN",25.53,19.49,51.5,7.7,19.5,1030.9
"Vermillion, IN",27.06,21.27,43.7,10.5,21.1,1397.0
"Vigo, IN",26.03,19.36,49.5,7.7,17.9,1452.0
"Wabash, IN",26.65,20.62,47.9,6.9,17.1,1135.7
"Warren, IN",25.98,20.49,47.1,6.9,17.6,1079.7
"Warrick, IN",20.46,15.29,53.0,7.9,18.3,1137.5
"Washington, IN",27.73,21.78,42.7,6.4,15.6,1081.0
"Wayne, IN",27.81,21.99,44.6,7.5,17.0,1431.8
"Wells, IN",25.86,20.1,48.9,6.4,16.1,1027.5
"White, IN",24.41,18.73,49.3,6.4,17.2,1138.6
"Whitley, IN",26.53,19.66,51.0,8.4,18.6,1034.8
"Adair, IA",22.35,16.8,55.8,10.0,22.6,888.0
"Adams, IA",22.32,16.57,57.0,10.6,24.0,1291.3
"Allamakee, IA",22.6,17.61,63.9,10.8,28.0,1276.8
"Appanoose, IA",24.89,19.15,51.1,9.2,21.9,1124.8
"Audubon, IA",22.24,16.53,56.8,9.5,23.4,900.7
"Benton, IA",21.74,15.95,62.9,11.2,25.5,1055.1
"Black Hawk, IA",20.83,15.33,63.3,11.4,26.1,1040.0
"Boone, IA",23.19,17.03,60.6,10.6,25.6,1177.7
"Bremer, IA",17.28,12.62,65.9,10.1,25.6,1041.2
"Buchanan, IA",21.74,16.45,64.3,11.5,27.2,1148.5
"Buena Vista, IA",19.33,13.96,56.5,8.5,21.0,1102.5
"Butler, IA",21.53,16.44,60.0,9.7,24.9,1215.1
"Calhoun, IA",20.66,14.81,58.5,9.4,23.4,1131.9
"Carroll, IA",22.7,17.23,66.4,13.3,28.4,1005.6
"Cass, IA",23.46,17.77,57.5,9.6,22.6,1241.3
"Cedar, IA",21.95,16.01,63.3,11.4,26.2,935.0
"Cerro Gordo, IA",22.6,17.2,62.7,9.6,25.1,1228.1
"Cherokee, IA",21.14,15.94,63.7,10.3,25.3,1110.8
"Chickasaw, IA",22.7,17.65,64.1,11.2,27.6,1254.0
"Clarke, IA",24.82,19.0,51.0,9.3,21.8,1241.0
"Clay, IA",22.66,17.34,62.9,9.4,24.1,1040.4
"Clayton, IA",21.51,16.56,62.2,11.3,28.6,961.1
"Clinton, IA",23.25,17.63,65.4,13.5,31.0,1171.4
"Crawford, IA",23.4,17.28,55.9,9.7,22.7,980.9
"Dallas, IA",15.54,10.9,63.8,9.2,23.7,867.3
"Davis, IA",24.07,18.04,46.9,8.7,20.4,1166.2
"Decatur, IA",22.21,16.39,49.6,10.1,20.6,1245.8
"Delaware, IA",22.24,17.14,64.3,13.5,28.7,1028.6
"Des Moines, IA",23.74,18.03,55.9,10.1,24.9,1097.8
"Dickinson, IA",20.14,14.61,69.7,12.5,31.4,1039.3
"Dubuque, IA",18.75,13.91,70.7,13.6,32.3,1018.1
"Emmet, IA",23.44,17.67,61.6,9.2,24.3,1247.6
"Fayette, IA",21.57,16.55,61.9,10.9,27.4,1242.1
"Floyd, IA",22.78,17.59,61.3,10.4,26.3,1169.7
"Franklin, IA",23.12,17.64,57.8,9.3,23.6,1197.2
"Fremont, IA",23.19,17.43,59.8,11.6,27.1,911.8
"Greene, IA",23.91,17.69,58.8,9.4,23.7,1101.6
"Grundy, IA",19.21,14.27,62.3,10.6,25.9,1228.9
"Guthrie, IA",21.33,15.72,56.9,10.5,23.7,1031.8
"Hamilton, IA",24.36,18.22,57.7,9.7,24.9,1059.7
"Hancock, IA",22.96,17.48,59.6,9.2,23.2,1136.9
"Hardin, IA",22.06,16.94,60.8,9.4,23.9,1201.6
"Harrison, IA",21.82,16.76,57.5,10.8,23.1,931.6
"Henry, IA",23.59,17.09,53.9,10.0,24.0,1129.2
"Howard, IA",23.89,18.7,65.5,11.5,28.5,2008.0
"Humboldt, IA",23.62,17.78,63.0,9.7,25.5,1348.5
"Ida, IA",21.84,16.32,58.8,8.8,22.8,1076.2
"Iowa, IA",20.38,14.86,60.6,10.7,24.0,1072.6
"Jackson, IA",22.19,17.01,65.2,13.6,29.4,1064.9
"Jasper, IA",23.25,17.92,55.3,10.2,23.4,949.5
"Jefferson, IA",20.52,14.2,51.8,9.1,20.7,1216.9
"Johnson, IA",15.22,9.91,67.9,11.9,23.9,890.6
"Jones, IA",22.2,16.52,63.1,11.9,26.7,1000.8
"Keokuk, IA",24.26,18.16,53.2,10.8,23.9,1110.1
"Kossuth, IA",21.86,16.51,63.5,11.3,25.8,1278.2
"Lee, IA",25.93,20.02,58.7,12.1,28.0,1207.1
"Linn, IA",20.25,14.55,65.1,10.4,24.3,920.3
"Louisa, IA",22.89,16.76,53.0,10.2,23.4,1024.0
"Lucas, IA",25.38,19.95,56.7,10.3,23.4,1245.8
"Lyon, IA",20.82,15.59,61.6,9.5,24.0,912.4
"Madison, IA",21.05,16.09,56.8,10.1,23.1,991.4
"Mahaska, IA",22.61,17.12,55.4,9.4,21.6,1208.9
"Marion, IA",19.71,14.84,58.6,9.1,22.6,1221.0
