county_state,2012 Both Sexes,cig_total_mean,cig_daily_mean,deaths-per-100k
"Baraga, MI",50.9,28.06,20.1,1142.0
"Barber, KS",51.6,21.48,15.74,1342.6
"Barbour, AL",37.6,26.25,18.73,1508.6
"Barbour, WV",31.5,27.77,22.69,1108.5
"Barnes, ND",66.8,21.65,16.29,842.4
"Barnstable, MA",72.2,19.81,14.22,888.7
"Barnwell, SC",35.1,25.66,18.39,1112.5
"Barren, KY",34.6,28.9,23.62,1304.3
"Barron, WI",62.7,23.51,17.41,1094.5
"Barrow, GA",49.0,23.31,17.15,996.4
"Barry, MI",56.6,22.3,17.09,1110.4
"Barry, MO",41.5,28.25,22.72,1227.5
"Bartholomew, IN",52.6,20.79,15.72,986.4
"Barton, KS",48.7,23.59,17.51,1007.3
"Barton, MO",42.5,26.99,21.8,1236.3
"Bartow, GA",43.2,25.82,19.57,1319.3
"Bastrop, TX",51.2,20.25,13.93,1067.0
"Bates, MO",43.1,29.91,23.45,1245.3
"Bath, KY",29.3,31.02,24.94,1399.4
"Bath, VA",50.7,25.26,19.37,1015.1
"Baxter, AR",48.2,27.4,21.18,1068.9
"Bay, FL",53.5,24.22,18.55,1112.3
"Bay, MI",64.8,24.49,18.73,1545.2
"Bayfield, WI",68.1,20.99,14.96,864.5
"Baylor, TX",36.8,21.13,14.99,1164.8
"Beadle, SD",57.7,22.09,16.95,911.7
"Bear Lake, ID",17.9,19.12,14.48,1004.4
"Beaufort, NC",42.9,23.46,17.36,1027.3
"Beaufort, SC",66.3,18.66,12.32,594.9
"Beauregard, LA",40.7,26.95,20.46,1638.2
"Beaver, OK",45.7,22.21,16.03,1572.8
"Beaver, PA",58.2,25.42,19.23,1215.0
"Beaver, UT",24.8,21.03,15.46,1337.4
"Beaverhead, MT",61.0,19.28,13.76,1058.5
"Becker, MN",61.8,21.47,15.92,843.2
"Beckham, OK",42.8,27.46,21.48,1380.3
"Bedford, PA",47.0,24.26,18.63,1173.7
"Bedford, TN",35.4,26.84,20.87,1514.0
"Bee, TX",49.9,22.7,15.23,1388.7
"Belknap, NH",65.8,20.2,15.54,1043.8
"Bell, KY",22.7,32.74,26.87,1598.6
"Bell, TX",52.1,19.7,13.51,1011.7
"Belmont, OH",50.5,27.86,21.54,1385.8
"Beltrami, MN",57.5,23.86,16.22,718.7
"Ben Hill, GA",35.4,27.49,20.49,1503.0
"Benewah, ID",61.9,26.92,20.36,1082.7
"Bennett, SD",41.8,29.83,20.11,1272.2
"Bennington, VT",67.1,19.76,13.81,1072.0
"Benson, ND",47.7,33.36,23.96,1074.5
"Bent, CO",52.7,27.5,19.72,1212.3
"Benton, AR",49.9,20.88,15.64,1168.8
"Benton, IA",62.9,21.74,15.95,1055.1
"Benton, IN",50.1,25.03,19.27,1125.1
"Benton, MN",64.7,19.71,14.6,855.4
"Benton, MO",45.3,28.79,22.97,974.3
"Benton, MS",27.9,26.92,20.06,1166.8
"Benton, OR",67.8,15.05,9.46,775.9
"Benton, TN",30.4,28.65,22.36,1514.4
"Benton, WA",57.4,17.86,12.91,880.5
"Benzie, MI",58.3,21.33,15.51,962.0
"Bergen, NJ",66.8,15.28,9.73,920.0
"Berkeley, SC",51.3,22.99,16.63,863.9
"Berkeley, WV",43.9,26.13,20.6,1096.1
"Berks, PA",56.7,22.3,16.35,1122.1
"Berkshire, MA",67.8,21.32,15.61,950.1
"Bernalillo, NM",53.7,21.0,13.28,1003.3
"Berrien, GA",42.7,28.13,20.48,1276.6
"Berrien, MI",54.3,24.04,17.42,1422.7
"Bertie, NC",33.9,25.99,17.6,902.7
"Bexar, TX",55.8,18.05,11.4,1077.8
"Bibb, AL",35.8,29.41,22.62,1362.3
"Bibb, GA",45.4,22.81,16.09,1432.2
"Bienville, LA",37.2,26.36,19.58,1073.0
"Big Horn, MT",46.1,30.99,20.97,1061.0
"Big Horn, WY",46.1,21.9,15.85,1086.0
"Big Stone, MN",60.4,22.2,16.51,1106.9
"Billings, ND",62.8,21.99,16.48,868.3
"Bingham, ID",28.6,19.98,14.13,1184.8
"Black Hawk, IA",63.3,20.83,15.33,1040.0
"Blackford, IN",46.0,29.66,23.77,1122.4
"Bladen, NC",31.8,26.35,18.75,1184.3
"Blaine, ID",66.7,13.91,9.15,555.1
"Blaine, MT",55.5,27.65,18.77,1238.0
"Blaine, NE",51.3,21.74,16.08,1110.6
"Blaine, OK",44.8,26.02,19.32,1356.2
"Blair, PA",54.8,23.62,18.02,1359.3
"Blanco, TX",54.7,19.08,12.78,950.6
"Bland, VA",35.9,26.76,20.65,1239.2
"Bleckley, GA",35.8,25.14,18.66,1271.7
"Bledsoe, TN",29.0,29.66,23.72,1004.2
"Blount, AL",34.9,27.17,19.88,1327.2
