county_state,2012 Both Sexes,cig_total_mean,cig_daily_mean,deaths-per-100k
"Clay, NE",55.9,21.59,16.11,1068.0
"Clay, SD",60.8,16.89,11.36,1080.4
"Clay, TN",32.8,25.65,19.6,1521.2
"Clay, TX",41.8,21.99,16.27,1085.5
"Clay, WV",24.3,32.41,26.69,1113.0
"Clayton, GA",41.5,22.19,14.6,1109.9
"Clayton, IA",62.2,21.51,16.56,961.1
"Clear Creek, CO",72.8,18.78,12.51,725.9
"Clearfield, PA",53.7,24.09,18.44,1167.4
"Clearwater, ID",61.8,26.11,19.56,891.8
"Clearwater, MN",52.6,25.25,18.75,935.8
"Cleburne, AL",30.5,28.52,22.84,1565.2
"Cleburne, AR",43.3,26.25,19.95,958.1
"Clermont, OH",56.6,23.69,17.72,1037.5
"Cleveland, AR",40.1,26.75,19.77,1314.8
"Cleveland, NC",37.8,26.08,19.24,1126.3
"Cleveland, OK",51.6,21.47,15.43,1130.3
"Clinch, GA",37.7,26.46,19.5,1583.2
"Clinton, IA",65.4,23.25,17.63,1171.4
"Clinton, IL",66.5,22.96,17.79,1268.9
"Clinton, IN",49.8,25.66,20.0,1086.5
"Clinton, KY",29.4,33.46,27.09,1263.6
"Clinton, MI",63.3,19.39,14.33,1015.5
"Clinton, MO",49.4,25.61,19.78,1197.7
"Clinton, NY",62.8,19.55,14.8,945.5
"Clinton, OH",46.0,27.51,21.2,1185.2
"Clinton, PA",54.7,23.1,17.74,1364.1
"Cloud, KS",53.6,24.71,18.98,1291.5
"Coahoma, MS",46.5,25.3,17.27,1179.3
"Coal, OK",36.2,29.45,22.65,1829.8
"Cobb, GA",60.5,16.45,11.0,918.5
"Cochise, AZ",51.8,20.99,14.25,1006.0
"Cochran, TX",34.0,20.07,13.2,1267.9
"Cocke, TN",27.4,30.24,24.01,1719.2
"Coconino, AZ",54.9,21.54,13.92,783.3
"Codington, SD",65.0,23.25,17.72,895.8
"Coffee, AL",41.7,23.26,16.66,1525.1
"Coffee, GA",33.0,26.84,19.13,1219.1
"Coffee, TN",39.5,26.3,20.24,1561.1
"Coffey, KS",49.8,23.69,18.0,1210.1
"Coke, TX",41.0,21.56,15.12,1114.2
"Colbert, AL",37.2,25.16,18.69,1502.0
"Cole, MO",58.1,21.36,15.75,955.9
"Coleman, TX",46.7,23.95,17.89,1292.6
"Coles, IL",52.7,22.54,16.91,1100.8
"Colfax, NE",59.9,21.74,15.08,912.4
"Colfax, NM",49.3,18.78,12.22,793.3
"Colleton, SC",44.3,25.42,17.37,1300.4
"Collier, FL",65.4,19.07,12.58,542.8
"Collin, TX",59.9,13.26,8.82,820.0
"Collingsworth, TX",30.0,19.79,13.46,1426.7
"Colorado, TX",53.8,20.91,14.45,1177.9
"Colquitt, GA",36.3,25.84,18.09,944.8
"Columbia, AR",41.0,24.82,17.94,1269.7
"Columbia, FL",44.4,27.9,20.9,950.0
"Columbia, GA",58.5,17.63,12.49,779.8
"Columbia, NY",63.9,20.13,13.95,1138.4
"Columbia, OR",61.0,24.29,18.16,959.6
"Columbia, PA",56.3,22.54,16.91,1237.7
"Columbia, WA",55.2,21.38,15.76,893.7
"Columbia, WI",66.7,23.18,16.59,1067.3
"Columbiana, OH",48.7,29.82,23.31,1281.7
"Columbus, NC",34.0,26.57,18.52,1498.5
"Colusa, CA",54.7,19.69,13.07,961.8
"Comal, TX",58.9,17.6,11.44,1074.2
"Comanche, KS",51.3,20.62,14.87,1178.8
"Comanche, OK",48.3,26.46,19.49,1222.5
"Comanche, TX",40.4,22.01,15.34,1333.7
"Concho, TX",39.1,22.41,14.72,1128.2
"Concordia, LA",41.2,29.63,21.93,1570.3
"Conecuh, AL",37.2,27.43,19.82,1234.2
"Conejos, CO",36.9,18.02,11.32,983.5
"Contra Costa, CA",63.4,13.92,9.24,709.3
"Converse, WY",61.4,23.72,17.97,957.0
"Conway, AR",45.2,27.09,20.36,1255.6
"Cook, GA",36.4,27.67,19.77,1288.7
"Cook, IL",62.3,19.26,12.47,1022.8
"Cook, MN",57.2,17.66,12.07,542.5
"Cooke, TX",48.7,22.66,16.99,991.7
"Cooper, MO",51.9,27.35,21.23,1247.6
"Coos, NH",64.5,23.37,18.65,
"Coos, OR",57.2,28.13,20.64,1193.3
"Coosa, AL",35.2,29.65,22.47,1314.1
"Copiah, MS",36.5,27.18,18.99,1386.7
"Corson, SD",34.7,30.83,20.76,1269.3
"Cortland, NY",61.9,20.74,14.95,971.1
"Coryell, TX",49.2,22.4,16.23,1064.0
"Coshocton, OH",46.5,27.12,21.74,1204.5
"Costilla, CO",46.1,20.4,12.67,825.2
"Cottle, TX",33.4,18.57,12.52,1127.1
"Cotton, OK",36.4,27.47,21.03,1139.1
"Cottonwood, MN",60.6,22.38,16.62,908.3
"Covington, AL",37.6,28.47,21.41,1576.6
"Covington, MS",34.2,26.46,18.71,1544.2
"Coweta, GA",49.5,21.51,15.71,1158.7
"Cowley, KS",44.3,25.17,19.15,1151.7
"Cowlitz, WA",56.7,24.55,17.5,1080.4
"Craig, OK",38.5,30.22,23.1,1767.4
"Craig, VA",36.3,24.68,19.15,903.6
"Craighead, AR",38.9,24.58,18.74,1322.1
"Crane, TX",46.6,20.8,14.05,1137.0
"Craven, NC",49.5,22.42,16.32,1020.9
"Crawford, AR",39.7,29.17,22.25,1259.6
"Crawford, GA",43.2,25.13,18.4,1361.2
"Crawford, IA",55.9,23.4,17.28,980.9
"Crawford, IL",47.3,24.07,18.16,1190.2
"Crawford, IN",36.2,27.14,20.96,1104.1
"Crawford, KS",47.2,23.92,18.37,1237.8
"Crawford, MI",59.1,25.97,19.41,1210.4
"Crawford, MO",43.9,29.54,23.8,1829.1
"Crawford, OH",48.6,27.23,22.41,1268.9
"Crawford, PA",54.7,25.3,19.78,1166.2
"Crawford, WI",64.9,23.38,17.82,989.9
"Creek, OK",42.2,29.94,22.16,1485.7
"Crenshaw, AL",32.4,27.32,20.37,1551.6
"Crisp, GA",39.8,27.35,19.61,1154.2
"Crittenden, AR",40.7,27.03,19.4,1220.2
"Crittenden, KY",31.7,29.74,23.95,1786.6
"Crockett, TN",30.0,25.99,19.49,1910.2
"Crockett, TX",52.2,22.03,15.05,1828.1
"Crook, OR",57.2,24.38,18.07,968.8
"Crook, WY",68.7,22.88,16.68,1041.1
"Crosby, TX",35.4,19.74,12.71,1284.2
"Cross, AR",38.1,28.22,21.06,1332.4
"Crow Wing, MN",63.9,20.9,14.3,739.2
"Crowley, CO",46.0,25.92,18.3,867.0
"Culberson, TX",39.6,17.89,11.12,969.5
"Cullman, AL",33.5,26.8,20.13,1710.6
"Culpeper, VA",52.3,21.68,16.15,912.1
"Cumberland, IL",47.8,24.2,18.31,1107.6
"Cumberland, KY",32.1,31.12,24.85,1530.4
"Cumberland, ME",69.0,17.37,12.18,868.0
"Cumberland, NC",41.9,23.24,15.53,1064.4
"Cumberland, NJ",48.6,25.44,18.17,1316.1
"Cumberland, PA",59.9,17.79,12.58,1177.6
"Cumberland, TN",40.6,26.61,21.57,915.5
"Cumberland, VA",40.7,24.03,17.49,959.0
"Cuming, NE",64.7,21.93,16.26,1027.2
"Currituck, NC",51.2,23.77,17.58,1197.1
"Curry, NM",41.0,21.64,14.79,1255.3
"Curry, OR",61.9,25.88,19.01,1150.9
"Custer, CO",63.9,22.3,15.59,758.6
"Custer, ID",49.0,20.23,14.62,757.9
"Custer, MT",58.9,23.25,17.82,1168.3
"Custer, NE",58.9,20.95,15.81,1068.4
"Custer, OK",46.2,22.8,16.71,1449.2
"Custer, SD",56.0,19.57,13.68,926.7
"Cuyahoga, OH",60.1,22.91,16.48,1238.4
"Dade, GA",42.4,24.46,18.57,1390.9
"Dade, MO",33.5,28.69,22.64,1226.9
"Daggett, UT",29.6,19.18,14.18,906.2
"Dakota, MN",69.3,17.2,11.76,662.2
"Dakota, NE",54.3,24.96,18.32,905.2
"Dale, AL",40.0,23.49,17.57,1200.4
"Dallam, TX",41.7,24.08,17.51,974.9
"Dallas, AL",39.0,26.39,18.02,1656.2
"Dallas, AR",42.0,30.02,21.99,1320.5
"Dallas, IA",63.8,15.54,10.9,867.3
"Dallas, MO",41.3,27.89,22.0,1106.1
"Dallas, TX",53.0,19.04,12.87,995.9
"Dane, WI",70.4,15.73,10.09,823.5
"Daniels, MT",43.9,20.05,14.59,1170.8
"Dare, NC",58.6,21.39,15.45,958.9
"Darke, OH",50.8,25.56,20.21,1360.4
"Darlington, SC",36.9,23.39,16.36,1353.1
"Dauphin, PA",56.8,20.31,14.71,1086.1
"Davidson, NC",41.6,25.9,19.98,1032.9
"Davidson, TN",51.0,20.86,14.82,1101.2
"Davie, NC",46.2,22.82,17.15,939.2
"Daviess, IN",45.5,28.77,22.89,1145.6
"Daviess, KY",46.4,25.63,20.08,1175.4
"Daviess, MO",42.9,25.61,19.9,1256.3
"Davis, IA",46.9,24.07,18.04,1166.2
"Davis, UT",23.1,9.99,7.16,1096.6
"Davison, SD",63.9,19.17,14.57,930.0
"Dawes, NE",58.3,18.38,12.9,1013.0
"Dawson, GA",47.5,22.49,16.79,975.0
"Dawson, MT",56.8,23.28,17.76,617.1
"Dawson, NE",52.5,22.76,16.92,1088.2
"Dawson, TX",39.0,23.62,16.12,1209.5
"Day, SD",57.1,24.4,17.82,912.2
"De Baca, NM",33.3,20.85,13.96,1128.6
"De Soto, LA",39.3,27.92,20.96,1079.2
"De Witt, IL",54.5,24.21,19.16,1106.8
"DeKalb, AL",31.3,27.46,20.89,1466.4
"DeKalb, GA",58.2,17.57,10.36,769.5
"DeKalb, IL",62.4,19.1,13.34,1012.8
"DeKalb, IN",52.9,25.79,20.49,1109.3
"DeKalb, MO",46.9,29.71,23.25,1228.4
"DeKalb, TN",32.4,26.44,20.72,1205.8
"DeSoto, FL",45.8,28.03,19.72,633.9
"DeSoto, MS",50.1,24.13,17.91,1242.5
"DeWitt, TX",51.3,22.91,16.04,1182.2
"Deaf Smith, TX",43.9,19.44,12.55,1206.9
"Dearborn, IN",56.8,25.97,20.35,1072.5
"Decatur, GA",38.8,24.86,17.66,1534.8
"Decatur, IA",49.6,22.21,16.39,1245.8
"Decatur, IN",51.1,26.06,20.89,1251.2
"Decatur, KS",54.8,20.33,14.82,1059.3
"Decatur, TN",30.5,26.39,20.26,1428.2
"Deer Lodge, MT",62.8,26.04,19.92,1243.6
"Defiance, OH",53.3,23.5,17.91,1098.8
"Del Norte, CA",54.2,26.01,18.67,961.4
"Delaware, IA",64.3,22.24,17.14,1028.6
"Delaware, IN",46.2,25.73,19.49,1138.5
"Delaware, NY",59.8,22.54,16.37,1220.9
"Delaware, OH",62.6,14.77,10.21,998.8
"Delaware, OK",41.0,29.4,22.0,1318.1
"Delaware, PA",64.8,20.09,14.4,1082.6
"Delta, CO",61.7,24.03,17.66,1061.6
"Delta, MI",65.1,24.7,18.56,1077.8
"Delta, TX",37.6,23.59,17.08,1433.5
"Dent, MO",41.9,29.73,24.19,973.0
"Denton, TX",56.4,15.18,10.56,832.6
"Denver, CO",63.3,20.39,12.6,848.2
"Des Moines, IA",55.9,23.74,18.03,1097.8
"Deschutes, OR",65.9,18.67,12.77,892.2
"Desha, AR",40.1,27.6,19.73,1891.7
"Deuel, NE",52.7,22.44,16.62,717.5
"Deuel, SD",60.2,21.15,15.52,958.9
"Dewey, OK",42.2,23.06,17.17,1422.3
"Dewey, SD",33.4,33.69,23.02,1092.6
"Dickens, TX",35.9,23.3,16.1,1201.8
"Dickenson, VA",25.7,30.34,22.79,1302.5
"Dickey, ND",59.3,20.72,15.13,1026.2
"Dickinson, IA",69.7,20.14,14.61,1039.3
"Dickinson, KS",51.1,23.92,18.39,1043.4
"Dickinson, MI",68.3,24.16,18.74,1046.0
"Dickson, TN",35.1,27.74,21.79,1627.4
"Dillon, SC",32.5,27.63,18.89,1184.9
"Dimmit, TX",47.4,17.86,10.79,949.8
"Dinwiddie, VA",47.1,25.79,19.42,944.1
"Divide, ND",61.6,22.77,16.8,592.3
"Dixie, FL",42.1,29.22,22.27,1010.8
"Dixon, NE",58.3,22.29,16.12,1115.2
"Doddridge, WV",29.9,30.7,24.72,1042.9
"Dodge, GA",31.2,24.59,17.89,1131.5
"Dodge, MN",63.9,19.19,13.92,1065.7
"Dodge, NE",63.8,24.81,18.6,880.7
"Dodge, WI",64.7,23.58,17.53,1148.3
"Dolores, CO",67.8,22.05,16.07,728.0
"Dona Ana, NM",48.0,18.36,11.73,
"Doniphan, KS",53.3,24.06,17.7,1252.8
"Donley, TX",39.5,21.82,15.5,1307.9
"Dooly, GA",34.1,27.74,19.67,1018.3
"Door, WI",67.9,19.07,13.51,1176.5
"Dorchester, MD",47.0,23.41,16.72,1164.1
"Dorchester, SC",58.2,21.46,14.83,922.2
"Dougherty, GA",44.6,24.16,16.31,904.5
"Douglas, CO",70.2,11.92,7.9,617.5
"Douglas, GA",47.4,22.15,15.69,1193.3
"Douglas, IL",49.4,24.48,18.66,1039.7
"Douglas, KS",59.8,17.62,12.14,878.3
"Douglas, MN",67.0,19.24,13.77,886.0
"Douglas, MO",36.6,28.77,23.59,1296.0
"Douglas, NE",65.2,21.54,15.63,867.2
"Douglas, NV",68.1,20.77,14.87,904.9
"Douglas, OR",55.6,26.53,20.11,861.0
"Douglas, SD",52.7,20.66,15.55,941.1
"Douglas, WA",61.0,19.53,13.95,867.8
"Douglas, WI",69.7,23.35,17.54,900.5
"Drew, AR",39.2,24.34,17.38,1032.5
"DuPage, IL",69.6,14.88,10.1,864.3
"Dubois, IN",59.8,23.08,17.5,1157.8
"Dubuque, IA",70.7,18.75,13.91,1018.1
"Duchesne, UT",25.7,15.78,11.92,1019.5
"Dukes, MA",70.7,18.8,13.03,837.6
"Dundy, NE",56.2,19.88,14.32,1140.9
"Dunklin, MO",37.0,32.35,26.52,1598.5
"Dunn, ND",66.8,24.0,17.86,945.2
"Dunn, WI",64.3,20.15,14.56,999.2
"Duplin, NC",35.6,25.42,17.75,1006.8
"Durham, NC",54.8,17.02,10.6,798.3
"Dutchess, NY",65.2,17.34,11.87,1143.0
"Duval, FL",52.1,21.79,15.15,999.9
"Duval, TX",41.7,18.35,10.74,967.8
"Dyer, TN",36.0,26.13,19.85,1883.2
"Eagle, CO",72.6,13.7,8.58,470.2
"Early, GA",37.2,26.0,18.31,1407.8
"East Baton Rouge, LA",57.1,19.43,13.36,1151.5
"East Carroll, LA",35.8,30.19,21.53,1451.7
"East Feliciana, LA",42.4,25.22,18.25,1872.8
"Eastland, TX",38.1,24.22,17.55,1339.5
"Eaton, MI",57.0,20.34,14.89,1153.0
"Eau Claire, WI",67.7,19.23,14.04,1056.7
"Echols, GA",37.5,25.25,18.41,908.1
"Ector, TX",45.5,23.66,16.39,1292.6
"Eddy, ND",60.8,24.31,18.16,1070.1
"Eddy, NM",41.4,23.88,18.01,1318.3
"Edgar, IL",47.2,25.97,20.04,1253.0
"Edgecombe, NC",34.8,26.87,19.33,1103.6
"Edgefield, SC",45.7,23.0,16.2,878.6
"Edmonson, KY",32.6,28.58,22.94,1117.7
"Edmunds, SD",61.7,19.7,14.07,905.2
"Edwards, IL",42.0,24.52,18.74,1269.4
"Edwards, KS",51.2,19.85,14.13,1135.6
"Edwards, TX",42.4,17.96,11.24,977.9
"Effingham, GA",46.1,23.37,17.24,1322.6
"Effingham, IL",58.0,22.28,16.77,1120.8
"El Dorado, CA",65.9,16.92,11.77,856.9
"El Paso, CO",58.9,18.02,13.27,870.4
"El Paso, TX",49.6,17.85,10.78,909.9
"Elbert, CO",63.4,16.73,11.52,812.9
"Elbert, GA",40.7,26.86,19.5,1105.9
"Elk, KS",41.7,23.17,17.17,1312.7
"Elk, PA",63.2,25.79,19.99,1163.9
"Elkhart, IN",50.9,23.65,17.96,1077.4
"Elko, NV",53.0,22.19,16.83,1104.1
"Elliott, KY",28.2,34.64,28.85,1067.8
"Ellis, KS",58.7,18.89,13.54,993.0
"Ellis, OK",46.6,20.46,15.14,1293.8
"Ellis, TX",49.9,20.55,14.61,1077.9
"Ellsworth, KS",51.2,22.39,16.57,964.1
"Elmore, AL",43.9,26.15,19.18,1618.8
"Elmore, ID",53.7,22.43,17.23,1117.9
"Emanuel, GA",37.4,26.37,19.46,1700.0
"Emery, UT",20.3,19.65,15.07,1550.8
"Emmet, IA",61.6,23.44,17.67,1247.6
"Emmet, MI",65.5,21.38,15.18,1070.5
"Emmons, ND",63.3,23.22,17.63,757.8
"Erath, TX",45.7,21.18,14.84,1216.4
"Erie, NY",65.1,20.33,13.96,1094.5
"Erie, OH",63.5,23.62,17.85,1183.4
"Erie, PA",60.7,25.14,18.8,998.8
"Escambia, AL",37.9,27.42,20.77,1338.6
"Escambia, FL",53.5,23.06,17.04,1045.5
"Esmeralda, NV",65.8,27.58,20.18,854.1
"Essex, MA",64.2,18.1,12.95,900.9
"Essex, NJ",58.2,19.23,12.53,985.9
"Essex, NY",64.2,18.93,13.73,935.4
"Essex, VA",45.3,24.66,17.7,1141.5
"Essex, VT",63.7,20.99,15.8,923.0
"Estill, KY",27.5,34.05,27.52,1344.8
"Etowah, AL",38.6,27.76,20.92,1546.3
"Eureka, NV",57.8,22.25,16.07,1188.4
"Evangeline, LA",47.2,30.84,23.18,1334.2
"Evans, GA",40.8,25.93,18.55,1081.7
"Fairfield, CT",67.2,14.91,9.51,891.9
"Fairfield, OH",53.7,21.48,16.71,1165.3
"Fairfield, SC",38.8,24.78,16.43,1037.7
"Fall River, SD",56.6,23.78,17.44,1247.8
"Fallon, MT",61.9,21.72,16.25,1047.9
"Falls, TX",45.0,24.62,17.1,1112.1
"Fannin, GA",36.5,26.28,19.66,1055.0
"Fannin, TX",39.7,25.06,18.53,1576.8
"Faribault, MN",63.9,22.45,16.22,1111.8
"Faulk, SD",62.7,22.82,17.08,941.0
"Faulkner, AR",46.1,22.76,16.2,1167.3
"Fauquier, VA",58.8,19.15,13.93,810.0
"Fayette, AL",32.1,27.04,21.0,1409.3
"Fayette, GA",58.1,15.75,10.59,850.8
"Fayette, IA",61.9,21.57,16.55,1242.1
"Fayette, IL",45.4,25.03,19.22,1036.1
"Fayette, IN",42.4,32.05,26.26,1419.9
"Fayette, KY",56.2,20.57,14.27,865.9
"Fayette, OH",46.4,28.55,22.47,1498.3
"Fayette, PA",52.1,27.06,21.52,1486.6
"Fayette, TN",38.9,22.27,16.14,1075.4
"Fayette, TX",58.4,20.29,14.59,1071.3
"Fayette, WV",28.9,31.36,26.48,1217.4
"Fentress, TN",29.6,28.93,23.1,1214.1
"Fergus, MT",61.5,22.08,16.53,1198.5
"Ferry, WA",56.0,25.04,17.46,836.6
"Fillmore, MN",61.8,19.89,14.78,1006.6
"Fillmore, NE",63.9,21.32,15.66,1087.2
"Finney, KS",44.6,20.54,14.03,776.3
"Fisher, TX",36.9,20.52,14.33,1129.5
"Flagler, FL",61.5,24.14,17.9,898.3
"Flathead, MT",64.0,19.27,14.18,974.6
"Fleming, KY",33.1,29.74,24.14,1372.1
"Florence, SC",42.1,22.68,15.5,1159.1
"Florence, WI",68.7,23.87,18.06,1160.5
"Floyd, GA",40.5,25.45,18.05,1496.8
"Floyd, IA",61.3,22.78,17.59,1169.7
"Floyd, IN",49.0,25.79,19.92,1021.7
"Floyd, KY",24.3,30.65,24.49,1458.7
"Floyd, TX",43.6,18.71,12.1,1279.2
"Floyd, VA",40.7,23.33,17.73,940.0
"Fluvanna, VA",56.1,20.95,15.27,875.8
"Foard, TX",33.1,21.57,15.04,1052.3
"Fond du Lac, WI",68.6,20.84,16.02,1039.5
"Ford, IL",53.7,24.4,18.47,1220.8
"Ford, KS",46.4,20.53,14.59,1124.4
"Forest, PA",52.9,30.17,22.75,1173.8
"Forest, WI",64.8,27.72,20.6,1239.5
"Forrest, MS",45.2,23.29,16.83,1199.8
"Forsyth, GA",60.6,15.19,10.53,840.6
"Forsyth, NC",50.2,21.89,15.3,919.4
"Fort Bend, TX",58.2,13.92,8.73,858.3
"Foster, ND",62.3,22.58,17.05,1077.6
"Fountain, IN",46.9,27.26,21.53,1182.4
"Franklin, AL",31.2,25.28,19.07,1504.0
"Franklin, AR",45.1,28.45,22.18,1346.6
"Franklin, FL",57.2,27.43,20.12,1101.7
"Franklin, GA",35.8,24.88,18.48,1355.9
"Franklin, IA",57.8,23.12,17.64,1197.2
"Franklin, ID",16.6,20.0,15.28,1060.0
"Franklin, IL",47.3,25.94,20.19,1048.0
"Franklin, IN",53.5,25.42,19.46,1038.8
"Franklin, KS",49.7,24.91,19.66,1128.6
"Franklin, KY",48.8,25.28,19.21,1138.0
"Franklin, LA",30.5,28.04,21.0,2749.7
"Franklin, MA",67.1,19.19,13.25,956.6
"Franklin, ME",61.6,22.57,17.21,885.2
"Franklin, MO",52.9,26.54,21.18,1236.7
"Franklin, MS",34.7,25.97,19.13,1354.5
"Franklin, NC",40.0,24.31,17.34,997.8
"Franklin, NE",58.1,22.73,17.05,1048.3
"Franklin, NY",60.5,22.95,17.03,1067.7
"Franklin, OH",57.5,20.65,15.3,1062.0
"Franklin, PA",53.0,22.33,16.81,1042.8
"Franklin, TN",36.6,26.38,19.88,1396.0
"Franklin, TX",47.3,20.79,14.68,1227.6
"Franklin, VA",43.6,23.79,17.69,
"Franklin, VT",66.3,20.57,15.74,1207.6
"Franklin, WA",45.9,19.28,13.52,893.1
"Frederick, MD",60.8,16.68,11.64,1005.1
"Frederick, VA",53.3,22.05,16.39,1046.7
"Freeborn, MN",60.9,24.22,17.83,910.0
"Freestone, TX",46.9,26.07,18.47,1120.5
"Fremont, CO",56.7,29.09,22.02,941.6
"Fremont, IA",59.8,23.19,17.43,911.8
"Fremont, ID",25.2,19.56,14.27,1041.5
"Fremont, WY",56.2,23.68,16.9,971.9
"Fresno, CA",46.2,17.28,11.35,1112.2
"Frio, TX",44.8,20.52,12.86,1149.4
"Frontier, NE",54.6,20.06,14.75,834.9
"Fulton, AR",37.8,27.6,21.7,1144.7
"Fulton, GA",61.1,15.87,9.97,855.0
"Fulton, IL",49.5,25.16,19.32,1096.0
"Fulton, IN",48.5,26.54,20.53,1222.9
"Fulton, KY",36.8,29.06,22.41,1628.7
"Fulton, NY",61.0,24.21,18.38,1136.8
"Fulton, OH",54.4,23.45,18.25,1310.0
"Fulton, PA",50.9,23.82,17.89,1188.9
"Furnas, NE",56.6,22.23,16.62,1003.1
"Gadsden, FL",43.7,24.04,15.82,877.9
"Gage, NE",62.1,23.07,18.17,974.9
"Gaines, TX",37.4,22.92,16.42,1305.9
"Gallatin, IL",48.7,26.76,20.56,1225.4
"Gallatin, KY",36.7,29.86,24.12,1187.9
"Gallatin, MT",67.9,15.08,10.01,995.0
"Gallia, OH",41.9,26.42,20.66,1264.6
"Galveston, TX",57.9,18.8,12.54,1050.8
"Garden, NE",53.9,21.3,15.65,1054.5
"Garfield, CO",65.8,19.09,13.55,881.2
"Garfield, MT",59.3,23.0,17.37,1126.0
"Garfield, NE",62.6,24.12,18.37,1286.9
"Garfield, OK",47.4,24.13,18.46,1265.0
"Garfield, UT",24.4,19.17,13.61,1038.3
"Garfield, WA",64.9,17.19,11.96,1025.9
"Garland, AR",50.6,28.09,21.58,1316.5
"Garrard, KY",33.8,28.54,22.86,1030.1
"Garrett, MD",46.5,22.14,16.83,1388.0
"Garvin, OK",36.9,27.57,21.11,1403.0
"Garza, TX",44.1,23.91,16.58,1254.9
"Gasconade, MO",48.5,27.05,21.33,1161.3
"Gaston, NC",43.7,26.12,19.28,1073.7
"Gates, NC",41.0,24.9,18.24,977.4
"Geary, KS",52.0,23.43,17.28,1356.7
"Geauga, OH",63.8,20.35,14.69,930.5
"Gem, ID",51.5,23.37,18.17,1277.1
"Genesee, MI",53.4,26.15,19.08,1330.5
"Genesee, NY",61.8,21.4,15.58,1124.9
"Geneva, AL",33.5,27.21,20.96,1297.3
"Gentry, MO",46.8,26.98,21.34,1077.9
"George, MS",32.2,26.24,19.94,1936.2
"Georgetown, SC",50.3,21.46,15.28,933.4
"Gibson, IN",51.2,24.8,19.61,1141.6
"Gibson, TN",32.9,26.6,20.35,1498.3
"Gila, AZ",52.0,26.69,19.22,1009.4
"Gilchrist, FL",41.3,26.75,20.3,928.9
"Giles, TN",34.1,26.88,20.37,1348.1
"Giles, VA",38.9,26.16,20.4,1165.7
"Gillespie, TX",61.5,19.14,13.34,881.2
"Gilliam, OR",69.7,23.5,17.32,777.2
"Gilmer, GA",42.6,26.13,19.59,1091.5
"Gilmer, WV",33.1,28.77,22.19,1107.6
"Gilpin, CO",72.3,20.48,14.03,808.2
"Glacier, MT",52.1,29.13,20.08,1038.3
"Glades, FL",44.3,26.92,19.1,702.3
"Gladwin, MI",55.6,25.97,19.75,1323.1
"Glascock, GA",34.5,25.9,19.93,1208.7
"Glasscock, TX",50.1,17.96,12.31,1052.6
"Glenn, CA",54.1,21.46,14.88,1004.2
"Gloucester, NJ",61.3,20.67,14.81,1309.0
"Gloucester, VA",54.5,22.29,17.0,1016.8
"Glynn, GA",55.0,22.62,15.7,976.2
"Gogebic, MI",62.6,25.41,18.67,1231.9
"Golden Valley, MT",63.4,20.01,14.32,1067.7
"Golden Valley, ND",64.0,23.79,18.0,921.8
"Goliad, TX",51.0,19.77,13.36,1075.7
"Gonzales, TX",45.3,20.49,13.72,1057.3
"Goochland, VA",56.9,18.68,12.74,917.6
"Goodhue, MN",66.7,20.23,14.82,1000.7
"Gooding, ID",44.5,23.07,17.35,1069.1
"Gordon, GA",40.1,26.23,19.2,1332.5
"Goshen, WY",57.5,22.33,17.19,938.9
"Gosper, NE",52.9,21.1,15.86,1044.1
"Gove, KS",52.3,21.64,16.04,1039.6
"Grady, GA",38.5,24.57,17.49,1056.9
"Grady, OK",43.0,27.56,21.11,1307.8
"Grafton, NH",68.4,16.73,12.3,923.0
"Graham, AZ",33.8,22.29,16.04,881.3
"Graham, KS",56.4,22.09,16.05,1138.8
"Graham, NC",39.0,26.74,19.47,978.6
"Grainger, TN",24.3,29.25,22.95,1153.1
"Grand Forks, ND",64.0,19.54,14.52,1015.4
"Grand Isle, VT",68.8,16.41,12.22,804.0
"Grand Traverse, MI",65.3,20.26,14.73,1046.3
"Grand, CO",72.6,19.89,13.7,559.9
"Grand, UT",45.8,20.54,15.18,935.9
"Granite, MT",64.1,21.15,15.18,1024.0
"Grant, AR",41.6,27.46,20.48,1212.2
"Grant, IN",44.6,26.83,20.75,1164.4
"Grant, KS",48.3,20.47,14.32,1161.7
"Grant, KY",34.1,27.57,22.23,1198.3
"Grant, LA",36.1,27.59,21.44,1335.8
"Grant, MN",61.8,21.5,15.66,909.6
"Grant, ND",60.7,23.01,17.54,962.1
"Grant, NE",51.9,20.33,15.06,1065.0
"Grant, NM",51.2,20.13,12.58,993.2
"Grant, OK",54.8,23.37,17.65,1265.2
"Grant, OR",58.4,23.16,17.06,925.9
"Grant, SD",65.1,24.79,19.16,994.4
"Grant, WA",49.9,19.34,13.68,1005.6
"Grant, WI",67.7,20.95,15.45,1000.4
"Grant, WV",37.0,30.59,25.25,1079.4
"Granville, NC",40.5,25.02,17.44,896.0
"Gratiot, MI",54.8,26.48,20.12,1376.3
"Graves, KY",33.4,27.94,22.09,1100.0
"Gray, KS",44.4,20.9,15.3,864.2
"Gray, TX",39.8,24.22,17.77,1573.7
"Grays Harbor, WA",57.4,26.54,19.64,978.0
"Grayson, KY",32.8,31.02,24.9,1076.7
"Grayson, TX",46.4,23.59,17.51,1186.7
"Grayson, VA",32.7,26.7,21.04,785.4
"Greeley, KS",50.5,20.47,14.59,1132.7
"Greeley, NE",65.2,22.72,17.12,972.4
"Green Lake, WI",65.2,24.01,17.99,1344.1
"Green, KY",26.4,30.23,24.43,1345.5
"Green, WI",65.7,21.27,15.87,968.6
